number,group,family,species,animal
1,Collembola,Sminthuridae,Allacma fusca,1
2,Collembola,Arrhopalitidae,Arrhopalites pygmaeus,1
3,Collembola,Hypogastruridae,Ceratophysella armata,1
4,Collembola,Hypogastruridae,Ceratophysella denticulata,1
5,Collembola,Hypogastruridae,Ceratophysella gibbosa,1
6,Collembola,Isotomidae,Cryptopygus garretti,1
7,Collembola,Isotomidae,Desoria violacea,1
8,Collembola,Onychiuridae,Deuteraphorura inermis,1
9,Collembola,Bourletiellidae,Deuterosminthurus sp.,1
10,Collembola,Bourletiellidae,Deuterosminthurus pallipes,1
11,Collembola,Entomobryidae,Entomobrya marginata/lanuginosa,1
12,Collembola,Isotomidae,Folsomia fimetaria,1
13,Collembola,Isotomidae,Folsomia litsteri,1
14,Collembola,Isotomidae,Folsomia quadrioculata,1
15,Collembola,Isotomidae,Folsomia spinosa,1
16,Collembola,Neanuridae,Friesea mirabilis,1
17,Collembola,Neanuridae,Friesea truncata,1
18,Collembola,Katiannidae,Gisianus flammeolus,1
19,Collembola,Hypogastruridae,Hypogastrura burkilli,1
20,Collembola,Hypogastruridae,Hypogastrura purpurescens,1
21,Collembola,Isotomidae,Isotomidae,1
22,Collembola,Isotomidae,Isotomiella minor,1
23,Collembola,Isotomidae,Isotomurus palustris,1
24,Collembola,Entomobryidae,Lepidocyrtus cyaneus,1
25,Collembola,Entomobryidae,Lepidocyrtus lanuginosus,1
26,Collembola,Sminthuridae,Lipothrix (Sphyrotheca) lubbocki,1
27,Collembola,Neelidae,Megalothorax minimus,1
28,Collembola,Tullbergiidae,Mesaphorura sp.,1
29,Collembola,Tullbergiidae,Metaphorura affinis,1
30,Collembola,Neanuridae,Micranurida cf. sensillata,1
31,Collembola,Neanuridae,Micranurida granulata,1
32,Collembola,Neanuridae,Micranurida pygmaea,1
33,Collembola,Onychiuridae,Micraphorura absoloni,1
34,Collembola,Neelidae,Neelides minutus,1
35,Collembola,Oncopoduridae,Oncopodura crassicornis,1
