plotid,species_id,foundOnPlot
AEW3,2,0
AEW3,1,0
AEW2,367,0
AEW2,366,0
AEW2,365,0
AEW2,364,0
AEW2,363,0
AEW2,358,0
AEW2,357,1
AEW2,359,0
AEW2,360,0
AEW2,361,1
AEW2,362,0
AEW2,368,0
AEW2,369,0
AEW2,370,0
AEW3,3,0
AEW2,371,0
AEW3,4,1
AEW2,372,0
AEW2,373,1
AEW2,374,0
AEW2,375,0
AEW2,376,0
AEW2,377,0
AEW2,378,0
AEW2,379,0
AEW2,380,0
AEW2,381,0
AEW2,382,1
AEW2,383,1
AEW2,384,0
AEW2,385,0
AEW2,386,0
AEW2,387,0
AEW2,388,0
AEW2,389,0
AEW2,390,0
AEW2,391,0
AEW2,392,0
AEW2,393,0
AEW2,394,0
AEW2,395,1
AEW2,396,0
AEW2,397,0
AEW2,398,0
AEW2,399,0
AEW2,400,0
AEW2,401,1
AEW2,402,1
AEW2,403,1
AEW2,404,1
AEW2,405,1
AEW2,406,1
AEW2,407,1
AEW2,408,1
AEW2,409,1
AEW2,410,1
AEW2,411,1
AEW2,412,1
AEW2,413,1
AEW2,414,1
AEW2,415,1
AEW2,416,1
AEW2,417,1
AEW2,418,0
AEW2,419,0
AEW2,420,0
AEW2,421,0
AEW2,422,0
AEW2,423,0
AEW2,424,0
AEW2,425,0
AEW2,426,0
AEW2,427,0
AEW2,428,0
AEW2,429,0
AEW2,430,0
AEW2,431,0
AEW2,432,0
AEW2,433,0
AEW2,434,0
AEW2,435,0
AEW2,436,0
AEW2,437,0
AEW2,438,0
AEW2,439,0
AEW2,440,0
AEW2,441,0
AEW2,442,1
AEW2,443,0
AEW2,444,0
AEW2,445,0
AEW2,446,0
AEW2,447,0
AEW2,448,0
AEW2,449,0
AEW2,450,0
AEW2,451,0
AEW2,452,0
AEW2,453,0
AEW2,454,0
AEW2,455,0
AEW2,456,0
AEW2,457,0
AEW2,458,0
AEW2,459,0
AEW2,460,0
AEW2,461,0
AEW2,462,0
AEW2,463,0
AEW2,464,0
AEW2,465,0
AEW2,466,0
AEW2,467,0
HEW2,802,0
HEW2,803,0
HEW2,804,0
HEW2,805,0
HEW2,806,0
HEW2,807,0
HEW2,808,0
HEW2,809,0
HEW2,810,0
HEW2,811,0
HEW2,812,0
HEW2,813,1
HEW2,814,0
HEW2,815,1
HEW2,816,0
HEW2,817,0
HEW2,818,0
HEW2,819,0
HEW2,820,0
HEW2,821,0
HEW2,822,0
HEW2,823,0
HEW2,824,0
HEW2,825,1
HEW2,826,1
HEW2,827,1
HEW2,828,0
HEW2,829,0
HEW2,830,0
HEW2,831,1
HEW2,832,0
HEW2,833,1
HEW2,834,0
HEW2,835,0
HEW2,836,0
HEW2,837,0
HEW2,838,0
HEW2,839,0
HEW2,840,0
HEW2,841,0
HEW2,842,0
HEW2,843,0
HEW2,844,0
HEW2,845,0
HEW2,846,0
