Analysis,SLN_ID,habitat,vertebrates,resource_type,Detritus,S,Interactions,L_D,C,Basal,Top,Herbiv,Carniv,MeanInDegree,StdInDegree,Mean_longest_chain,Mean_NTP,Max_NTP,Mean_NTP_norm,TrOmniv,q_inCoherence,Mean_path_len,Std_path_len
EcoWeb_TS,116_pond,aqu,no,brown,1,7,15,2.142857143,0.357142857,0,0.142857143,0.333333333,0.333333333,2.5,1.378404875,1.142857143,2.380952381,3.25,0.732600733,0.666666667,0.492872479,1.176470588,0.392952624
EcoWeb_TS,123_shortgrassprairie,ter,yes,green,0,106,379,3.575471698,0.034052111,0.660377358,0.198113208,0.583333333,0,10.52777778,4.462453592,0.547169811,1.499026125,3.554216867,0.421759893,0.416666667,0.506530222,1.662679426,0.673604655
EcoWeb_TS,138_treeholesengland,aqu,no,brown,3,7,5,0.714285714,0.119047619,0,0.571428571,1,0,1.25,0.5,0.571428571,1.571428571,2,0.785714286,0,0,1,0
EcoWeb_TS,139_treeholesaustralia,aqu,no,brown,3,11,19,1.727272727,0.172727273,0,0,0.375,0.625,2.375,1.767766953,1.454545455,2.392207792,4,0.598051948,0.25,0.590464063,1.611111111,0.728119997
EcoWeb_TS,143_stumpholesalabama,aqu,no,brown,3,8,8,1,0.142857143,0,0.25,0.8,0.2,1.6,0.894427191,0.75,1.8,3.4,0.529411765,0.2,0.433424899,1.222222222,0.440958552
EcoWeb_TS,144_treeholesgermany,aqu,no,brown,3,7,5,0.714285714,0.119047619,0,0.571428571,1,0,1.25,0.5,0.571428571,1.571428571,2,0.785714286,0,0,1,0
EcoWeb_TS,151_youngpines,ter,no,mixed,1,11,12,1.090909091,0.109090909,0.1,0.272727273,0.444444444,0.555555556,1.333333333,1,1.363636364,2.409090909,4,0.602272727,0.111111111,0.334278962,1.64,0.7
EcoWeb_TS,152_mistletoe,ter,no,green,0,14,17,1.214285714,0.093406593,0.071428571,0.5,0.076923077,0.846153846,1.307692308,0.630425172,2.142857143,3.214285714,4,0.803571429,0,0.5,1.657142857,0.725293334
EcoWeb_TS,180_rottingoak1yr,ter,no,mixed,1,21,29,1.380952381,0.069047619,0.05,0.380952381,0.157894737,0.736842105,1.526315789,1.073334423,1.904761905,2.93968254,4.5,0.653262787,0.263157895,0.532509113,1.753846154,0.750640752
EcoWeb_TS,181_rottingoak3yr,ter,no,mixed,1,21,26,1.238095238,0.061904762,0.1,0.428571429,0.277777778,0.555555556,1.444444444,0.783823376,1.428571429,2.511904762,4,0.62797619,0.277777778,0.3264023,1.454545455,0.588831932
EcoWeb_TS,182_rottingpine1yr,ter,no,mixed,2,36,51,1.416666667,0.04047619,0.029411765,0.416666667,0.363636364,0.606060606,1.545454545,1.120572094,1.694444444,2.659920635,4,0.664980159,0.181818182,0.325771887,1.606060606,0.697198209
EcoWeb_TS,183_rottingpine3yr,ter,no,brown,1,13,15,1.153846154,0.096153846,0,0.538461538,0.25,0.5,1.25,0.452267017,1.461538462,2.576923077,4,0.644230769,0.25,0.371611676,1.416666667,0.583592075
EcoWeb_TS,203_thermalspringyellowstone,both,yes,green,0,10,16,1.6,0.177777778,0.1,0.4,0.555555556,0.444444444,1.777777778,0.971825316,1.3,2.3,3,0.766666667,0,0,1.2,0.410391341
