"Metric","RhynieModernDiff","normalizedDiff","PVal","ProportionWithin95ofModern"
"C","-0.101673916787532","-0.74049083585403","0","0"
"L_D","-8.27718162675613","-0.744577942434169","0","1"
"Mean_NTP","-0.738094473783047","-0.257036409486682","0","1"
"Mean_NTP_norm","-0.308574883670223","-0.420310888299941","0","0.001"
"Max_NTP","1.13368315956707","0.289369980948979","0","0.079"
"TrOmniv","-0.303524433022973","-0.51394702229073","0","1"
"q_inCoherence","0.00596411749691439","0.00992491451024172","0.73292","0.96"
"Mean_longest_chain","-0.776942506222297","-0.392883102916317","0","1"
"Mean_path_len","0.403665657457251","0.245366222469588","0","0.381"
"Std_path_len","0.258473748321304","0.360601366074716","0","0.845"
"MeanInDegree","-7.9884665685548","-0.665263553505845","0","1"
"StdInDegree","-6.97638217573127","-0.598723175335003","0","1"
"Basal","0.214027154389031","3.49417211559658","0","0"
"Herbiv","0.325318145481254","1.24016538312005","0","1"
"Carniv","-0.199781555272961","-0.437372449689503","0","1"
"Top","-0.0305353216644017","-0.234125203117474","0.16252","1"
