"Metric","RhynieModernDiff","normalizedDiff_modern","PVal_modern","ProportionWithin95ofModern","RhynieNicheDiff","normalizedDiff_niche","PVal_niche","ProportionWithin95ofNiche"
"C","-0.0308648805773213","-0.261510493998348","0.01338","1","-0.014514942495","-0.142773154517746","0","0.974"
"L_D","-8.29069052630104","-0.766366598538021","1e-05","1","-0.420933333338","-0.142773154849661","0","0.974"
"Mean_NTP","-0.242671948364993","-0.0845988070005787","0.03468","1","0.184295295552","0.0754815783085745","0","1"
"Mean_NTP_norm","-0.168511402031545","-0.229170757856762","0","0.694","-0.017522513885","-0.0299875122197786","0","0.976"
"Max_NTP","0.750951417375365","0.191920195008081","0","0.35","0.475253506065999","0.113463377036567","0","0.924"
"TrOmniv","-0.0148470306075415","-0.0258810171393141","0.74483","0.991","-0.0695852516809999","-0.110738077176053","0","0.946"
"C","-0.030870519197188","-0.261558268628908","0.01385","1","-0.014514942495","-0.142773154517746","0","0.974"
"L_D","-8.2911609129677","-0.766410079672504","1e-05","1","-0.420933333338","-0.142773154849661","0","0.974"
"Mean_NTP","-0.24263067624216","-0.0845844189661246","0.03361","1","0.184295295552","0.0754815783085745","0","1"
"Mean_NTP_norm","-0.168566485745787","-0.229245670155789","0","0.694","-0.017522513885","-0.0299875122197786","0","0.976"
"Max_NTP","0.750901215501622","0.191907364945875","0","0.35","0.475253506065999","0.113463377036567","0","0.924"
"TrOmniv","-0.0148097472741875","-0.0258160256527973","0.74563","0.991","-0.0695852516809999","-0.110738077176053","0","0.946"
"q_inCoherence","0.137651040957894","0.229353736441118","0.01214","0.647","-0.087514970638","-0.106041568769979","0","0.994"
"Mean_longest_chain","-0.282806479665278","-0.14547882327204","0.04271","1","0.131999999974","0.0863290531961653","0","1"
"Mean_path_len","0.0867169078402957","0.0526121680628749","0.21424","0.95","0.034151476019","0.0200789879019065","0","0.986"
"Std_path_len","0.0777344111808198","0.1104662837193","0.22603","0.979","0.042067533392","0.0568931043296812","0","0.975"
"MeanInDegree","-8.45040442748747","-0.727878403393382","2e-05","1","-1.020119772389","-0.244089460548725","0","0.816"
"StdInDegree","-9.2833927921161","-0.764612414240242","4e-05","1","-0.62174410735","-0.178674013460498","0","0.947"
"Basal","0.0874327577183098","1.57751425250708","1e-05","1","-0.150642857001","-0.51326356729297","0","0"
"Herbiv","-0.105415259215402","-0.382999959941301","0.04354","0.823","-0.048742259445","-0.222999552824752","0","0.994"
"Carniv","0.0819866126686146","0.181451276125032","0.07041","0.984","0.279788667713","1.10151718235018","0","0.661"
"Top","-0.0736339284683494","-0.469209112884574","0.17706","1","-0.026099999997","-0.238574040237752","0","0.997"
