"Metric","RhynieEcoDiff","normalizedDiff_eco","PVal_eco","ProportionWithin95ofEcoWeb","RhynieSoilDiff","normalizedDiff_soil","PVal_soil","ProportionWithin95ofDigelSoil"
"C","-0.0236557511627704","-0.213506762193569","0.17754","1","-0.034322945835376","-0.28251811855457","0","0.462"
"L_D","0.783315693052333","0.449000063661252","4e-05","0.865","-12.6381124186302","-0.833321784270931","0","0"
"Mean_NTP","0.29160474503287","0.124915810801681","0.001","0.995","-0.498598708138824","-0.159581064410131","0","0.006"
"Mean_NTP_norm","-0.0836819144666048","-0.128645372215022","0.0013","0.991","-0.209161381873686","-0.269553755882106","0","0"
"Max_NTP","0.996112449449895","0.271593107533523","0","0.737","0.633492086960892","0.157182072107208","1e-05","0.328"
"TrOmniv","0.323867286316783","1.37881542902249","0","0.635","-0.177301038716932","-0.240899643376969","0","0.238"
"q_inCoherence","0.375506767757179","1.03641700982727","0","0.123","0.0235988959044444","0.0330450943458278","0.50109","0.511"
"Mean_longest_chain","0.358232207329981","0.274943774125888","7e-05","0.98","-0.590194306628235","-0.262176255905453","0","0.156"
"Mean_path_len","0.313427220452221","0.220494093054304","1e-05","0.933","-0.0218402484705583","-0.0124312599848198","0.55328","0.805"
"Std_path_len","0.249108380226111","0.467974575482464","2e-05","0.897","-0.00425889823875852","-0.0054197282773337","0.78995","0.968"
"MeanInDegree","0.747211645773319","0.309780796657544","0.0723","1","-12.8573161601615","-0.802739015611577","0","0"
"StdInDegree","1.26534527607984","0.794456306067149","6e-05","0.987","-14.3378385026857","-0.833797092550387","0","0"
"Basal","0.0518309464347826","0.569406922298982","0.06814","1","0.104491958958333","2.72361417176702","0","0"
"Herbiv","-0.316626159911773","-0.650810568658594","0","0.395","-0.00417379186755732","-0.0239873290877279","0.96087","0.635"
"Carniv","0.142110670693095","0.362897451260852","0.00693","1","0.0531004105596349","0.11046424243977","0.14022","0.984"
"Top","-0.309944711206348","-0.788242500854306","0","0.462","0.0395839213154591","0.905488448414164","0.00805","0.695"
