"Metric","RhynieModernDiff","normalizedDiff","PVal","ProportionWithin95ofLumped"
"C","0.051002698879","0.324998700918437","0","0"
"L_D","-0.404987054648","-2.58065297606393","0","0.858"
"Mean_NTP","0.46997959028","2.99479752358889","0","0"
"Mean_NTP_norm","0.13964056034","0.889815670611672","0","0.087"
"Max_NTP","-0.418716448897","-2.66813923450504","0","0.926"
"TrOmniv","0.255766901645","1.62979435597641","0","0.62"
"q_inCoherence","0.159674140945","1.01747337921287","0","0.475"
"Mean_longest_chain","0.441639114623","2.81420673183909","0","0.05"
"Mean_path_len","-0.299354257557","-1.9075411097605","0","0.589"
"Std_path_len","-0.18747955532","-1.19465466077235","0","0.814"
"MeanInDegree","-0.952141849587","-6.06722528429303","0","0.569"
"StdInDegree","-1.990507142276","-12.6838824146016","0","0.244"
"Basal","-0.125533710086","-0.799924192172898","0","0"
"Herbiv","-0.395588870744","-2.52076599700349","0","0"
"Carniv","0.27290783668","1.73901958800028","0","0"
"Top","-0.014195913236","-0.0904590043557573","0","0.995"
