"Metric","RhynieModernDiff","normalizedDiff","PVal","ProportionWithin95ofModern"
"C","-0.0731568583675613","-0.532801183554809","0","0.812"
"L_D","-8.80695245679629","-0.792233737894529","0","1"
"Mean_NTP","-0.557558143241951","-0.194165853165698","0","1"
"Mean_NTP_norm","-0.242174151534702","-0.329866227426395","0","0.209"
"Max_NTP","0.82046954469895","0.209422936660203","0","0.307"
"TrOmniv","0.00256251482988178","0.00433901433659509","0.76366","0.982"
"q_inCoherence","0.143272577384258","0.238420534628372","0","0.588"
"Mean_longest_chain","-0.611063510534505","-0.309001665084654","0","1"
"Mean_path_len","0.247108565473982","0.150203749390424","0","0.767"
"Std_path_len","0.125248303924921","0.174736157103754","0.00057","0.962"
"MeanInDegree","-8.44740167778195","-0.703482753520383","0","1"
"StdInDegree","-8.43182254072604","-0.723631165592727","0","1"
"Basal","0.253033106140845","4.13097686751024","0","0"
"Herbiv","-0.0681725645513658","-0.259884841375971","0.00573","0.905"
"Carniv","0.0467208627886107","0.102283807839729","0.03837","1"
"Top","-0.0378608400434567","-0.290292565534242","0.10572","1"
