"Metric","RhynieModernDiff","normalizedDiff_modern","PVal_modern","ProportionWithin95ofModern","RhynieNicheDiff","normalizedDiff_niche","PVal_niche","ProportionWithin95ofNiche"
"C","-0.0308815486229705","-0.261651718223752","0.01419","1","0","0","0","0.974"
"L_D","-8.29148709963446","-0.766440231390929","1e-05","1","0","0","0","0.974"
"Mean_NTP","-0.242709746347464","-0.0846119839015165","0.0343","1","0","0","0","1"
"Mean_NTP_norm","-0.168533611336988","-0.229200961886272","0","0.694","0","0","0","0.976"
"Max_NTP","0.751343709938707","0.192020452978856","1e-05","0.35","0","0","0","0.924"
"TrOmniv","-0.0149105806077072","-0.0259917961015839","0.74803","0.991","0","0","0","0.946"
"q_inCoherence","0.13762580787635","0.229311693159108","0.01255","0.647","0","0","0","0.994"
"Mean_longest_chain","-0.283117879665418","-0.145639010922765","0.04252","1","0","0","0","1"
"Mean_path_len","0.0868420854812973","0.0526881148101715","0.21114","0.95","0","0","0","0.986"
"Std_path_len","0.0777143091569758","0.110437717273172","0.22686","0.979","0","0","0","0.975"
"MeanInDegree","-8.45032337748776","-0.727871422124629","1e-05","1","0","0","0","0.816"
"StdInDegree","-9.2838568824966","-0.7646506383329","3e-05","1","0","0","0","0.947"
"Basal","0.0874327577183098","1.57751425250708","1e-05","1","0","0","0","0"
"Herbiv","-0.105403859214976","-0.382958540893061","0.04293","0.823","0","0","0","0.994"
"Carniv","0.0819707126687814","0.181416086535339","0.06955","0.984","0","0","0","0.661"
"Top","-0.0736038351349862","-0.469017352556899","0.1755","1","0","0","0","0.997"
