sp_name,guild,animal,sp_id
Roots,plants,0,1
Detritus,detritus,0,2
fungi,fungi,0,3
bacteria,bacteria,0,4
phytophagous nematodes,phytophagous nematodes,1,5
fungivorous nematodes,fungivorous nematodes,1,6
bactieriophagous nematodes,bactieriophagous nematodes,1,7
predatory nematodes,predatory nematodes,1,8
collembola,collembola,1,9
predatory collembola,predatory collembola,1,10
cryptostigmatic mites,cryptostigmatic mites,1,11
noncryptostigmatic mites,noncryptostigmatic mites,1,12
bacteriophagous mites,bacteriophagous mites,1,13
nematophagous mites,nematophagous mites,1,14
predatory mites,predatory mites,1,15
earthworms,earthworms,1,16
enchytraeids,enchytraeids,1,17
flagellates,flagellates,0,18
amoebae,amoebae,0,19
