trophospecies_id,sp_name,guild,n_lumped
1,Roots,plants,1
2,Detritus,detritus,1
3,fungi,fungi,1
4,mycorrhizae,fungi,1
5,bacteria,bacteria,1
6,phytophagous nematodes,phytophagous nematodes,1
7,fungivorous nematodes,fungivorous nematodes,1
8,bacteriophagous nematodes,bactieriophagous nematodes,1
9,predatory nematodes,predatory nematodes,1
10,omnivorous nematodes,omnivorous nematodes,1
11,collembola;cryptostigmatic mites;noncryptostigmatic mites,collembola,3
14,nematophagous mites,nematophagous mites,1
15,predatory mites,predatory mites,1
16,flagellates,flagellates,1
17,amoebae,amoebae,1
