trophospecies_id,sp_name,guild,n_lumped
1,Roots,plants,1
2,Detritus,detritus,1
3,fungi,fungi,1
4,bacteria,bacteria,1
5,protozoa,protozoa,1
6,enchytraeids,enchytraeids,1
7,earthworms,earthworms,1
8,phytophagous nematodes,phytophagous nematodes,1
9,fungivorous nematodes,fungivorous nematodes,1
10,bactieriophagous nematodes,bactieriophagous nematodes,1
11,predatory nematodes,predatory nematodes,1
12,microbivorous microarthropods,microbivorous microarthropods,1
13,predatory microarthropods,predatory microarthropods,1
14,herbage arthropods,herbage arthropods,1
15,predatory herbage arthropods,predatory herbage arthropods,1
16,macroarthropods,macroarthropods,1
17,phytophagous macroarthropods,phytophagous macroarthropods,1
18,predatory macroarthropods,predatory macroarthropods,1
