sp_name,guild,family,sp_id
Folsomia quadrioculata,Collembola,Isotomidae,14
Folsomia spinosa,Collembola,Isotomidae,15
Isotomidae,Collembola,Isotomidae,21
Isotomiella minor,Collembola,Isotomidae,22
Lepidocyrtus cyaneus,Collembola,Entomobryidae,24
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25
Megalothorax minimus,Collembola,Neelidae,27
Mesaphorura sp.,Collembola,Tullbergiidae,28
Micranurida granulata,Collembola,Neanuridae,31
Parisotoma notabilis,Collembola,Isotomidae,40
Protaphorura armata,Collembola,Onychiuridae,42
Tomocerus flavescens,Collembola,Tomoceridae,53
Lithobius muticus,Chilopoda,Lithobiidae,57
Lithobius piceus,Chilopoda,Lithobiidae,61
Lithobius aulacopus,Chilopoda,Lithobiidae,63
Lithobius mutabilis,Chilopoda,Lithobiidae,65
Lithobius cf. mutabilis juv,Chilopoda,Lithobiidae,66
Lithobius sp. juv {m},Chilopoda,Lithobiidae,69
Lithobius sp1 {s},Chilopoda,Lithobiidae,70
Lithobius sp2 {s},Chilopoda,Lithobiidae,71
Lithobius sp4,Chilopoda,Lithobiidae,73
Geophilus ribauti,Chilopoda,Geophilidae,74
Malthodes sp. (juv),Coleoptera,Cantharidae,82
Pterostichus strenuus,Coleoptera,Carabidae,98
Athous haemorrhoidalis (juv),Coleoptera,Elateridae,111
Athous sp. (juv),Coleoptera,Elateridae,117
Aleocharinae sp1 (juv),Coleoptera,Stapylinidae,130
Atheta sp. (juv),Coleoptera,Stapylinidae,136
Geostiba circellaris,Coleoptera,Stapylinidae,140
Gyrohypnus sp. (juv),Coleoptera,Stapylinidae,141
Othius sp. (juv),Coleoptera,Stapylinidae,150
Oxypoda annularis,Coleoptera,Stapylinidae,151
Amaurobius sp (juv),Araneae,Amaurobiidae,164
Coelotes sp (juv) {l},Araneae,Amaurobiidae,168
Diplocephalus picinus (ad),Araneae,Linyphiidae,172
Linyphiidae (juv),Araneae,Linyphiidae,178
Micrargus herbigradus (ad),Araneae,Linyphiidae,179
Neobisium carcinoides (ad),Pseudoscorpiones,Neobisidae,181
