sp_name,guild,family,sp_id,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
Ceratophysella denticulata,Collembola,Hypogastruridae,4,5,13,3.666666666666667,2.0
Deuteraphorura inermis,Collembola,Onychiuridae,8,3,4,2.75,2.0
Folsomia quadrioculata,Collembola,Isotomidae,14,1,13,2.0,1.0
Folsomia spinosa,Collembola,Isotomidae,15,1,13,2.0,1.0
Isotomiella minor,Collembola,Isotomidae,22,6,12,3.5454545454545454,2.0
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25,1,10,2.0,1.0
Mesaphorura sp.,Collembola,Tullbergiidae,28,5,12,3.5882352941176467,2.0
Micranurida pygmaea,Collembola,Neanuridae,32,5,12,3.5882352941176467,2.0
Paratullbergia callipygos,Collembola,Tullbergiidae,38,5,12,3.5882352941176467,2.0
Parisotoma notabilis,Collembola,Isotomidae,40,6,12,3.5454545454545454,2.0
Sminthurinus aureus,Collembola,Katiannidae,48,4,12,2.0,1.0
Lithobius crassipes,Chilopoda,Lithobiidae,58,59,26,3.8851851851851853,3.0
Lithobius cf. crassipes juv,Chilopoda,Lithobiidae,59,65,31,3.870629370629371,3.0
Lithobius piceus,Chilopoda,Lithobiidae,61,61,12,3.892361111111111,3.0
Lithobius cf. mutabilis juv,Chilopoda,Lithobiidae,66,62,31,3.868794326241135,3.0
Lithobius dentatus,Chilopoda,Lithobiidae,67,61,15,3.887323943661972,3.0
Lithobius sp1 {s},Chilopoda,Lithobiidae,70,43,20,3.8514285714285714,2.0
Lithobius sp2 {s},Chilopoda,Lithobiidae,71,47,24,3.8615384615384616,7.0
Lithobius sp4,Chilopoda,Lithobiidae,73,60,24,3.88768115942029,3.0
Geophilus ribauti,Chilopoda,Geophilidae,74,58,19,3.884328358208955,3.0
Geophilus insculptus,Chilopoda,Geophilidae,75,58,14,3.8847583643122676,3.0
Schendyla nemorensis,Chilopoda,Schendylidae,77,58,16,3.884328358208955,3.0
Geophilus flavus,Chilopoda,Geophilidae,78,62,11,3.8945578231292517,3.0
Strigamia acuminata,Chilopoda,Dignathodontidae,79,63,11,3.889655172413793,3.0
Scolopendrella sp./subnuda {s},Symphyla,Scolopendrellidae,81,8,17,2.5,1.0
Harpalus latus,Coleoptera,Carabidae,87,49,4,3.911392405063291,3.0
Otiorhynchus sp.,Coleoptera,Curculionidae,104,2,29,2.0,1.0
Agriotes acuminatus (juv),Coleoptera,Elateridae,107,1,20,2.0,1.0
Athous haemorrhoidalis (juv),Coleoptera,Elateridae,111,1,18,2.0,1.0
Athous subfuscus (juv) {m},Coleoptera,Elateridae,113,35,38,3.811688311688312,6.0
Athous vittatus (juv),Coleoptera,Elateridae,115,1,23,2.0,1.0
Athous sp. (juv),Coleoptera,Elateridae,117,1,34,2.0,1.0
Elateridae sp1 (juv) {m},Coleoptera,Elateridae,119,1,39,2.0,1.0
Histeridae sp1,Coleoptera,Histeridae,120,26,31,3.8962962962962964,4.0
Xantholinus sp. (juv),Coleoptera,Stapylinidae,160,27,34,3.8461538461538463,4.0
Anelasmocephalus cambridgei,Opiliones,Trogulidae,163,48,23,3.899581589958159,3.0
Amaurobius sp (juv),Araneae,Amaurobiidae,164,43,18,3.9069767441860463,3.0
Clubiona comta (ad),Araneae,Clubionidae,169,41,19,3.9086538461538463,3.0
Diplocephalus picinus (ad),Araneae,Linyphiidae,172,16,32,3.8395061728395063,5.0
Hahnia pusilla (juv),Araneae,Hahniidae,174,22,39,3.878787878787879,3.0
Hahnia pusilla (ad),Araneae,Hahniidae,175,18,33,3.870967741935484,4.0
Harpactea lepida (juv),Araneae,Dysderidae,176,24,29,3.888,4.0
Linyphiidae (juv),Araneae,Linyphiidae,178,22,36,3.854368932038835,6.0
Microneta viaria (ad),Araneae,Linyphiidae,180,22,32,3.8869565217391306,4.0
Robertus lividus (ad),Araneae,Theridiidae,186,37,22,3.9047619047619047,3.0
Tenuiphantes tenebricola (ad),Araneae,Linyphiidae,191,16,32,3.851851851851852,5.0
Trogulus tricarinatus,Opiliones,Trogulidae,192,57,15,3.8945454545454545,3.0
Trombidiidae,Prostigmata,Trombidiidae,193,28,35,3.8444444444444446,6.0
Vulgarogamasus sp juv,Mesostigmata,Parasitidae,202,28,26,3.829059829059829,3.0
Leitneria granulata (juv),Mesostigmata,Halolaelapidae,215,9,13,3.757575757575758,2.0
Prozercon fimbriatus (ad),Mesostigmata,Zerconidae,239,16,12,3.7586206896551726,2.0
Rhodacarellus kreuzi (ad),Mesostigmata,Rhodacaridae,241,17,12,3.78125,2.0
Urodiaspis tecta (juv),Mesostigmata,Urodinychidae,246,5,16,3.5882352941176467,2.0
Uropoda cassidea (ad),Mesostigmata,Uropodidae,248,5,18,3.5882352941176467,2.0
Uropoda cassidea (juv),Mesostigmata,Uropodidae,249,5,13,3.5882352941176467,2.0
Uropoda minima (ad),Mesostigmata,Uropodidae,251,5,8,3.5882352941176467,2.0
Veigaia sp (juv),Mesostigmata,Veigaiaidae,265,14,13,3.723404255319149,3.0
Zercon cf gurensis sp1 (ad),Mesostigmata,Zerconidae,266,21,13,3.8,2.0
