sp_name,guild,family,sp_id
Ceratophysella armata,Collembola,Hypogastruridae,3
Deuteraphorura inermis,Collembola,Onychiuridae,8
Folsomia quadrioculata,Collembola,Isotomidae,14
Hypogastrura purpurescens,Collembola,Hypogastruridae,20
Isotomiella minor,Collembola,Isotomidae,22
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25
Lipothrix (Sphyrotheca) lubbocki,Collembola,Sminthuridae,26
Megalothorax minimus,Collembola,Neelidae,27
Mesaphorura sp.,Collembola,Tullbergiidae,28
Paratullbergia callipygos,Collembola,Tullbergiidae,38
Parisotoma notabilis,Collembola,Isotomidae,40
Protaphorura armata,Collembola,Onychiuridae,42
Supraphorura furcifera,Collembola,Onychiuridae,52
Tomocerus minutus,Collembola,Tomoceridae,54
Lithobius mutabilis,Chilopoda,Lithobiidae,65
Lithobius cf. mutabilis juv,Chilopoda,Lithobiidae,66
Lithobius sp4,Chilopoda,Lithobiidae,73
Geophilus ribauti,Chilopoda,Geophilidae,74
Geophilus insculptus,Chilopoda,Geophilidae,75
Strigamia acuminata,Chilopoda,Dignathodontidae,79
Malthodes sp. (juv),Coleoptera,Cantharidae,82
Rhagonycha lignosa,Coleoptera,Cantharidae,83
Pterostichus oblongopunctatus,Coleoptera,Carabidae,97
Tropiphorus sp.,Coleoptera,Curculionidae,105
Curculionidae (juv),Coleoptera,Curculionidae,106
Agriotes sp. (juv),Coleoptera,Elateridae,109
Athous haemorrhoidalis (juv),Coleoptera,Elateridae,111
Athous subfuscus (juv) {m},Coleoptera,Elateridae,113
Athous sp. (juv),Coleoptera,Elateridae,117
Acrotrichis sp.,Coleoptera,Ptilidae,126
Oxytelus sp. (juv),Coleoptera,Stapylinidae,152
Amaurobius sp (juv),Araneae,Amaurobiidae,164
Coelotes terrestris (ad),Araneae,Amaurobiidae,170
Diplocephalus picinus (ad),Araneae,Linyphiidae,172
Hahnia pusilla (juv),Araneae,Hahniidae,174
Hahnia pusilla (ad),Araneae,Hahniidae,175
Linyphiidae (juv),Araneae,Linyphiidae,178
Microneta viaria (ad),Araneae,Linyphiidae,180
Phalangiidae (juv),Opiliones,Phalangiidae,185
Robertus lividus (ad),Araneae,Theridiidae,186
Robertus sp (juv) {m},Araneae,Theridiidae,187
Vulgarogamasus sp juv,Mesostigmata,Parasitidae,202
Epicrius canestrinii (ad),Mesostigmata,Epicriidae,205
Geholaspis mandibularis (ad),Mesostigmata,Macrochelidae,210
Leioseius bicolor (ad),Mesostigmata,Ascidae,214
Leitneria granulata (juv),Mesostigmata,Halolaelapidae,215
Lysigamasus cf conus(ad),Mesostigmata,Pergamasinae,217
Pachylaelaps fuscinuliger (ad),Mesostigmata,Pachylaelapidae,227
