sp_name,guild,family,sp_id,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
Isotomiella minor,Collembola,Isotomidae,22,6,11,3.5454545454545454,2.0
Lepidocyrtus cyaneus,Collembola,Entomobryidae,24,1,16,2.0,1.0
Lepidocyrtus lanuginosus,Collembola,Entomobryidae,25,1,16,2.0,1.0
Megalothorax minimus,Collembola,Neelidae,27,7,23,3.416666666666667,2.0
Mesaphorura sp.,Collembola,Tullbergiidae,28,5,23,3.5882352941176467,2.0
Micranurida pygmaea,Collembola,Neanuridae,32,5,13,3.5882352941176467,2.0
Paratullbergia callipygos,Collembola,Tullbergiidae,38,5,23,3.5882352941176467,2.0
Parisotoma notabilis,Collembola,Isotomidae,40,6,8,3.5454545454545454,2.0
Protaphorura armata,Collembola,Onychiuridae,42,4,6,2.8333333333333335,2.0
Tomocerus flavescens,Collembola,Tomoceridae,53,1,36,2.0,1.0
Lithobius sp4,Chilopoda,Lithobiidae,73,65,13,4.081325301204819,3.0
Schendyla nemorensis,Chilopoda,Schendylidae,77,55,7,4.108771929824561,3.0
Athous subfuscus (juv) {m},Coleoptera,Elateridae,113,36,34,3.9130434782608696,2.0
Athous sp. (juv),Coleoptera,Elateridae,117,1,30,2.0,1.0
Dalopius marginatus (juv) {m},Coleoptera,Elateridae,118,1,37,2.0,1.0
Atheta sp. (juv),Coleoptera,Stapylinidae,136,31,38,3.8920863309352516,2.0
Geostiba circellaris,Coleoptera,Stapylinidae,140,36,26,4.104972375690608,2.0
Othius subuliformis,Coleoptera,Stapylinidae,149,43,14,4.127659574468085,4.0
Othius sp. (juv),Coleoptera,Stapylinidae,150,41,18,4.111650485436893,2.0
Xantholininae sp1 (juv),Coleoptera,Stapylinidae,161,43,23,4.085308056872038,2.0
Linyphiidae (juv),Araneae,Linyphiidae,178,25,30,4.0,3.0
Microneta viaria (ad),Araneae,Linyphiidae,180,32,20,4.182926829268293,3.0
Neon reticulatus (juv),Araneae,Salticidae,184,27,30,4.045454545454545,3.0
Robertus lividus (ad),Araneae,Theridiidae,186,43,9,4.153846153846153,3.0
Tapinocyba insecta (ad),Araneae,Linyphiidae,189,34,23,4.149425287356322,3.0
Lysigamasus vagabundus (ad),Mesostigmata,Pergamasinae,222,30,35,3.878787878787879,2.0
Pachylaelaps longisetosus (ad),Mesostigmata,Pachylaelapidae,228,6,33,3.5238095238095237,2.0
Pergamasus sp (juv) {s},Mesostigmata,Pergamasinae,237,30,34,3.887218045112782,3.0
Phytoseinae (juv),Mesostigmata,Phytoseinae,238,12,16,3.770833333333333,2.0
Trachytes aegrota (ad),Mesostigmata,Trachytidae,242,5,32,3.5882352941176467,2.0
Trachytes aegrota (juv) {xs},Mesostigmata,Trachytidae,243,5,11,3.5882352941176467,2.0
Urodiaspis tecta (juv),Mesostigmata,Urodinychidae,246,5,23,3.5882352941176467,2.0
Uropoda minima (ad),Mesostigmata,Uropodidae,251,5,12,3.5882352941176467,2.0
Uropoda minima (juv),Mesostigmata,Uropodidae,252,5,8,3.5882352941176467,2.0
Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263,28,36,3.8677685950413223,2.0
