sp_name,guild,family,sp_id
Folsomia quadrioculata,Collembola,Isotomidae,14
Isotomiella minor,Collembola,Isotomidae,22
Megalothorax minimus,Collembola,Neelidae,27
Mesaphorura sp.,Collembola,Tullbergiidae,28
Micranurida pygmaea,Collembola,Neanuridae,32
Micraphorura absoloni,Collembola,Onychiuridae,33
Paratullbergia callipygos,Collembola,Tullbergiidae,38
Parisotoma notabilis,Collembola,Isotomidae,40
Sminthurinus aureus,Collembola,Katiannidae,48
Tomocerus vulgaris,Collembola,Tomoceridae,55
Lithobius sp4,Chilopoda,Lithobiidae,73
Schendyla nemorensis,Chilopoda,Schendylidae,77
Agriotes aterrimus (juv),Coleoptera,Elateridae,108
Athous subfuscus (juv) {m},Coleoptera,Elateridae,113
Athous sp. (juv),Coleoptera,Elateridae,117
Plectophoreus fischeri,Coleoptera,Pselaphidae,124
Acrotrichis sp.,Coleoptera,Ptilidae,126
Habrocerus capillaricornis,Coleoptera,Stapylinidae,142
Othius sp. (juv),Coleoptera,Stapylinidae,150
Diplocephalus picinus (ad),Araneae,Linyphiidae,172
Linyphiidae (juv),Araneae,Linyphiidae,178
Microneta viaria (ad),Araneae,Linyphiidae,180
Neobisium carcinoides (ad),Pseudoscorpiones,Neobisidae,181
Neobisium sp,Pseudoscorpiones,Neobisidae,182
Phalangiidae (juv),Opiliones,Phalangiidae,185
Robertus lividus (ad),Araneae,Theridiidae,186
Tapinocyba insecta (ad),Araneae,Linyphiidae,189
Vulgarogamasus sp juv,Mesostigmata,Parasitidae,202
Leioseius bicolor (ad),Mesostigmata,Ascidae,214
Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234
Pergamasus sp (juv) {s},Mesostigmata,Pergamasinae,237
Trachytes aegrota (juv) {xs},Mesostigmata,Trachytidae,243
Urodiaspis tecta (juv),Mesostigmata,Urodinychidae,246
Uropoda minima (ad),Mesostigmata,Uropodidae,251
Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
Campodea sp {m},Diplura,Campodeidae,294
Achipteria coleoptrata,Oribatida,Achipteriidae,295
Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302
Chamobates voigtsi,Oribatida,Chamobatidae,308
Eniochthonius minutissimus,Oribatida,Eniochthoniidae,313
Oribatida juv.,Oribatida,,323
Metabelba pulverosa,Oribatida,Damaeidae,330
Microppia minus,Oribatida,Oppiidae,331
Nanhermannia nana,Oribatida,Nanhermanniidae,332
Nothrus silvestris,Oribatida,Nothridae,335
Oppiella nova,Oribatida,Oppiidae,338
Oribatella calcarata,Oribatida,Oribatellidae,342
Phthiracarus compressus,Oribatida,Phthiracaridae,348
Phthiracarus lentulus,Oribatida,Phthiracaridae,350
Phthiracarus longulus,Oribatida,Phthiracaridae,351
Platynothrus peltifer,Oribatida,Camisiidae,353
