trophospecies_id,n_lumped,sp_name,guild,family,sp_id,web_id,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,Allacma fusca,Collembola,Sminthuridae,1,AEW1,3,17,2.0,1.0,1.619047619047619,34.0,2.8407854808590103,1.646086591875652,28.56491153773762
2,1,Ceratophysella denticulata,Collembola,Hypogastruridae,4,AEW1,3,14,3.4,2.0,1.5,14.571428571428571,2.8407854808590103,1.646086591875652,28.56491153773762
3,2,Folsomia quadrioculata;Folsomia spinosa,Collembola,Isotomidae,14;15,AEW1,1,14,2.0,1.0,1.457142857142857,102.0,2.8407854808590103,1.646086591875652,28.56491153773762
5,2,Isotomiella minor;Parisotoma notabilis,Collembola,Isotomidae,22;40,AEW1,4,12,3.2857142857142856,2.0,1.4166666666666667,10.2,2.8407854808590103,1.646086591875652,28.56491153773762
6,1,Megalothorax minimus,Collembola,Neelidae,27,AEW1,5,21,3.125,2.0,1.728813559322034,9.272727272727273,2.8407854808590103,1.646086591875652,28.56491153773762
7,2,Mesaphorura sp.;Mesaphorura macrochaeta,Collembola,Tullbergiidae,28;691,AEW1,5,21,3.5882352941176467,2.0,1.728813559322034,4.434782608695652,2.8407854808590103,1.646086591875652,28.56491153773762
9,1,Proisotoma minima,Collembola,Isotomidae,41,AEW1,4,22,3.2857142857142856,2.0,1.8214285714285714,10.2,2.8407854808590103,1.646086591875652,28.56491153773762
10,2,Protaphorura armata;Protaphorura sp.,Collembola,Onychiuridae,42;361,AEW1,4,8,2.8333333333333335,2.0,1.4166666666666667,10.2,2.8407854808590103,1.646086591875652,28.56491153773762
11,1,Lithobius sp4,Chilopoda,Lithobiidae,73,AEW1,55,10,3.9111111111111114,3.0,1.6451612903225807,0.7034482758620689,3.9070318158416018,1.9690525240344354,0.6982792703395531
12,1,Geophilus ribauti,Chilopoda,Geophilidae,74,AEW1,52,6,3.9058823529411764,3.0,1.5,0.6891891891891891,3.9070318158416018,1.9690525240344354,0.6982792703395531
13,1,Schendyla nemorensis,Chilopoda,Schendylidae,77,AEW1,48,4,3.920168067226891,3.0,0.9532710280373832,0.6666666666666666,3.9070318158416018,1.9690525240344354,0.6982792703395531
14,1,Malthodes sp. (juv),Coleoptera,Cantharidae,82,AEW1,38,11,3.9230769230769234,3.0,2.3181818181818183,0.6219512195121951,3.273848899182607,2.737718800264075,31.304584133082084
15,1,Pterostichus strenuus,Coleoptera,Carabidae,98,AEW1,39,4,3.912621359223301,3.0,1.186046511627907,0.6296296296296297,3.273848899182607,2.737718800264075,31.304584133082084
16,1,Nargus anisotomoides,Coleoptera,Catopidae,101,AEW1,3,21,2.75,2.0,2.914285714285714,14.571428571428571,3.273848899182607,2.737718800264075,31.304584133082084
17,1,Athous zebei (juv) {s},Coleoptera,Elateridae,116,AEW1,1,29,2.0,1.0,3.5172413793103448,102.0,3.273848899182607,2.737718800264075,31.304584133082084
18,1,Dalopius marginatus (juv) {m},Coleoptera,Elateridae,118,AEW1,1,30,2.0,1.0,3.1875,102.0,3.273848899182607,2.737718800264075,31.304584133082084
19,1,Elateridae sp1 (juv) {m},Coleoptera,Elateridae,119,AEW1,1,30,2.0,1.0,3.4,102.0,3.273848899182607,2.737718800264075,31.304584133082084
20,1,Atheta fungi,Coleoptera,Stapylinidae,133,AEW1,33,27,3.883116883116883,5.0,3.642857142857143,0.5513513513513514,3.273848899182607,2.737718800264075,31.304584133082084
21,1,Atheta sp.,Coleoptera,Stapylinidae,135,AEW1,35,25,3.8674698795180724,5.0,3.4,0.5573770491803278,3.273848899182607,2.737718800264075,31.304584133082084
22,1,Gyrohypnus sp. (juv),Coleoptera,Stapylinidae,141,AEW1,42,16,3.901477832512315,5.0,2.6153846153846154,0.5795454545454546,3.273848899182607,2.737718800264075,31.304584133082084
23,1,Othius sp. (juv),Coleoptera,Stapylinidae,150,AEW1,42,12,3.909090909090909,5.0,2.372093023255814,0.5795454545454546,3.273848899182607,2.737718800264075,31.304584133082084
24,1,Xantholinus sp. (juv),Coleoptera,Stapylinidae,160,AEW1,40,20,3.8936170212765955,5.0,2.914285714285714,0.5730337078651685,3.273848899182607,2.737718800264075,31.304584133082084
25,1,Xantholininae sp1 (juv),Coleoptera,Stapylinidae,161,AEW1,45,21,3.8653846153846154,5.0,3.0,0.5895953757225434,3.273848899182607,2.737718800264075,31.304584133082084
26,1,Amaurobius sp (juv),Araneae,Amaurobiidae,164,AEW1,37,5,3.9109947643979055,3.0,1.2,0.6219512195121951,3.911187007019187,2.809501532650913,0.8180252252766244
27,1,Linyphiidae (juv),Araneae,Linyphiidae,178,AEW1,31,28,3.8823529411764706,2.0,3.642857142857143,1.3972602739726028,3.911187007019187,2.809501532650913,0.8180252252766244
