trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,2,Folsomia quadrioculata;Folsomia spinosa,Collembola,Isotomidae,14;15
3,3,Isotomidae;Isotomiella minor;Parisotoma notabilis,Collembola,Isotomidae,21;22;40
5,3,Lepidocyrtus cyaneus;Lepidocyrtus lanuginosus;Lepidocyrtus lignorum,Collembola,Entomobryidae,24;25;688
7,1,Megalothorax minimus,Collembola,Neelidae,27
8,2,Mesaphorura sp.;Mesaphorura macrochaeta,Collembola,Tullbergiidae,28;691
9,3,Micranurida granulata;Trachytes pauperior (juv);Neanura muscorum,Collembola;Mesostigmata,Neanuridae;Trachytidae,31;245;696
11,2,Protaphorura armata;Protaphorura sp.,Collembola,Onychiuridae,42;361
12,1,Tomocerus flavescens,Collembola,Tomoceridae,53
13,1,Lithobius muticus,Chilopoda,Lithobiidae,57
14,1,Lithobius piceus,Chilopoda,Lithobiidae,61
15,1,Lithobius aulacopus,Chilopoda,Lithobiidae,63
16,1,Lithobius mutabilis,Chilopoda,Lithobiidae,65
17,1,Lithobius cf. mutabilis juv,Chilopoda,Lithobiidae,66
18,1,Lithobius sp. juv {m},Chilopoda,Lithobiidae,69
19,1,Lithobius sp1 {s},Chilopoda,Lithobiidae,70
20,1,Lithobius sp2 {s},Chilopoda,Lithobiidae,71
21,1,Lithobius sp4,Chilopoda,Lithobiidae,73
22,1,Geophilus ribauti,Chilopoda,Geophilidae,74
23,1,Malthodes sp. (juv),Coleoptera,Cantharidae,82
24,1,Pterostichus strenuus,Coleoptera,Carabidae,98
25,2,Athous haemorrhoidalis (juv);Elateridae sp1 (juv) {l},Coleoptera,Elateridae,111;724
26,1,Athous sp. (juv),Coleoptera,Elateridae,117
27,1,Aleocharinae sp1 (juv),Coleoptera,Stapylinidae,130
28,1,Atheta sp. (juv),Coleoptera,Stapylinidae,136
29,1,Geostiba circellaris,Coleoptera,Stapylinidae,140
30,1,Gyrohypnus sp. (juv),Coleoptera,Stapylinidae,141
31,1,Othius sp. (juv),Coleoptera,Stapylinidae,150
32,1,Oxypoda annularis,Coleoptera,Stapylinidae,151
33,1,Amaurobius sp (juv),Araneae,Amaurobiidae,164
34,1,Coelotes sp (juv) {l},Araneae,Amaurobiidae,168
35,1,Diplocephalus picinus (ad),Araneae,Linyphiidae,172
36,1,Linyphiidae (juv),Araneae,Linyphiidae,178
37,1,Micrargus herbigradus (ad),Araneae,Linyphiidae,179
38,1,Neobisium carcinoides (ad),Pseudoscorpiones,Neobisidae,181
39,1,Neobisium sp,Pseudoscorpiones,Neobisidae,182
40,1,Phalangiidae (juv),Opiliones,Phalangiidae,185
41,1,Robertus lividus (ad),Araneae,Theridiidae,186
42,1,Robertus sp (juv) {m},Araneae,Theridiidae,187
43,1,Saloca diceros (ad),Araneae,Linyphiidae,188
44,1,Tapinocyba pallens (ad),Araneae,Linyphiidae,190
45,1,Walckenaeria dysderoides (ad),Araneae,Linyphiidae,195
46,1,Lysigamasus sp (juv),Mesostigmata,Pergamasinae,201
47,1,Geholaspis aeneus (ad),Mesostigmata,Macrochelidae,209
48,1,Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234
49,1,Trachytes aegrota (ad),Mesostigmata,Trachytidae,242
51,1,Uropoda cassidea (ad),Mesostigmata,Uropodidae,248
52,1,Uropoda cassidea (juv),Mesostigmata,Uropodidae,249
53,1,Uroseius cylindricus (ad),Mesostigmata,Polyaspidae,254
54,1,Veigaia cerva (ad),Mesostigmata,Veigaiaidae,257
