trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,Ceratophysella denticulata,Collembola,1,3,13,3.4,2.0,1.4246575342465753,14.857142857142858,2.692475879240585,1.4424642883874568,43.070380826902564
2,Folsomia quadrioculata;Folsomia spinosa,Collembola,2,1,12,2.0,1.0,1.4054054054054055,104.0,2.692475879240585,1.4424642883874568,43.070380826902564
4,Isotomiella minor;Parisotoma notabilis,Collembola,2,4,9,3.2857142857142856,2.0,1.3506493506493507,10.4,2.692475879240585,1.4424642883874568,43.070380826902564
5,Lepidocyrtus cyaneus;Lepidocyrtus lanuginosus,Collembola,2,1,13,2.0,1.0,1.4246575342465753,104.0,2.692475879240585,1.4424642883874568,43.070380826902564
7,Megalothorax minimus,Collembola,1,5,15,3.125,2.0,1.5072463768115942,9.454545454545455,2.692475879240585,1.4424642883874568,43.070380826902564
8,Mesaphorura sp.;Mesaphorura italica,Collembola,2,5,15,3.5882352941176467,2.0,1.5072463768115942,4.521739130434782,2.692475879240585,1.4424642883874568,43.070380826902564
10,Sminthurinus aureus,Collembola,1,4,11,2.0,1.0,1.3866666666666667,26.0,2.692475879240585,1.4424642883874568,43.070380826902564
11,Lithobius melanops,Chilopoda,1,45,11,3.80672268907563,3.0,1.6774193548387097,0.697986577181208,3.8270432944519124,2.1765330828080005,0.8239822055849318
12,Lithobius mutabilis,Chilopoda,1,46,12,3.81404958677686,3.0,1.9259259259259258,0.7027027027027027,3.8270432944519124,2.1765330828080005,0.8239822055849318
13,Lithobius sp1 {s},Chilopoda,1,35,22,3.839160839160839,3.0,2.122448979591837,1.223529411764706,3.8270432944519124,2.1765330828080005,0.8239822055849318
14,Lithobius sp2 {s},Chilopoda,1,42,25,3.8666666666666667,2.0,2.260869565217391,1.3866666666666667,3.8270432944519124,2.1765330828080005,0.8239822055849318
15,Lithobius sp4,Chilopoda,1,48,17,3.8273092369477912,3.0,2.2127659574468086,0.7123287671232876,3.8270432944519124,2.1765330828080005,0.8239822055849318
16,Strigamia acuminata,Chilopoda,1,51,7,3.796934865900383,3.0,1.5522388059701493,0.7222222222222222,3.8270432944519124,2.1765330828080005,0.8239822055849318
17,Molops elatus,Coleoptera,1,24,1,3.8865248226950353,3.0,0.0,0.49523809523809526,3.058643535613018,13.34778257029568,27.331562709034614
