trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,1,Allacma fusca,Collembola,Sminthuridae,1
2,1,Desoria violacea,Collembola,Isotomidae,7
3,1,Deuteraphorura inermis,Collembola,Onychiuridae,8
4,2,Folsomia quadrioculata;Folsomia spinosa,Collembola,Isotomidae,14;15
6,1,Friesea mirabilis,Collembola,Neanuridae,16
7,1,Isotomiella minor,Collembola,Isotomidae,22
8,1,Megalothorax minimus,Collembola,Neelidae,27
9,1,Mesaphorura sp.,Collembola,Tullbergiidae,28
10,1,Micranurida pygmaea,Collembola,Neanuridae,32
11,1,Orchesella bifasciata,Collembola,Entomobryidae,37
12,1,Parisotoma notabilis,Collembola,Isotomidae,40
13,1,Protaphorura armata,Collembola,Onychiuridae,42
14,2,Sminthurinus aureus;Sminthurinus sp. juv,Collembola,Katiannidae,48;49
16,1,Lithobius cf. crassipes juv,Chilopoda,Lithobiidae,59
17,1,Lithobius sp1 {s},Chilopoda,Lithobiidae,70
18,1,Lithobius sp4,Chilopoda,Lithobiidae,73
19,1,Schendyla nemorensis,Chilopoda,Schendylidae,77
20,1,Strigamia acuminata,Chilopoda,Dignathodontidae,79
21,1,Scolopendrella sp./subnuda {s},Symphyla,Scolopendrellidae,81
22,1,Malthodes sp. (juv),Coleoptera,Cantharidae,82
23,1,Lamprohiza splendidula (juv),Coleoptera,Lampyridae,121
24,1,Acrotrichis sp.,Coleoptera,Ptilidae,126
25,1,Atheta sp.,Coleoptera,Stapylinidae,135
26,1,Atheta sp. (juv),Coleoptera,Stapylinidae,136
27,1,Geostiba circellaris,Coleoptera,Stapylinidae,140
28,1,Xantholinus sp. (juv),Coleoptera,Stapylinidae,160
29,1,Amaurobius sp (juv),Araneae,Amaurobiidae,164
30,1,Diplocephalus latifrons (ad),Araneae,Linyphiidae,171
31,1,Hahnia pusilla (ad),Araneae,Hahniidae,175
32,1,Linyphiidae (juv),Araneae,Linyphiidae,178
33,1,Micrargus herbigradus (ad),Araneae,Linyphiidae,179
34,1,Phalangiidae (juv),Opiliones,Phalangiidae,185
35,1,Robertus lividus (ad),Araneae,Theridiidae,186
36,1,Tapinocyba insecta (ad),Araneae,Linyphiidae,189
37,1,Arctoseius magnanalis (ad),Mesostigmata,Ascidae,199
38,1,Lysigamasus sp (juv),Mesostigmata,Pergamasinae,201
39,1,Gamasina (juv),Mesostigmata,Gamasina,208
40,1,Geholaspis sp (juv),Mesostigmata,Macrochelidae,211
41,1,Leptogamasus suecicus (ad),Mesostigmata,Pergamasinae,216
42,1,Lysigamasus lapponicus (ad),Mesostigmata,Pergamasinae,219
43,1,Parasitidae (juv) {xs},Mesostigmata,Parasitidae,233
44,1,Pergamasus crassipes (ad),Mesostigmata,Pergamasinae,236
45,1,Prozercon fimbriatus (ad),Mesostigmata,Zerconidae,239
46,1,Uropodina (juv),Mesostigmata,Uropodidae,253
47,1,Veigaia cerva (juv),Mesostigmata,Veigaiaidae,258
48,1,Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
49,1,Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
50,1,Zercon cf gurensis sp1 (ad),Mesostigmata,Zerconidae,266
51,7,Aporrectodea caliginosa (juv) {xl};Aporrectodea rosea (ad);Aporrectodea rosea (juv);Lumbricus rubellus (ad) {xxl};Lumbricus rubellus (juv) {xxl};Octolasion tyrtaeum (ad) {xxxl};Octolasion tyrtaeum (juv) {xxl},Lumbricidae,Lumbricidae,272;274;275;743;744;747;748
54,1,Achipteria coleoptrata,Oribatida,Achipteriidae,295
55,1,Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302
56,1,Carabodes labyrinthicus,Oribatida,Carabodidae,304
57,1,Chamobates voigtsi,Oribatida,Chamobatidae,308
58,1,Dissorhina ornata,Oribatida,Oppiidae,312
59,1,Oribatida juv.,Oribatida,,323
60,2,Microppia minus;Oppiella falcata,Oribatida,Oppiidae,331;337
62,2,Oppiella nova;Suctobelbella spp.,Oribatida,Oppiidae;Suctobelbidae,338;625
63,1,Oppiella subpectinata,Oribatida,Oppiidae,339
64,1,Oribatella calcarata,Oribatida,Oribatellidae,342
65,1,Tectocepheus velatus alatus,Oribatida,Tectocepheidae,372
66,1,Ligidium hypnorum,Isopoda,Ligiidae,379
67,2,Allaiulus nitidus {xl};Porcellio spec,Diplopoda;Isopoda,Julidae;Porcellionidae,383;915
68,1,Polydesmidae,Diplopoda,Polydesmidae,396
69,1,plants,Basal,Plants,401
70,1,roots,Basal,Roots,402
71,1,root exudates,Basal,Roots,403
72,1,mykorrhiza,Basal,Fungi,404
73,1,saphrophytes,Basal,Fungi,405
74,1,bacterivor nematodes,Basal,Nematoda,406
75,1,fungivor nematodes,Basal,Nematoda,407
76,1,root feeding nematodes,Basal,Nematoda,408
77,1,predatious nematodes,Basal,Nematoda,409
78,1,omniv. Nematodes,Basal,Nematoda,410
79,1,bacteria,Basal,Bacteria,411
80,3,flagelata;ciliata;amoeba,Basal,Protozoa,412;413;414
83,1,algae,Basal,Algae,415
84,1,enchitraeidae,Enchitraeidae,Enchitraeidae,416
85,1,dead organic matter detritus,Basal detritus,detritus,417
86,1,litter detritus,Basal detritus,detritus,442
87,1,Erigonella hiemalis (ad),Araneae,Linyphiidae,466
88,1,Macrargus rufus (ad),Araneae,Linyphiidae,473
89,1,Julidae spec,Diplopoda,Julidae,486
91,1,Lithobius sp2 {l},Chilopoda,Lithobiidae,706
92,1,Scutigerella immaculata {m},Symphyla,Scutigerellidae,718
93,1,Athous subfuscus (juv) {l},Coleoptera,Elateridae,720
94,1,Dalopius marginatus (juv) {l},Coleoptera,Elateridae,723
95,1,Elateridae sp1 (juv) {l},Coleoptera,Elateridae,724
96,1,Pergamasinae (juv) {s},Mesostigmata,Pergamasinae,735
101,1,Staphylinidae sp1 (juv),Coleoptera,Stapylinidae,771
102,2,Nesovitrea hammonis;Aegopinella pura,Gastropoda,Oxychilidae,813;826
103,1,Arion silvaticus,Gastropoda,Arionidae,815
104,1,Helicidae spec juv,Gastropoda,Helicidae,825
106,1,Aegopinella pura juv,Gastropoda,Oxychilidae,827
107,1,Aegopinella nitidula juv,Gastropoda,Oxychilidae,831
108,1,Clausilia bidentata juv,Gastropoda,Clausiliidae,833
109,1,Cantharidae spec,Coleoptera,Cantharidae,851
110,2,Larve spec;Elateridae spec,Coleoptera,Larve spec;Elateridae,857;861
111,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
