trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,Arrhopalites pygmaeus,Collembola,1,3,16,2.0,1.0,1.2037037037037037,43.333333333333336,2.7763538748832866,1.2462729860588708,43.391921283225635
2,Ceratophysella denticulata,Collembola,1,3,17,3.4,2.0,1.2380952380952381,18.571428571428573,2.7763538748832866,1.2462729860588708,43.391921283225635
3,Folsomia quadrioculata;Folsomia spinosa,Collembola,2,1,18,2.0,1.0,1.2264150943396226,130.0,2.7763538748832866,1.2462729860588708,43.391921283225635
5,Isotomiella minor;Parisotoma notabilis,Collembola,2,4,14,3.2857142857142856,2.0,1.1403508771929824,13.0,2.7763538748832866,1.2462729860588708,43.391921283225635
6,Lepidocyrtus lanuginosus,Collembola,1,1,17,2.0,1.0,1.2871287128712872,130.0,2.7763538748832866,1.2462729860588708,43.391921283225635
7,Lipothrix (Sphyrotheca) lubbocki,Collembola,1,4,18,2.0,1.0,1.3,32.5,2.7763538748832866,1.2462729860588708,43.391921283225635
8,Megalothorax minimus,Collembola,1,5,19,3.125,2.0,1.3402061855670102,11.818181818181818,2.7763538748832866,1.2462729860588708,43.391921283225635
9,Mesaphorura sp.;Paratullbergia callipygos,Collembola,2,5,19,3.5882352941176467,2.0,1.3402061855670102,5.6521739130434785,2.7763538748832866,1.2462729860588708,43.391921283225635
12,Lithobius crassipes,Chilopoda,1,70,21,3.8430851063829787,3.0,0.8441558441558441,0.7182320441988951,3.841161423639963,1.1226117111006477,0.6528683852305579
13,Lithobius melanops,Chilopoda,1,69,12,3.8410256410256407,3.0,0.7738095238095238,0.7142857142857143,3.841161423639963,1.1226117111006477,0.6528683852305579
14,Lithobius mutabilis,Chilopoda,1,70,16,3.8393782383419692,3.0,0.8024691358024691,0.7222222222222222,3.841161423639963,1.1226117111006477,0.6528683852305579
15,Lithobius cf. mutabilis juv,Chilopoda,1,73,32,3.8469387755102042,3.0,1.368421052631579,0.7182320441988951,3.841161423639963,1.1226117111006477,0.6528683852305579
16,Lithobius sp1 {s},Chilopoda,1,42,33,3.82122905027933,7.0,1.7808219178082192,0.35135135135135137,3.841161423639963,1.1226117111006477,0.6528683852305579
17,Lithobius sp4,Chilopoda,1,72,20,3.8498727735368954,3.0,0.8387096774193549,0.7303370786516854,3.841161423639963,1.1226117111006477,0.6528683852305579
