trophospecies_id,n_lumped,sp_name,guild,family,sp_id
1,1,Folsomia quadrioculata,Collembola,Isotomidae,14
2,2,Isotomiella minor;Xenylla grisea,Collembola,Isotomidae;Hypogastruridae,22;774
3,1,Megalothorax minimus,Collembola,Neelidae,27
4,2,Mesaphorura sp.;Paratullbergia callipygos,Collembola,Tullbergiidae,28;38
5,1,Micranurida pygmaea,Collembola,Neanuridae,32
6,1,Micraphorura absoloni,Collembola,Onychiuridae,33
8,1,Parisotoma notabilis,Collembola,Isotomidae,40
9,1,Sminthurinus aureus,Collembola,Katiannidae,48
10,1,Tomocerus vulgaris,Collembola,Tomoceridae,55
11,1,Lithobius sp4,Chilopoda,Lithobiidae,73
12,1,Schendyla nemorensis,Chilopoda,Schendylidae,77
13,1,Agriotes aterrimus (juv),Coleoptera,Elateridae,108
14,1,Athous subfuscus (juv) {m},Coleoptera,Elateridae,113
15,1,Athous sp. (juv),Coleoptera,Elateridae,117
16,1,Plectophoreus fischeri,Coleoptera,Pselaphidae,124
17,1,Acrotrichis sp.,Coleoptera,Ptilidae,126
18,1,Habrocerus capillaricornis,Coleoptera,Stapylinidae,142
19,1,Othius sp. (juv),Coleoptera,Stapylinidae,150
20,1,Diplocephalus picinus (ad),Araneae,Linyphiidae,172
21,1,Linyphiidae (juv),Araneae,Linyphiidae,178
22,1,Microneta viaria (ad),Araneae,Linyphiidae,180
23,1,Neobisium carcinoides (ad),Pseudoscorpiones,Neobisidae,181
24,1,Neobisium sp,Pseudoscorpiones,Neobisidae,182
25,1,Phalangiidae (juv),Opiliones,Phalangiidae,185
26,1,Robertus lividus (ad),Araneae,Theridiidae,186
27,1,Tapinocyba insecta (ad),Araneae,Linyphiidae,189
28,1,Vulgarogamasus sp juv,Mesostigmata,Parasitidae,202
29,1,Leioseius bicolor (ad),Mesostigmata,Ascidae,214
30,1,Pergamasinae (juv) {xs},Mesostigmata,Pergamasinae,234
31,1,Pergamasus sp (juv) {s},Mesostigmata,Pergamasinae,237
32,1,Trachytes aegrota (juv) {xs},Mesostigmata,Trachytidae,243
33,1,Urodiaspis tecta (juv),Mesostigmata,Urodinychidae,246
34,1,Uropoda minima (ad),Mesostigmata,Uropodidae,251
35,1,Veigaia nemorensis (ad),Mesostigmata,Veigaiaidae,263
36,1,Veigaia nemorensis (juv),Mesostigmata,Veigaiaidae,264
37,1,Campodea sp {m},Diplura,Campodeidae,294
38,1,Achipteria coleoptrata,Oribatida,Achipteriidae,295
39,1,Brachychthoniidae spp.,Oribatida,Brachychthoniidae,302
40,2,Chamobates voigtsi;Microtritia minima,Oribatida,Chamobatidae;Euphthiracaroidae,308;507
41,1,Eniochthonius minutissimus,Oribatida,Eniochthoniidae,313
42,1,Oribatida juv.,Oribatida,,323
43,1,Metabelba pulverosa,Oribatida,Damaeidae,330
44,3,Microppia minus;Berniniella sigma;Oppiella propinqua,Oribatida,Oppiidae,331;493;511
45,1,Nanhermannia nana,Oribatida,Nanhermanniidae,332
46,1,Nothrus silvestris,Oribatida,Nothridae,335
47,2,Oppiella nova;Suctobelbella spp.,Oribatida,Oppiidae;Suctobelbidae,338;625
48,1,Oribatella calcarata,Oribatida,Oribatellidae,342
49,4,Phthiracarus compressus;Phthiracarus lentulus;Phthiracarus longulus;Rhysotritia duplicata,Oribatida,Phthiracaridae;Euphthiracaroidae,348;350;351;517
52,1,Platynothrus peltifer,Oribatida,Camisiidae,353
53,2,Porobelba spinosa;Quadroppia quadricarinata,Oribatida,Damaeidae;Quadroppiidae,355;357
55,1,Scheloribates laevigatus,Oribatida,Scheloribatidae,358
56,1,Protaphorura sp.,Collembola,Onychiuridae,361
57,1,Sphaeridia pumilis,Collembola,Sminthurididae,370
58,1,plants,Basal,Plants,401
59,1,roots,Basal,Roots,402
60,1,root exudates,Basal,Roots,403
61,1,mykorrhiza,Basal,Fungi,404
62,1,saphrophytes,Basal,Fungi,405
63,1,bacterivor nematodes,Basal,Nematoda,406
64,1,fungivor nematodes,Basal,Nematoda,407
65,1,root feeding nematodes,Basal,Nematoda,408
66,1,predatious nematodes,Basal,Nematoda,409
67,1,omniv. Nematodes,Basal,Nematoda,410
68,1,bacteria,Basal,Bacteria,411
69,3,flagelata;ciliata;amoeba,Basal,Protozoa,412;413;414
72,1,algae,Basal,Algae,415
73,1,enchitraeidae,Enchitraeidae,Enchitraeidae,416
74,1,dead organic matter detritus,Basal detritus,detritus,417
75,1,Eviphis sp (juv),Mesostigmata,Eviphididae,419
76,1,Geholaspis longispinosus (juv),Mesostigmata,Macrochelidae,420
77,1,Geholaspis longispinosus (ad),Mesostigmata,Macrochelidae,421
78,1,Lysigamasus sp (ad),Mesostigmata,Pergamasinae,431
79,1,litter detritus,Basal detritus,detritus,442
80,1,Rhodacarus coronatus (ad),Mesostigmata,Rhodacaridae,448
81,1,Urodiaspis tecta (ad),Mesostigmata,Urodinychidae,452
82,1,Diplostyla concolor (ad),Araneae,Linyphiidae,472
83,1,Julidae spec,Diplopoda,Julidae,486
84,1,Adoristes ovatus,Oribatida,Liacaridae,492
86,1,Carabodes coriaceus,Oribatida,Carabodidae,494
87,1,Carabodes ornatus,Oribatida,Carabodidae,496
90,1,Phthiracarus laevigatus,Oribatida,Phthiracaridae,515
92,1,Scheloribates initialis,Oribatida,Scheloribatidae,518
93,1,Pterostichus chamaeleon (juv),Coleoptera,Carabidae,542
94,1,Pterostichus spec.,Coleoptera,Carabidae,543
95,1,Lathrobium brunnipes,Coleoptera,Stapylinidae,556
96,1,Mycetoporus sp.,Coleoptera,Stapylinidae,562
97,1,Clubionidae (juv),Araneae,Clubionidae,584
99,1,Lepidocyrtus juv.,Collembola,Entomobryidae,689
100,1,Neanura muscorum,Collembola,Neanuridae,696
101,1,Lithobius curtipes {l},Chilopoda,Lithobiidae,702
102,1,Athous zebei (juv) {m},Coleoptera,Elateridae,721
103,1,Elateridae sp1 (juv) {l},Coleoptera,Elateridae,724
104,1,Parasitidae (juv) {s},Mesostigmata,Parasitidae,734
105,2,Lumbricus rubellus (ad) {xxl};Lumbricus rubellus (juv) {xxl},Lumbricidae,Lumbricidae,743;744
107,1,Linyphiidae cf Erigoniinae (juv) {m},Araneae,Linyphiidae,759
109,1,Staphylinidae spec,Coleoptera,Stapylinidae,858
110,1,Coleoptera spec,Coleoptera,Coleoptera spec,863
111,1,Ptilidae spec,Coleoptera,Ptilidae,873
112,1,Carabidae spec,Coleoptera,Carabidae,875
113,1,Molops piceus,Coleoptera,Carabidae,885
114,1,Trichoniscus spec,Isopoda,Trichoniscidae,911
115,1,Chilopoda spec,Chilopoda,Chilopoda spec,921
116,1,Ceratinella brevis,Araneae,Linyphiidae,931
117,1,Theridiidae juv spec,Araneae,Theridiidae,942
118,1,Liocranidae spec juv,Araneae,Liocranidae,976
119,1,Philodromus dispar,Araneae,Philodromidae,977
120,1,Haplodrassus silvstris,Araneae,Gnaphosidae,982
