trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,Ceratophysella denticulata,Collembola,1,3,12,3.4,2.0
2,Folsomia quadrioculata;Folsomia ksenemani,Collembola,2,1,13,2.0,1.0
3,Isotomiella minor;Parisotoma notabilis;Isotoma hiemalis,Collembola,3,4,13,3.2857142857142856,2.0
4,Lepidocyrtus cyaneus;Lepidocyrtus lanuginosus;Lepidocyrtus lignorum,Collembola,3,1,12,2.0,1.0
6,Megalothorax minimus,Collembola,1,5,15,3.125,2.0
7,Paratullbergia sp.,Collembola,1,5,13,3.5882352941176467,2.0
9,Protaphorura armata;Protaphorura sp.,Collembola,2,4,7,2.8333333333333335,2.0
10,Sminthurinus aureus;Sminthurinus niger,Collembola,2,4,12,2.0,1.0
11,Lithobius piceus,Chilopoda,1,42,5,3.819277108433735,3.0
12,Lithobius mutabilis,Chilopoda,1,42,9,3.8208333333333333,3.0
13,Lithobius sp4,Chilopoda,1,42,14,3.826271186440678,3.0
14,Geophilus ribauti,Chilopoda,1,41,10,3.819742489270386,3.0
15,Geophilus electricus,Chilopoda,1,41,4,3.8421052631578947,3.0
16,Strigamia acuminata,Chilopoda,1,42,5,3.8218623481781377,3.0
17,Malthodes sp. (juv),Coleoptera,1,28,15,3.8265895953757223,3.0
18,Scydmaenidae sp0 {m},Coleoptera,1,31,29,3.920289855072464,3.0
19,Atheta sp.,Coleoptera,1,26,28,3.8943661971830985,6.0
20,Amaurobius sp (juv),Araneae,1,31,12,3.8449999999999998,3.0
21,Linyphiidae (juv),Araneae,1,25,28,3.89922480620155,6.0
22,Microneta viaria (ad),Araneae,1,23,19,3.884892086330935,4.0
23,Neobisium carcinoides (ad),Pseudoscorpiones,1,25,24,3.9047619047619047,4.0
24,Neobisium sp,Pseudoscorpiones,1,25,22,3.8986486486486487,4.0
25,Phalangiidae (juv),Opiliones,1,30,14,3.832460732984293,3.0
26,Robertus lividus (ad),Araneae,1,30,13,3.844559585492228,3.0
27,Saloca diceros (ad),Araneae,1,22,26,3.9133858267716537,6.0
28,Trogulus tricarinatus,Opiliones,1,36,10,3.84070796460177,3.0
29,Gamasina (juv),Mesostigmata,1,11,14,3.6829268292682924,2.0
30,Leptogamasus suecicus (ad),Mesostigmata,1,17,15,3.769230769230769,2.0
31,Pergamasinae (juv) {xs},Mesostigmata,1,12,13,3.7272727272727275,3.0
32,Prozercon fimbriatus (juv),Mesostigmata,1,7,13,3.7199999999999998,2.0
33,Trachytes aegrota (ad),Mesostigmata,1,5,20,3.5882352941176467,2.0
34,Trachytes pauperior (juv),Mesostigmata,1,5,14,3.5882352941176467,2.0
35,Uropoda cassidea (ad),Mesostigmata,1,5,17,3.5882352941176467,2.0
36,Uropoda cassidea (juv),Mesostigmata,1,5,12,3.5882352941176467,2.0
37,Veigaia exigua (ad),Mesostigmata,1,21,15,3.8139534883720927,2.0
38,Veigaia nemorensis (ad),Mesostigmata,1,28,24,3.870967741935484,2.0
39,Veigaia nemorensis (juv),Mesostigmata,1,21,17,3.8275862068965516,3.0
40,Achipteria coleoptrata,Oribatida,1,1,8,2.0,1.0
41,Atropacarus striculus,Oribatida,1,3,5,2.75,2.0
42,Berniniella bicarinata;Oppiella nova;Suctobelbella spp.,Oribatida,3,8,3,3.458333333333333,2.0
43,Brachychthoniidae spp.,Oribatida,1,4,3,2.6,2.0
44,Ceratozetes gracilis,Oribatida,1,2,5,3.0,2.0
45,Chamobates cuspidatus,Oribatida,1,2,4,3.0,2.0
46,Cultroribula bicultrata,Oribatida,1,5,3,2.7142857142857144,2.0
47,Eulohmannia ribagai,Oribatida,1,4,11,2.6,2.0
48,Galumna lanceata;Steganacarus herculeanus,Oribatida,2,2,12,3.0,2.0
49,Hypochthonius luteus,Oribatida,1,7,4,3.5,2.0
50,Hypochthonius rufulus,Oribatida,1,7,5,3.5,2.0
51,Oribatida juv.,Oribatida,1,9,6,3.4,2.0
52,Microppia minus,Oribatida,1,7,2,3.5,2.0
53,Oppiella falcata,Oribatida,1,7,3,3.5,2.0
55,Oppiella subpectinata,Oribatida,1,8,4,3.458333333333333,2.0
56,Pantelozetes paolii,Oribatida,1,2,3,3.0,2.0
57,Phthiracarus compressus;Phthiracarus ferrugineus,Oribatida,2,3,12,2.75,2.0
58,Platynothrus peltifer,Oribatida,1,1,12,2.0,1.0
61,Allaiulus nitidus {xl},Diplopoda,1,4,11,2.8333333333333335,2.0
62,plants,Basal,1,0,7,1.0,0.0
63,roots,Basal,1,0,8,1.0,0.0
64,root exudates,Basal,1,0,7,1.0,0.0
65,mykorrhiza,Basal,1,2,29,2.0,1.0
66,saphrophytes,Basal,1,1,30,2.0,1.0
67,bacterivor nematodes,Basal,1,1,25,3.0,2.0
68,fungivor nematodes,Basal,1,2,25,3.0,2.0
69,root feeding nematodes,Basal,1,2,25,2.0,1.0
70,predatious nematodes,Basal,1,6,25,3.6315789473684212,2.0
71,omniv. Nematodes,Basal,1,14,25,3.2413793103448274,1.0
72,bacteria,Basal,1,2,13,2.0,1.0
73,flagelata;ciliata;amoeba,Basal,3,1,6,3.0,2.0
76,algae,Basal,1,0,9,1.0,0.0
77,enchitraeidae,Basal,1,7,6,2.9,2.0
78,dead organic matter detritus,Basal detritus,1,0,16,1.0,0.0
79,litter detritus,Basal detritus,1,0,9,1.0,0.0
80,Diplostyla concolor (ad),Araneae,1,21,25,3.904,4.0
82,Robertus lividus (juv) {m},Araneae,1,24,29,3.8461538461538463,6.0
83,Lithobius aeruginosus juv,Chilopoda,1,61,27,3.861952861952862,5.0
84,Geophilus ribauti juv,Chilopoda,1,52,24,3.8492647058823533,3.0
85,Phthiracarus crenophilus ?,Oribatida,1,3,4,2.75,2.0
87,Quadroppia hammerae,Oribatida,1,3,2,2.75,2.0
89,Tachinus scapularis,Coleoptera,1,28,16,3.833333333333333,3.0
90,Lysigamasus minorleitneriae (ad),Mesostigmata,1,24,20,3.8446601941747574,2.0
91,Rhodacarus agrestis (ad),Mesostigmata,1,20,15,3.8,2.0
95,Lithobius sp2 {l},Chilopoda,1,55,29,3.8784313725490196,5.0
96,Scutigerella immaculata {s},Symphyla,1,8,26,2.5,1.0
97,Scolopendrella sp./subnuda {m},Symphyla,1,8,30,2.5,1.0
98,Trachytes aegrota (juv) {s},Mesostigmata,1,5,19,3.5882352941176467,2.0
99,Trachytes pauperior (ad) {s},Mesostigmata,1,5,17,3.5882352941176467,2.0
100,Campodea sp {l},Diplura,1,36,18,3.7914438502673797,4.0
101,Trichoniscus pusillus {m},Isopoda,1,4,29,2.8333333333333335,2.0
102,Glomeris conspersa {xl},Diplopoda,1,1,10,2.0,1.0
103,Linyphiidae cf Erigoniinae (juv) {m},Araneae,1,23,28,3.8363636363636364,6.0
104,Lithobius aeruginosus {l},Chilopoda,1,45,16,3.831967213114754,3.0
105,Curculionidae spec,Coleoptera,1,2,13,2.0,1.0
106,Coleoptera spec,Coleoptera,1,0,24,1.0,0.0
107,Chilopoda spec,Chilopoda,1,41,8,3.8208333333333333,3.0
108,Histopona torpida,Araneae,1,31,8,3.8613861386138613,3.0
109,Bathyphantes gracilis,Araneae,1,22,24,3.909090909090909,4.0
110,Tenuiphantes mengei,Araneae,1,23,20,3.891304347826087,4.0
111,Tenuiphantes tenuis,Araneae,1,23,18,3.879432624113475,4.0
