trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,Desoria violacea,Collembola,1,3,9,2.0,1.0,1.4259259259259258,25.666666666666668,2.698398109243697,1.3983392415346554,27.539039855072467
2,Folsomia quadrioculata,Collembola,1,1,8,2.0,1.0,1.4,77.0,2.698398109243697,1.3983392415346554,27.539039855072467
3,Isotomidae;Parisotoma notabilis,Collembola,2,4,7,3.2857142857142856,2.0,1.305084745762712,7.7,2.698398109243697,1.3983392415346554,27.539039855072467
4,Lepidocyrtus lanuginosus,Collembola,1,1,9,2.0,1.0,1.4259259259259258,77.0,2.698398109243697,1.3983392415346554,27.539039855072467
5,Megalothorax minimus,Collembola,1,5,10,3.125,2.0,1.5098039215686274,7.0,2.698398109243697,1.3983392415346554,27.539039855072467
6,Mesaphorura sp.,Collembola,1,5,10,3.5882352941176467,2.0,1.5098039215686274,3.347826086956522,2.698398109243697,1.3983392415346554,27.539039855072467
8,Sminthurinus aureus;Sminthurinus sp. juv,Collembola,2,4,7,2.0,1.0,1.305084745762712,19.25,2.698398109243697,1.3983392415346554,27.539039855072467
10,Stenaphorura denisi,Collembola,1,5,7,3.5882352941176467,2.0,1.305084745762712,3.347826086956522,2.698398109243697,1.3983392415346554,27.539039855072467
11,Lithobius crassipes,Chilopoda,1,33,14,4.018518518518519,3.0,5.133333333333334,0.719626168224299,3.996988790187171,3.989274193548387,0.8145171339563863
12,Lithobius sp4,Chilopoda,1,34,13,4.029239766081871,3.0,4.8125,0.7333333333333333,3.996988790187171,3.989274193548387,0.8145171339563863
13,Geophilus ribauti,Chilopoda,1,34,10,4.029239766081871,3.0,3.85,0.7333333333333333,3.996988790187171,3.989274193548387,0.8145171339563863
14,Geophilus flavus,Chilopoda,1,33,10,4.06508875739645,3.0,3.6666666666666665,0.719626168224299,3.996988790187171,3.989274193548387,0.8145171339563863
15,Notiophilus biguttatus,Coleoptera,1,25,11,4.066666666666666,3.0,4.277777777777778,0.652542372881356,3.63212879640045,12.92061639313337,5.8660087657011895
16,Pterostichus strenuus,Coleoptera,1,24,10,4.094488188976378,3.0,4.052631578947368,0.6111111111111112,3.63212879640045,12.92061639313337,5.8660087657011895
17,Nargus anisotomoides,Coleoptera,1,3,17,2.75,2.0,2.2,11.0,3.63212879640045,12.92061639313337,5.8660087657011895
18,Aleocharinae sp1 (juv),Coleoptera,1,2,20,3.0,2.0,2.40625,9.625,3.63212879640045,12.92061639313337,5.8660087657011895
19,Atheta sp. (juv),Coleoptera,1,20,20,3.738095238095238,3.0,2.4838709677419355,0.9625,3.63212879640045,12.92061639313337,5.8660087657011895
20,Tachyusa sp. (juv),Coleoptera,1,21,19,3.7555555555555555,3.0,2.40625,0.9746835443037974,3.63212879640045,12.92061639313337,5.8660087657011895
21,Coelotes sp (juv) {l},Araneae,1,16,15,3.9195402298850572,3.0,4.8125,0.8191489361702128,3.9709793673850724,3.709898707766859,0.7721004529544737
