trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,Entomobrya marginata/lanuginosa,Collembola,1,1,13,2.0,1.0,1.380952380952381,87.0,2.847198879551821,1.3729440785174647,31.528043478260873
2,Friesea mirabilis,Collembola,1,5,13,3.5882352941176467,2.0,1.380952380952381,3.782608695652174,2.847198879551821,1.3729440785174647,31.528043478260873
3,Isotomiella minor;Parisotoma notabilis,Collembola,2,4,11,3.2857142857142856,2.0,1.3384615384615384,8.7,2.847198879551821,1.3729440785174647,31.528043478260873
4,Lepidocyrtus lanuginosus,Collembola,1,1,14,2.0,1.0,1.403225806451613,87.0,2.847198879551821,1.3729440785174647,31.528043478260873
5,Lipothrix (Sphyrotheca) lubbocki,Collembola,1,4,14,2.0,1.0,1.4745762711864407,21.75,2.847198879551821,1.3729440785174647,31.528043478260873
6,Mesaphorura sp.;Mesaphorura macrochaeta,Collembola,2,5,14,3.5882352941176467,2.0,1.5818181818181818,3.782608695652174,2.847198879551821,1.3729440785174647,31.528043478260873
7,Micranurida pygmaea,Collembola,1,5,12,3.5882352941176467,2.0,1.359375,3.782608695652174,2.847198879551821,1.3729440785174647,31.528043478260873
8,Micraphorura absoloni;Protaphorura armata,Collembola,2,4,8,2.8333333333333335,2.0,1.2253521126760563,8.7,2.847198879551821,1.3729440785174647,31.528043478260873
11,Lithobius sp4,Chilopoda,1,41,10,4.11219512195122,3.0,7.909090909090909,0.7310924369747899,4.137301342359351,5.3354978354978355,0.7003903923774234
12,Schendyla nemorensis,Chilopoda,1,36,5,4.149171270718233,3.0,4.142857142857143,0.6850393700787402,4.137301342359351,5.3354978354978355,0.7003903923774234
13,Scolopendrella sp./subnuda {s},Symphyla,1,8,18,2.5,1.0,1.851063829787234,10.875,2.5,1.851063829787234,10.875
14,Notiophilus rufipes (juv),Coleoptera,1,25,11,4.124087591240876,3.0,7.25,0.8130841121495327,3.630415367209145,10.138612604744186,18.166515002820987
15,Agriotes sp. (juv),Coleoptera,1,1,19,2.0,1.0,4.142857142857143,87.0,3.630415367209145,10.138612604744186,18.166515002820987
16,Athous sp. (juv),Coleoptera,1,1,21,2.0,1.0,3.48,87.0,3.630415367209145,10.138612604744186,18.166515002820987
17,Atheta fungi,Coleoptera,1,24,22,3.8984375,2.0,3.48,1.2253521126760563,3.630415367209145,10.138612604744186,18.166515002820987
18,Atheta sp. (juv),Coleoptera,1,29,27,3.854961832061069,2.0,2.9,1.5535714285714286,3.630415367209145,10.138612604744186,18.166515002820987
19,Othius sp. (juv),Coleoptera,1,29,13,4.0,3.0,6.214285714285714,0.9560439560439561,3.630415367209145,10.138612604744186,18.166515002820987
20,Tachyusa sp. (juv),Coleoptera,1,30,26,3.8613138686131387,2.0,3.0,1.5263157894736843,3.630415367209145,10.138612604744186,18.166515002820987
21,Diplocephalus picinus (ad),Araneae,1,20,17,3.952830188679245,3.0,4.142857142857143,0.9886363636363636,4.0062188850941975,4.959003330733327,0.9387903458655761
22,Linyphiidae (juv),Araneae,1,21,22,3.898148148148148,3.0,3.3461538461538463,1.2083333333333333,4.0062188850941975,4.959003330733327,0.9387903458655761
23,Micrargus herbigradus (ad),Araneae,1,22,13,3.9915254237288136,3.0,5.8,0.925531914893617,4.0062188850941975,4.959003330733327,0.9387903458655761
24,Microneta viaria (ad),Araneae,1,22,15,3.983050847457627,3.0,5.117647058823529,0.9456521739130435,4.0062188850941975,4.959003330733327,0.9387903458655761
25,Neon reticulatus (ad),Araneae,1,21,13,3.982142857142857,3.0,5.8,0.9157894736842105,4.0062188850941975,4.959003330733327,0.9387903458655761
26,Tapinocyba insecta (ad),Araneae,1,20,20,3.9454545454545453,3.0,3.9545454545454546,1.0609756097560976,4.0062188850941975,4.959003330733327,0.9387903458655761
27,Lysigamasus vagabundus (ad),Mesostigmata,1,30,25,3.843283582089552,2.0,2.5588235294117645,1.7058823529411764,3.712188521898592,1.8584252346357026,2.7197384553134056
28,Trachytes aegrota (ad),Mesostigmata,1,5,21,3.5882352941176467,2.0,2.0714285714285716,3.782608695652174,3.712188521898592,1.8584252346357026,2.7197384553134056
29,Trachytes aegrota (juv) {xs};Friesea claviseta;Paratullbergia macdougalli,Mesostigmata,3,5,11,3.5882352941176467,2.0,1.3384615384615384,3.782608695652174,3.712188521898592,1.8584252346357026,2.7197384553134056
30,Uropoda minima (ad),Mesostigmata,1,5,10,3.5882352941176467,2.0,1.403225806451613,3.782608695652174,3.712188521898592,1.8584252346357026,2.7197384553134056
31,Uropoda minima (juv),Mesostigmata,1,5,12,3.5882352941176467,2.0,1.359375,3.782608695652174,3.712188521898592,1.8584252346357026,2.7197384553134056
32,Veigaia cerva (juv),Mesostigmata,1,25,20,3.8130841121495327,3.0,1.9772727272727273,1.7755102040816326,3.712188521898592,1.8584252346357026,2.7197384553134056
33,Veigaia nemorensis (ad),Mesostigmata,1,29,26,3.8359375,2.0,2.4857142857142858,1.74,3.712188521898592,1.8584252346357026,2.7197384553134056
34,Veigaia nemorensis (juv),Mesostigmata,1,22,16,3.833333333333333,3.0,1.6730769230769231,1.891304347826087,3.712188521898592,1.8584252346357026,2.7197384553134056
35,Zercon cf gurensis sp1 (ad),Mesostigmata,1,19,15,3.780821917808219,2.0,1.5263157894736843,2.175,3.712188521898592,1.8584252346357026,2.7197384553134056
36,Brachychthoniidae spp.,Oribatida,1,4,0,2.6,2.0,0.0,10.875,2.7368197278911564,2.2690472289066372,25.95338589981447
37,Carabodes labyrinthicus,Oribatida,1,6,1,2.4285714285714284,2.0,3.9545454545454546,10.875,2.7368197278911564,2.2690472289066372,25.95338589981447
38,Chamobates voigtsi;Microtritia minima,Oribatida,2,2,0,3.0,2.0,0.0,10.875,2.7368197278911564,2.2690472289066372,25.95338589981447
39,Dissorhina ornata;Microppia minus;Oppiella propinqua,Oribatida,3,7,0,3.5,2.0,0.0,4.142857142857143,2.7368197278911564,2.2690472289066372,25.95338589981447
40,Eupelops hirtus;Eupelops torulosus,Oribatida,2,2,3,3.0,2.0,4.578947368421052,10.875,2.7368197278911564,2.2690472289066372,25.95338589981447
41,Oribatida juv.,Oribatida,1,9,4,3.4,2.0,1.1917808219178083,4.142857142857143,2.7368197278911564,2.2690472289066372,25.95338589981447
43,Oppiella nova;Suctobelbella spp.,Oribatida,2,8,0,3.458333333333333,2.0,0.0,3.9545454545454546,2.7368197278911564,2.2690472289066372,25.95338589981447
44,Phthiracarus longulus;Rhysotritia duplicata,Oribatida,2,3,3,2.75,2.0,4.578947368421052,12.428571428571429,2.7368197278911564,2.2690472289066372,25.95338589981447
45,Platynothrus peltifer,Oribatida,1,1,3,2.0,1.0,4.578947368421052,87.0,2.7368197278911564,2.2690472289066372,25.95338589981447
