sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,d_seed
  1 ironplant goldenweed (forb/shrub),  1 ironplant goldenweed (forb/shrub),0,0,1,1,0,0
  2 three-cleft greenthread (forb/shrub),  2 three-cleft greenthread (forb/shrub),0,0,1,1,0,0
  3 Cryptantha sp. (forb/shrub),  3 Cryptantha sp. (forb/shrub),0,0,1,1,0,0
  4 cheatgrass brome (grass),  4 cheatgrass brome (grass),0,0,1,1,0,0
  5 Redowski's stickseed (forb/shrub),  5 Redowski's stickseed (forb/shrub),0,0,1,1,0,0
  6 groundsel (forb/shrub)(Senecio sp.),  6 groundsel (forb/shrub)(Senecio sp.),0,0,1,1,0,0
  7 dandelion )forb/shrub),  7 dandelion )forb/shrub),0,0,2,1,0,0
  8 wooly indian wheat (forb/shrub),  8 wooly indian wheat (forb/shrub),0,0,2,1,0,0
  9 prairie pepperweed (forb/shrub),  9 prairie pepperweed (forb/shrub),0,0,2,1,0,0
 10 groundsel (Senecio multicapitatus)(forb/shrub), 10 groundsel (Senecio multicapitatus)(forb/shrub),0,0,2,1,0,0
 11 fringed sagewort (forb/shrub), 11 fringed sagewort (forb/shrub),0,0,12,1,0,0
 12 blue grama (grass), 12 blue grama (grass),0,0,21,1,0,0
 13 belvedere summer cypress (forb/shrub), 13 belvedere summer cypress (forb/shrub),0,0,9,1,0,0
 14 scarlet globe mallow (forb/shrub), 14 scarlet globe mallow (forb/shrub),0,0,9,1,0,0
 15 cutleaf evening primrose (forb/shrub), 15 cutleaf evening primrose (forb/shrub),0,0,5,1,0,0
 16 slimflower scurf pea (forb/shrub), 16 slimflower scurf pea (forb/shrub),0,0,9,1,0,0
 17 needle and thread (grass), 17 needle and thread (grass),0,0,6,1,0,0
 18 hairy golden aster (forb/shrub), 18 hairy golden aster (forb/shrub),0,0,7,1,0,0
 19 red three-awn (grass), 19 red three-awn (grass),0,0,7,1,0,0
 20 locoweed (forb/shrub), 20 locoweed (forb/shrub),0,0,4,1,0,0
 21 carex (grass), 21 carex (grass),0,0,12,1,0,0
 22 sand dropseed (grass), 22 sand dropseed (grass),0,0,10,1,0,0
 23 western wheatgrass (grass), 23 western wheatgrass (grass),0,0,12,1,0,0
 24 gromwell (forb/shrub), 24 gromwell (forb/shrub),0,0,3,1,0,0
 25 broom snakeweed (forb/shrub), 25 broom snakeweed (forb/shrub),0,0,7,1,0,0
 26 six-weeks fescue (grass), 26 six-weeks fescue (grass),0,0,5,1,0,0
 27 wavyleaf thistle (forb/shrub), 27 wavyleaf thistle (forb/shrub),0,0,11,1,0,0
 28 buffalo grass (grass), 28 buffalo grass (grass),0,0,3,1,0,0
 29 crested wheatgrass (grass), 29 crested wheatgrass (grass),0,0,2,1,0,0
 30 alfalfa (forb/shrub), 30 alfalfa (forb/shrub),0,0,2,1,0,0
 31 tumbling Russian thistle (forb/shrub), 31 tumbling Russian thistle (forb/shrub),0,0,3,1,0,0
 32 four-o-clock (forb/shrub), 32 four-o-clock (forb/shrub),0,0,5,1,0,0
 33 silky sophora (forb/shrub), 33 silky sophora (forb/shrub),0,0,3,1,0,0
 34 unknown vegetation, 34 unknown vegetation,0,0,8,1,0,0
 35 wheat (grass), 35 wheat (grass),0,0,3,1,0,0
 36 oats (grass), 36 oats (grass),0,0,3,1,0,0
 37 commonsunflower (forb/shrub), 37 commonsunflower (forb/shrub),0,0,8,1,0,0
 38 unknown forbs, 38 unknown forbs,0,0,2,1,0,0
 39 rubber rabbit brush (forb/shrub), 39 rubber rabbit brush (forb/shrub),0,0,4,1,0,0
 40 bee spiderflower (forb/shrub), 40 bee spiderflower (forb/shrub),0,0,4,1,0,0
 41 dotted gayfeather (forb/shrub), 41 dotted gayfeather (forb/shrub),0,0,4,1,0,0
 42 pinnate tansy mustard (forb/shrub), 42 pinnate tansy mustard (forb/shrub),0,0,3,1,0,0
 43 fourwing saltbrush (forb/shrub), 43 fourwing saltbrush (forb/shrub),0,0,10,1,0,0
