sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Lechriodus fletcheri,      1 Lechriodus fletcheri,7,1,3.8823529411764706,2.0
      2 Anatopynia sp.,      2 Anatopynia sp.,3,2,3.0,2.0
      3 Cheiroseius sp.,      3 Cheiroseius sp.,1,1,3.0,2.0
      4 Prionocyphon sp.,      4 Prionocyphon sp.,1,2,2.0,1.0
      5 hyadesiid mite,      5 hyadesiid mite,1,2,2.0,1.0
      6 Aedes sp. 22,      6 Aedes sp. 22,2,4,2.0,1.0
      7 Aedes candidoscutellum,      7 Aedes candidoscutellum,2,4,2.0,1.0
      8 large detritus particles,      8 large detritus particles,0,1,1.0,0.0
      9 small detritus particles,      9 small detritus particles,0,3,1.0,0.0
     10 suspended organic matter detritus,     10 suspended organic matter detritus,0,2,1.0,0.0
     11 Culicoides angularis,     11 Culicoides angularis,3,2,3.428571428571429,3.0
     12 Arrenurus sp.,     12 Arrenurus sp.,5,1,3.5555555555555554,4.0
