sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,d_seed
      1 Toxorhynchites r. septentrionalis,      1 Toxorhynchites r. septentrionalis,1,5,1,3.25,2,
      2 Prionocyphon discoideus,      2 Prionocyphon discoideus,1,1,0,2,1,
      3 Meromacrus acutus,      3 Meromacrus acutus,1,1,0,2,1,
      4 Brunettia nitida,      4 Brunettia nitida,1,1,0,2,1,
      5 Telmatoscopus superbus,      5 Telmatoscopus superbus,1,1,0,2,1,
      6 Culicoides arboricola,      6 Culicoides arboricola,1,1,1,2,1,
      7 C. guttipennis,      7 C. guttipennis,1,1,1,2,1,
      8 Aedes triseriatus,      8 Aedes triseriatus,1,2,1,2,1,
      9 Orthopodomyia signifera,      9 Orthopodomyia signifera,1,2,1,2,1,
     10 large detritus particles,     10 large detritus particles,,0,2,1,0,1
     11 small detritus particles,     11 small detritus particles,,0,6,1,0,1
     12 suspended organic matter detritus,     12 suspended organic matter detritus,,0,2,1,0,1
