sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,d_seed
      1 Prionocyphon serricornis,      1 Prionocyphon serricornis,1,1,0,2,1,
      2 Metriocnemus cavicola,      2 Metriocnemus cavicola,1,1,0,2,1,
      3 Aedes ornatus,      3 Aedes ornatus,1,2,0,2,1,
      4 Myiatropa florea,      4 Myiatropa florea,1,1,0,2,1,
      5 Telmatoscopus sp.,      5 Telmatoscopus sp.,1,1,0,2,1,
      6 Dasyhelea sensualis,      6 Dasyhelea sensualis,1,1,0,2,1,
      7 D. lignicola,      7 D. lignicola,1,1,0,2,1,
      8 Anopheles nigripes,      8 Anopheles nigripes,1,1,0,2,1,
      9 large detritus particles,      9 large detritus particles,0,0,2,1,0,1
     10 small detritus particles,     10 small detritus particles,0,0,5,1,0,1
     11 suspended organic matter detritus,     11 suspended organic matter detritus,0,0,2,1,0,1
