sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Crematogaster laeviuscula,      1 Crematogaster laeviuscula,3,0,4.0,2.0
      2 Olla V-nigrum,      2 Olla V-nigrum,1,1,4.0,3.0
      3 Chrysopis sp.,      3 Chrysopis sp.,1,0,4.0,3.0
      4 Oecanthus niveus,      4 Oecanthus niveus,1,0,4.0,3.0
      5 Tacoma feriella,      5 Tacoma feriella,1,1,3.0,2.0
      6 Casinaria limenitides,      6 Casinaria limenitides,1,0,4.0,3.0
      7 Phytocoris breviusculus,      7 Phytocoris breviusculus,1,0,4.0,3.0
      8 Podisus acutissimus,      8 Podisus acutissimus,1,0,4.0,3.0
      9 Largus cinctus,      9 Largus cinctus,2,0,3.0,2.0
     10 Metadontia amoena,     10 Metadontia amoena,1,0,4.0,3.0
     11 Apanteles cp.,     11 Apanteles cp.,2,0,4.0,3.0
     12 Vanduzea laeta,     12 Vanduzea laeta,1,0,3.0,2.0
     13 pseudococcids (unspecified),     13 pseudococcids (unspecified),1,0,3.0,2.0
     14 Lecanium sp.,     14 Lecanium sp.,1,0,3.0,2.0
     15 aphids (unspecified),     15 aphids (unspecified),1,3,3.0,2.0
     16 Leptoglossus brevirostris,     16 Leptoglossus brevirostris,1,0,3.0,2.0
     17 Cyathissa percara,     17 Cyathissa percara,1,5,3.0,2.0
     18 Atlides halesus,     18 Atlides halesus,1,2,3.0,2.0
     19 Aphrastus unicolor,     19 Aphrastus unicolor,1,0,3.0,2.0
     20 Myrmex sp. (prob. estriatus),     20 Myrmex sp. (prob. estriatus),1,0,3.0,2.0
     21 Smiracraulax tuberculatus,     21 Smiracraulax tuberculatus,1,0,3.0,2.0
     22 Phoradendron tomentosum,     22 Phoradendron tomentosum,1,12,2.0,1.0
     23 Prosopis juliflora,     23 Prosopis juliflora,0,2,1.0,0.0
