sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Entomobrya ligate,      1 Entomobrya ligate,1,2,1,2.5,1
      2 Isotoma sensibilis,      2 Isotoma sensibilis,1,2,1,2.5,1
      3 Neosmithurus clavatus,      3 Neosmithurus clavatus,1,1,1,3,2
      4 Reticulitermes flavipes,      4 Reticulitermes flavipes,1,1,0,2,1
      5 Parcoblatta sp.,      5 Parcoblatta sp.,1,1,0,3,2
      6 Tachyta nana,      6 Tachyta nana,1,9,0,3.777777778,2
      7 Canosoma crassus,      7 Canosoma crassus,1,1,0,3,2
      8 Staphylinus violacens,      8 Staphylinus violacens,1,1,0,3,2
      9 Coproporus ventriculus,      9 Coproporus ventriculus,1,1,0,3,2
     10 Trachysectus confluentus,     10 Trachysectus confluentus,1,1,0,3,2
     11 Actium sp.,     11 Actium sp.,1,6,0,4,3
     12 Epierus regularis,     12 Epierus regularis,1,1,0,3,2
     13 Epierus sp.,     13 Epierus sp.,1,1,0,3,2
     14 Platysoma lecontei,     14 Platysoma lecontei,1,3,0,3.333333333,3
     15 Dendroides bicolor larvae,     15 Dendroides bicolor larvae,1,2,0,2.5,1
     16 Elater nigricollis larvae,     16 Elater nigricollis larvae,1,1,0,2,1
     17 Orthostethus infuscatus larvae,     17 Orthostethus infuscatus larvae,1,1,0,2,1
     18 Deltometopus amoenicornis larvae,     18 Deltometopus amoenicornis larvae,1,1,0,2,1
     19 Alaus oculatus larvae,     19 Alaus oculatus larvae,1,3,0,3,2
     20 Elaterinae larvae (undet.),     20 Elaterinae larvae (undet.),1,1,0,2,1
     21 Rhysodes americanus,     21 Rhysodes americanus,1,1,0,2,1
     22 Brontes dubius larvae,     22 Brontes dubius larvae,1,1,0,3,2
     23 Megalodacne fasciata,     23 Megalodacne fasciata,1,1,0,3,2
     24 Triplax thoracica,     24 Triplax thoracica,1,1,0,3,2
     25 mycetyphagid (undet.),     25 mycetyphagid (undet.),1,1,0,3,2
     26 Hymenorus sp.,     26 Hymenorus sp.,1,1,0,2,1
     27 Platydema subcostatum,     27 Platydema subcostatum,1,1,0,3,2
     28 P. ruficorne,     28 P. ruficorne,1,1,0,3,2
     29 P. ruficolle,     29 P. ruficolle,1,1,0,3,2
     30 Uloma imberbis,     30 Uloma imberbis,1,1,0,2,1
     31 Dioedus punctatus,     31 Dioedus punctatus,1,1,0,2,1
     32 Scotobates carcaratus larvae,     32 Scotobates carcaratus larvae,1,1,0,2,1
     33 Xylopinus saperdoides,     33 Xylopinus saperdoides,1,1,0,2,1
     34 Alobates pennsylvanicus larvae,     34 Alobates pennsylvanicus larvae,1,1,0,2,1
     35 Meracantha contracta larvae,     35 Meracantha contracta larvae,1,1,0,2,1
     36 Strongylium crenatum larvae,     36 Strongylium crenatum larvae,1,1,0,2,1
     37 Synchroa punctata larvae,     37 Synchroa punctata larvae,1,2,0,2.5,1
     38 Pseudolucanus capreole larvae,     38 Pseudolucanus capreole larvae,1,1,1,2,1
     39 Platycerus quercus,     39 Platycerus quercus,1,1,0,2,1
     40 Ceruchus piceus,     40 Ceruchus piceus,1,1,0,2,1
     41 Dorcus (brevis?),     41 Dorcus (brevis?),1,1,0,2,1
     42 Polymoecus brevipes larvae,     42 Polymoecus brevipes larvae,1,1,1,2,1
     43 Cloetus globosus,     43 Cloetus globosus,1,1,0,2,1
     44 Trichiotinus bidens larvae,     44 Trichiotinus bidens larvae,1,1,0,2,1
     45 Phileurus valgus larvae,     45 Phileurus valgus larvae,1,1,0,2,1
     46 Passalus cornutus,     46 Passalus cornutus,1,1,0,2,1
     47 Derobrachus brunneus larvae,     47 Derobrachus brunneus larvae,1,1,1,2,1
     48 Leptura proxima larvae,     48 Leptura proxima larvae,1,1,0,2,1
     49 Eupsalis minuta,     49 Eupsalis minuta,1,1,0,2,1
     50 Scolecocampa liburna larvae,     50 Scolecocampa liburna larvae,1,1,0,2,1
     51 mycetophilid larvae (undet.),     51 mycetophilid larvae (undet.),1,1,1,3,2
     52 cecidomyid larvae (undet.),     52 cecidomyid larvae (undet.),1,1,1,2,1
     53 dolicopodid larvae (undet.),     53 dolicopodid larvae (undet.),1,1,1,2,1
     54 Augochlora pura,     54 Augochlora pura,1,1,0,2,1
     55 Camponotus herculeanus,     55 Camponotus herculeanus,1,1,0,3,2
     56 Crematogaster lineolata,     56 Crematogaster lineolata,1,1,0,3,2
     57 Leptothorax curvispinosus,     57 Leptothorax curvispinosus,1,1,0,3,2
     58 Ponera coarcta,     58 Ponera coarcta,1,1,0,3,2
     59 Proceratium croceum,     59 Proceratium croceum,1,1,0,3,2
     60 Pheidole sp.,     60 Pheidole sp.,1,1,0,3,2
     61 lumbricid (undet.),     61 lumbricid (undet.),1,1,0,2,1
     62 Strobilops aena,     62 Strobilops aena,1,2,0,2.5,1
     63 Polygyra fallax,     63 Polygyra fallax,1,2,0,2.5,1
     64 P. tridentata,     64 P. tridentata,1,2,0,2.5,1
     65 P. thyroideus,     65 P. thyroideus,1,2,0,2.5,1
     66 Zonitoides arboreus,     66 Zonitoides arboreus,1,2,0,2.5,1
     67 Euconulus chersinus,     67 Euconulus chersinus,1,2,0,2.5,1
     68 Retinella indentata,     68 Retinella indentata,1,2,0,2.5,1
     69 Philomycus carolinensis,     69 Philomycus carolinensis,1,2,0,2.5,1
     70 Cambala annulata,     70 Cambala annulata,1,1,0,2,1
     71 Fontaria coriacea,     71 Fontaria coriacea,1,1,0,2,1
     72 Polydesmus serratus,     72 Polydesmus serratus,1,1,0,2,1
     73 Spirostephon lactarium,     73 Spirostephon lactarium,1,1,0,2,1
     74 Scolopendra viridis,     74 Scolopendra viridis,1,1,0,3,2
     75 Cryptops hyalina,     75 Cryptops hyalina,1,1,0,3,2
     76 Otocryptops sexspinosus,     76 Otocryptops sexspinosus,1,1,0,3,2
     77 Bothropolys multidentatus,     77 Bothropolys multidentatus,1,1,0,3,2
     78 Chelanops dentatus,     78 Chelanops dentatus,1,1,0,3,2
     79 Podothrombium sp.,     79 Podothrombium sp.,1,1,2,3,2
     80 Allothrombium pulvinus,     80 Allothrombium pulvinus,1,1,2,3,2
     81 Zetes sp.,     81 Zetes sp.,1,1,2,3,2
     82 Schelorabates sp.,     82 Schelorabates sp.,1,1,2,3,2
     83 Pergamasus sp.,     83 Pergamasus sp.,1,1,2,3,2
     84 Megisthanus sp.,     84 Megisthanus sp.,1,1,2,3,2
     85 various larvae,     85 various larvae,1,2,16,2.5,1
     86 rotting wood detritus,     86 rotting wood detritus,0,0,46,1,0
     87 pollen (undet.),     87 pollen (undet.),0,0,1,1,0
     88 microorganisms,     88 microorganisms,0,0,2,1,0
     89 fungi (red rot),     89 fungi (red rot),0,1,30,2,1
