sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Entomobrya corticola,      1 Entomobrya corticola,1,1,3.0,2.0
      2 E. ligata,      2 E. ligata,1,1,3.0,2.0
      3 Entomobrya sp.,      3 Entomobrya sp.,1,1,3.0,2.0
      4 Pseudachorutes sp.,      4 Pseudachorutes sp.,1,1,3.0,2.0
      5 Isotoma sensibilis,      5 Isotoma sensibilis,1,1,3.0,2.0
      6 Tomocera flavescens,      6 Tomocera flavescens,1,1,3.0,2.0
      7 Parcoblatta sp.,      7 Parcoblatta sp.,1,0,3.0,2.0
      8 heteropteran (undet.),      8 heteropteran (undet.),8,0,3.2222222222222223,3.0
      9 Epiptera sp.,      9 Epiptera sp.,1,0,3.0,2.0
     10 Tachymenis flavicauda,     10 Tachymenis flavicauda,7,0,4.0,3.0
     11 Erchomus ventriculus,     11 Erchomus ventriculus,1,0,3.0,2.0
     12 Saprinus sp.,     12 Saprinus sp.,8,0,3.916666666666667,3.0
     13 Platysoma parallelum,     13 Platysoma parallelum,8,0,3.2222222222222223,3.0
     14 P. lecontei,     14 P. lecontei,3,0,4.0,3.0
     15 Plegaderus sp.,     15 Plegaderus sp.,1,0,3.0,2.0
     16 Cylistix cylindrica,     16 Cylistix cylindrica,1,0,4.0,3.0
     17 Thanasimus dubius,     17 Thanasimus dubius,8,0,3.2222222222222223,3.0
     18 Boros unicolor larvae,     18 Boros unicolor larvae,1,0,3.0,2.0
     19 Dendroides bicolor larvae,     19 Dendroides bicolor larvae,1,1,3.0,2.0
     20 Alaus myops larvae,     20 Alaus myops larvae,4,0,3.4,3.0
     21 Ischiodontus sp. larvae,     21 Ischiodontus sp. larvae,1,0,2.0,1.0
     22 Melanotus sp. larvae,     22 Melanotus sp. larvae,1,0,3.0,2.0
     23 Elater verticinus,     23 Elater verticinus,1,0,3.0,2.0
     24 Drapites sp. larvae,     24 Drapites sp. larvae,1,0,2.0,1.0
     25 Buprestis lineata larvae,     25 Buprestis lineata larvae,2,0,2.0,1.0
     26 Buprestis sp. larvae,     26 Buprestis sp. larvae,2,0,2.0,1.0
     27 Chalcophora sp. larvae,     27 Chalcophora sp. larvae,1,2,2.0,1.0
     28 Chrysobothris sp. larvae,     28 Chrysobothris sp. larvae,1,2,2.0,1.0
     29 Temnochila virescens,     29 Temnochila virescens,11,0,3.3076923076923075,3.0
     30 Rhizophagus cylindricus,     30 Rhizophagus cylindricus,10,0,3.333333333333333,3.0
     31 Brontes dubius,     31 Brontes dubius,1,0,3.0,2.0
     32 Mycetophagus pini,     32 Mycetophagus pini,1,0,3.0,2.0
     33 Colopterus semitectus,     33 Colopterus semitectus,1,0,3.0,2.0
     34 Stelidota geminata,     34 Stelidota geminata,1,0,3.0,2.0
     35 Bolitotherus cornutus,     35 Bolitotherus cornutus,1,0,3.0,2.0
     36 Platydema flavipes,     36 Platydema flavipes,1,0,3.0,2.0
     37 Stephanopachys rugosus larvae,     37 Stephanopachys rugosus larvae,1,0,2.0,1.0
     38 Asemum moestum larvae,     38 Asemum moestum larvae,2,0,2.0,1.0
     39 Rhagium lineatum larvae,     39 Rhagium lineatum larvae,1,2,2.0,1.0
     40 Xylotrechus sagittatus larvae,     40 Xylotrechus sagittatus larvae,1,0,2.0,1.0
     41 Callidium antennatum larvae,     41 Callidium antennatum larvae,1,1,2.0,1.0
     42 Acanthocinus obsoletus larvae,     42 Acanthocinus obsoletus larvae,1,1,2.0,1.0
     43 A. nodosus larvae,     43 A. nodosus larvae,1,0,2.0,1.0
     44 Eupogonius tomentosus larvae,     44 Eupogonius tomentosus larvae,1,0,2.0,1.0
     45 Monochammus titillator larvae,     45 Monochammus titillator larvae,1,3,2.0,1.0
     46 Rhyncolus sp.,     46 Rhyncolus sp.,1,0,3.0,2.0
     47 Cossonus corticola,     47 Cossonus corticola,1,0,3.0,2.0
     48 Pissodes memorensis larvae,     48 Pissodes memorensis larvae,1,1,2.0,1.0
     49 Pachylobins picivorus larvae,     49 Pachylobins picivorus larvae,1,0,2.0,1.0
     50 Hylobius pales larvae,     50 Hylobius pales larvae,1,0,2.0,1.0
     51 Platypus flavicornis,     51 Platypus flavicornis,1,2,3.0,2.0
     52 Ips grandicollis,     52 Ips grandicollis,1,5,2.0,1.0
     53 I. calligraphus,     53 I. calligraphus,1,5,2.0,1.0
     54 Xyleborus fitchi,     54 Xyleborus fitchi,1,5,3.0,2.0
     55 Orthotomicus coelatus,     55 Orthotomicus coelatus,1,5,2.0,1.0
     56 Pithyophthorus annectens,     56 Pithyophthorus annectens,1,5,2.0,1.0
     57 P. pullus,     57 P. pullus,1,5,2.0,1.0
     58 Dendroctonus valens,     58 Dendroctonus valens,1,5,2.0,1.0
     59 D. tenebrans,     59 D. tenebrans,1,5,2.0,1.0
     60 Sciara coprophila larvae,     60 Sciara coprophila larvae,1,1,2.0,1.0
     61 Xylophagus fasciatus larvae,     61 Xylophagus fasciatus larvae,1,1,3.0,2.0
     62 Lonchaea sp. larvae,     62 Lonchaea sp. larvae,1,2,3.0,2.0
     63 Theresia monohammi larvae,     63 Theresia monohammi larvae,1,1,3.0,2.0
