sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
      1 Partnuniella thermalis,      1 Partnuniella thermalis,1,7,0,3,2
      2 Thermacarus nevadensis,      2 Thermacarus nevadensis,1,7,0,3,2
      3 Tachytrechus angustipennis,      3 Tachytrechus angustipennis,1,7,0,3,2
      4 birds (unspecified),      4 birds (unspecified),1,7,0,3,2
      5 arachnids (unspec.),      5 arachnids (unspec.),1,6,0,3,2
      6 Paracoenia turbida eggs,      6 Paracoenia turbida eggs,1,1,3,2,1
      7 P. turbida larvae,      7 P. turbida larvae,1,1,3,2,1
      8 P. turbida pupae,      8 P. turbida pupae,1,1,1,2,1
      9 P. turbida adults,      9 P. turbida adults,1,1,2,2,1
     10 Lamproscatella dichaeta,     10 Lamproscatella dichaeta,1,1,5,2,1
     11 Microcoelepis sp.,     11 Microcoelepis sp.,1,1,5,2,1
     12 chironomid (unspec.),     12 chironomid (unspec.),1,1,5,2,1
     13 amphipod (unspec.),     13 amphipod (unspec.),1,1,5,2,1
     14 tipulid (unspec.),     14 tipulid (unspec.),1,1,5,2,1
     15 blue-green algal-bacterial mat,     15 blue-green algal-bacterial mat,0,0,9,1,0
