sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
     1 bacteria,     1 bacteria,0,0,1,1,0
     2 protozoa (fresh water plankton),     2 protozoa (fresh water plankton),0,1,3,2,1
"     3 plants, dead plants","     3 plants, dead plants detritus",0,0,9,1,0
     4 algae (fresh water bottom and littoral),     4 algae (fresh water bottom and littoral),0,0,3,1,0
     5 algae (fresh water plankton),     5 algae (fresh water plankton),0,0,5,1,0
     6 worms,     6 worms,1,1,0,2,1
     7 geese,     7 geese,1,2,0,2,1
"     8 snow bunting, ptarmigan","     8 snow bunting, ptarmigan",1,6,1,3.4,3
     9 purple sandpiper,     9 purple sandpiper,1,8,1,3.333333333,2
    10 protozoa (fresh water bottom and littoral),    10 protozoa (fresh water bottom and littoral),0,1,1,2,1
    11 Hymenoptera,    11 Hymenoptera,1,1,2,2,1
    12 mites,    12 mites,1,1,3,2,1
    13 Diptera (adult),    13 Diptera (adult),1,2,3,2.8,3
    14 Collembola,    14 Collembola,1,1,2,2,1
    15 moss,    15 moss,0,0,4,1,0
    16 spiders,    16 spiders,1,4,2,3.3,3
    17 protozoa (land),    17 protozoa (land),0,1,0,2,1
"    18 Entomostraca, Rotifera (fresh water plankton)","    18 Entomostraca, Rotifera (fresh water plankton)",1,2,3,2.5,1
"    19 skua, glaucous gull","    19 skua, glaucous gull",1,3,0,3.333333333,2
"    20 kittiwake, guillemots, fulmar petrel, little auk, puffin","    20 kittiwake, guillemots, fulmar petrel, little auk, puffin",1,1,1,2,1
"    21 northern eider, long-tailed duck, red-throated diver","    21 northern eider, long-tailed duck, red-throated diver",1,3,2,2.875,2
    22 arctic fox,    22 arctic fox,1,4,0,3.714285714,3
    23 marine animals,    23 marine animals,1,0,3,1,0
    24 seals,    24 seals,1,1,1,2,1
    25 polar bear,    25 polar bear,1,1,0,3,2
    26 Diptera (immature),    26 Diptera (immature),1,5,6,2.2,2
"    27 Entomostraca, Rotifera, Tardigrada, Oligochaeta, Nematoda (fresh water bottom and littoral)","    27 Entomostraca, Rotifera, Tardigrada, Oligochaeta, Nematoda (fresh water bottom and littoral)",1,6,2,2.5,1
    28 Lepidurus,    28 Lepidurus,1,4,1,2.5,1
