sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
     1 herbs,     1 herbs,0,0,2,1,0
     2 trees and bushes,     2 trees and bushes,0,0,4,1,0
     3 oak trees,     3 oak trees,0,0,3,1,0
     4 total litter (detritus),     4 total litter (detritus),0,0,3,1,0
     5 insects,     5 insects,1,1,3,2,1
     6 winter moth,     6 winter moth,1,2,6,2,1
     7 Tartrix,     7 Tartrix,1,1,1,2,1
     8 leaf feeders,     8 leaf feeders,1,2,2,2,1
     9 earthworms,     9 earthworms,1,1,3,2,1
    10 fungi,    10 fungi,0,1,1,2,1
"    11 voles, mice","    11 voles, mice",1,4,2,2.6,2
    12 spiders,    12 spiders,1,1,2,3,2
    13 titmice,    13 titmice,1,6,1,3,2
    14 Cyzenis,    14 Cyzenis,1,1,2,3,2
"    15 Philanthus, Abax, Feronia","    15 Philanthus, Abax, Feronia",1,5,2,3.25,2
"    16 soil insects, mites","    16 soil insects, mites",1,2,2,2.5,1
    17 parasites,    17 parasites,1,1,0,4,3
    18 owls,    18 owls,1,2,0,3.25,3
    19 weasels,    19 weasels,1,2,0,3.5,3
    20 hyperparasites,    20 hyperparasites,1,1,0,4,3
    21 shrews,    21 shrews,1,3,0,3.5,2
    22 moles,    22 moles,1,3,0,3.5,3
