sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
     1 Haplochromis johnstoni,     1 Haplochromis johnstoni,1,10,0,2.7,2
     2 Barbus rhoadesii,     2 Barbus rhoadesii,1,2,0,3.5,3
     3 Haplochromis dimidiatus,     3 Haplochromis dimidiatus,1,8,0,3.1,2
     4 Haplochromis rostratus,     4 Haplochromis rostratus,1,1,0,4,3
     5 Haplochromis sp.,     5 Haplochromis sp.,1,1,0,4,3
     6 Rhamphochromis spp.,     6 Rhamphochromis spp.,1,1,0,4,3
     7 Engraulicypris sardella,     7 Engraulicypris sardella,1,2,1,2.5,2
     8 various immature fishes,     8 various immature fishes,1,2,5,3,2
     9 Lethrinops brevis,     9 Lethrinops brevis,1,2,0,3,2
    10 Tilapia saka-squamipinnis,    10 Tilapia saka-squamipinnis,1,2,1,2,1
    11 Synodontis zambesensis,    11 Synodontis zambesensis,1,4,0,2.75,2
    12 Lethrinops,    12 Lethrinops,1,2,0,3,2
    13 Alestes imberi,    13 Alestes imberi,1,2,0,2.5,2
    14 Microcyclops nyasae,    14 Microcyclops nyasae,1,1,1,2,1
    15 Lethriops furcifer,    15 Lethriops furcifer,1,1,0,3,2
    16 Barbus eurystomus,    16 Barbus eurystomus,1,2,0,3,2
    17 Haplocrhomis mola,    17 Haplocrhomis mola,1,6,0,3,2
    18 Barilius microcephalus,    18 Barilius microcephalus,1,2,0,2,1
    19 Barbus johnstoni,    19 Barbus johnstoni,1,6,0,2.5,1
    20 Baetid nymphs,    20 Baetid nymphs,1,1,6,2,1
    21 Ostracods,    21 Ostracods,1,1,8,2,1
    22 Chironomid larvae,    22 Chironomid larvae,1,1,9,2,1
    23 Caridina nilotica,    23 Caridina nilotica,1,1,2,2,1
    24 Corbicula africana,    24 Corbicula africana,1,1,3,2,1
"    25 Barbus innocens, Haplochromis similis, Haplochromis moori","    25 Barbus innocens, Haplochromis similis, Haplochromis moori",1,3,0,2,1
    26 Lanistes procerus,    26 Lanistes procerus,1,1,1,2,1
"    27 Malanoides tuberculata, other gastropods","    27 Malanoides tuberculata, other gastropods",1,1,3,2,1
    28 Tilapia melanopleura,    28 Tilapia melanopleura,1,1,0,2,1
    29 Tilapia shirana,    29 Tilapia shirana,1,1,0,2,1
    30 Labeo mesops,    30 Labeo mesops,1,1,0,2,1
    31 terrestrial insects,    31 terrestrial insects,1,0,5,1,0
    32 Aufwuchs on Vallisneria,    32 Aufwuchs on Vallisneria,0,0,5,1,0
    33 Vallisneria,    33 Vallisneria,0,0,8,1,0
"    34 bottom detritus, algae","    34 bottom detritus, algae",0,0,12,1,0
    35 plankton,    35 plankton,0,0,2,1,0
    36 Haplochromis chrysonotus,    36 Haplochromis chrysonotus,1,4,0,2.5,1
    37 Cyclopoid copepods,    37 Cyclopoid copepods,1,1,3,2,1
