sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
       1 detritus,       1 detritus,0,0,7,1,0
       2 Frenesia,       2 Frenesia,1,1,2,2,1
       3 Gammarus,       3 Gammarus,1,1,4,2,1
       4 tendipedid,       4 tendipedid,1,1,2,2,1
       5 Physa,       5 Physa,1,1,0,2,1
       6 Cardiocladius,       6 Cardiocladius,1,1,2,2,1
       7 Tubifex,       7 Tubifex,1,1,2,2,1
       8 Rhantus,       8 Rhantus,1,3,0,3,2
       9 Chauliodes,       9 Chauliodes,1,2,0,3,2
      10 Pentaneura,      10 Pentaneura,1,4,1,2.75,1
      11 Phagocata,      11 Phagocata,1,5,0,3,2
