sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
       1 Sphagnum riparium,       1 Sphagnum riparium,0,1,1.0,0.0
       2 algae,       2 algae,0,1,1.0,0.0
       3 detritus,       3 detritus,0,1,1.0,0.0
       4 decomposing sphagnum detritus,       4 decomposing sphagnum detritus,0,2,1.0,0.0
       5 angiosperms,       5 angiosperms,0,2,1.0,0.0
       6 Psectrocladius larvae,       6 Psectrocladius larvae,2,2,2.0,1.0
"       7 chironomid larvae, cladocerans, rotifers","       7 chironomid larvae, cladocerans, rotifers",1,3,2.0,1.0
       8 fungi,       8 fungi,1,2,2.0,1.0
       9 caterpillars,       9 caterpillars,1,1,2.0,1.0
      10 Utricularia,      10 Utricularia,1,0,3.0,2.0
      11 collembola,      11 collembola,2,0,2.5,1.0
"      12 Chaoborus, Odonata larvae, Hemiptera, Coleoptera","      12 Chaoborus, Odonata larvae, Hemiptera, Coleoptera",2,1,3.0,2.0
      13 Nematocera imagines,      13 Nematocera imagines,3,3,3.5,2.0
      14 Drosera,      14 Drosera,1,0,4.0,3.0
      15 ants,      15 ants,2,1,3.75,3.0
      16 spiders,      16 spiders,2,1,4.428571428571429,3.0
"      17 frogs, lizards, birds","      17 frogs, lizards, birds",3,1,4.166666666666666,4.0
      18 birds of prey,      18 birds of prey,1,0,5.4,5.0
