sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
       1 detritus,       1 detritus,0,0,3,1,0
"       2 periphyton, phytoplankton","       2 periphyton, phytoplankton",0,0,2,1,0
       3 Rana sylvatica,       3 Rana sylvatica,1,1,2,2,1
"       4 Daphnia pulex, Tendipes, amphipods, ostracods, corixids","       4 Daphnia pulex, Tendipes, amphipods, ostracods, corixids",1,2,4,2,1
"       5 gastropods, pelecypods","       5 gastropods, pelecypods",1,2,3,2,1
"       6 Chaoborus, Acilius","       6 Chaoborus, Acilius",1,1,3,3,2
"       7 Hydracarina, Odonata, Ranatra, Belostoma","       7 Hydracarina, Odonata, Ranatra, Belostoma",1,1,1,3,2
"       8 Ambystoma laterale, A. maculatum A. tremblayi","       8 Ambystoma laterale, A. maculatum A. tremblayi",1,3,2,3.333333333,2
       9 Dytiscus,       9 Dytiscus,1,3,2,3.8,3
      10 Ambystoma tigrinum,      10 Ambystoma tigrinum,1,4,1,3.714285714,2
      11 Notophthalmus viridescens,      11 Notophthalmus viridescens,1,4,0,3.625,2
      12 Batracobdella picta (leech),      12 Batracobdella picta (leech),1,2,0,4,3
