sp_name,guild,animal,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
"      1 wind-blown organic debris, pollen, detritus","      1 wind-blown organic debris, pollen, detritus",0,0,2,1,0
      2 flowering plants,      2 flowering plants,0,0,5,1,0
      3 dead carcasses detritus,      3 dead carcasses detritus,0,0,1,1,0
      4 Machilanus (flea),      4 Machilanus (flea),1,1,0,2,1
      5 fungi,      5 fungi,0,1,2,2,1
      6 snow partridge,      6 snow partridge,1,1,1,2,1
"      7 Ochotona ladacensis (pika), mice","      7 Ochotona ladacensis (pika), mice",1,1,1,2,1
      8 Pseudois nahura (bharal sheep),      8 Pseudois nahura (bharal sheep),1,1,2,2,1
      9 yak,      9 yak,1,1,1,2,1
"     10 bumblebees, butterflies, aphids, weevils","     10 bumblebees, butterflies, aphids, weevils",1,1,0,2,1
"     11 lammergeier, yellow-billed chough","     11 lammergeier, yellow-billed chough",1,1,0,2,1
     12 springtails,     12 springtails,1,1,2,3,2
     13 anthomyiid fly,     13 anthomyiid fly,1,1,1,3,2
     14 Mustela altaica (weasel),     14 Mustela altaica (weasel),1,1,0,3,2
"     15 wolf, fox","     15 wolf, fox",1,2,0,3,2
     16 snow leopard,     16 snow leopard,1,2,0,3,2
"     17 mites, centipedes","     17 mites, centipedes",1,1,0,4,3
     18 salticid spider,     18 salticid spider,1,2,0,4,3
