sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
"       1 annuals (Monsonia, Stipagrostis, Eragrostis)","       1 annuals (Monsonia, Stipagrostis, Eragrostis)",0,3,1.0,0.0
       2 perennials,       2 perennials,0,3,1.0,0.0
       3 wind-blown detritus,       3 wind-blown detritus,0,2,1.0,0.0
       4 animal dung detritus,       4 animal dung detritus,0,1,1.0,0.0
"       5 Tenebrionidae, Orthoptera, Curculionidae","       5 Tenebrionidae, Orthoptera, Curculionidae",2,6,2.0,1.0
"       6 oryx, hare","       6 oryx, hare",1,0,2.0,1.0
       7 Aclerda,       7 Aclerda,1,2,2.0,1.0
"       8 Thysanura, Isoptera, other Tenebrionidae","       8 Thysanura, Isoptera, other Tenebrionidae",1,6,2.0,1.0
       9 scarabs,       9 scarabs,1,3,2.0,1.0
      10 Gerbillus,      10 Gerbillus,3,1,2.5,1.0
"      11 spiders, solpugids, scorpions","      11 spiders, solpugids, scorpions",4,3,3.0,2.0
      12 mole,      12 mole,4,2,3.5,3.0
      13 Aporosaura,      13 Aporosaura,3,3,3.5,3.0
"      14 Typhlosaurus, lizards","      14 Typhlosaurus, lizards",4,3,3.5,2.0
      15 snakes,      15 snakes,2,1,4.25,3.0
"      16 jackal, hyena","      16 jackal, hyena",5,0,4.0,3.0
      17 birds,      17 birds,8,0,4.0,2.0
