trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,     1 herbs,     1 herbs,1,0,2,1.0,0.0,1.6153846153846154,0.0,1.0,1.6153846153846154,0.0
2,     2 trees and bushes,     2 trees and bushes,1,0,4,1.0,0.0,1.105263157894737,0.0,1.0,1.105263157894737,0.0
3,     3 oak trees,     3 oak trees,1,0,3,1.0,0.0,0.875,0.0,1.0,0.875,0.0
4,     4 total litter (detritus),     4 total litter (detritus),1,0,3,1.0,0.0,1.9090909090909092,0.0,1.0,1.9090909090909092,0.0
5,     5 insects,     5 insects,1,1,3,2.0,1.0,2.3333333333333335,21.0,2.0,2.3333333333333335,21.0
6,     6 winter moth,     6 winter moth,1,2,6,2.0,1.0,1.75,10.5,2.0,1.75,10.5
7,     7 Tartrix,     7 Tartrix,1,1,1,2.0,1.0,7.0,21.0,2.0,7.0,21.0
8,     8 leaf feeders,     8 leaf feeders,1,2,2,2.0,1.0,2.625,10.5,2.0,2.625,10.5
9,     9 earthworms,     9 earthworms,1,1,3,2.0,1.0,4.2,21.0,2.0,4.2,21.0
10,    10 fungi,    10 fungi,1,1,1,2.0,1.0,2.625,21.0,2.0,2.625,21.0
11,"    11 voles, mice","    11 voles, mice",1,4,2,2.6,2.0,10.5,3.5,2.6,10.5,3.5
12,    12 spiders,    12 spiders,1,1,2,3.0,2.0,5.25,7.0,3.0,5.25,7.0
13,    13 titmice,    13 titmice,1,6,1,3.0,2.0,21.0,2.1,3.0,21.0,2.1
14,    14 Cyzenis,    14 Cyzenis,1,1,2,3.0,2.0,3.5,4.2,3.0,3.5,4.2
15,"    15 Philanthus, Abax, Feronia","    15 Philanthus, Abax, Feronia",1,5,2,3.25,2.0,10.5,1.6153846153846154,3.25,10.5,1.6153846153846154
16,"    16 soil insects, mites","    16 soil insects, mites",1,2,2,2.5,1.0,5.25,10.5,2.5,5.25,10.5
17,    17 parasites,    17 parasites,1,1,0,4.0,3.0,0.0,3.5,4.0,0.0,3.5
18,    18 owls,    18 owls,1,2,0,3.25,3.0,0.0,1.4,3.25,0.0,1.4
19,    19 weasels,    19 weasels,1,2,0,3.5,3.0,0.0,1.105263157894737,3.5,0.0,1.105263157894737
20,    20 hyperparasites,    20 hyperparasites,1,1,0,4.0,3.0,0.0,2.3333333333333335,4.0,0.0,2.3333333333333335
21,    21 shrews,    21 shrews,1,3,0,3.5,2.0,0.0,1.2352941176470589,3.5,0.0,1.2352941176470589
22,    22 moles,    22 moles,1,3,0,3.5,3.0,0.0,1.1666666666666667,3.5,0.0,1.1666666666666667
