trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,      1 Psen spp.;      2 Oxybelus uniglumis;      3 Crossocerus wesmaeli,      1 Psen spp.,3,1,1,2.0,1.0
4,      4 Formica fusca;      5 Acanthomyops niger,      4 Formica fusca,2,1,0,2.0,1.0
6,      6 Linyphia triangularis;      7 Agelena labyrinthica,      6 Linyphia triangularis,2,4,1,3.5,2.0
8,      8 ichneumonids (unspecified);     16 Sphex sabulosa,      8 ichneumonids (unspecified),2,1,1,3.0,2.0
9,      9 Psammochares fuscus,      9 Psammochares fuscus,1,1,0,4.0,3.0
10,     10 Anthocoris nemorum,     10 Anthocoris nemorum,1,1,0,3.0,2.0
11,     11 Exochamus quadripustulatus;     12 Coccinella 7-punctata;     13 Anatis ocellata;     14 Adalia bipunctata;     15 Syrphus vitripennis larvae,     11 Exochamus quadripustulatus,5,1,1,3.0,2.0
17,     17 Dilachnus pini,     17 Dilachnus pini,1,1,3,2.0,1.0
18,     18 Retinia buoliana larvae;     19 Panolis griseovariegata larvae;     20 Oenerostoma piniariella larvae;     21 Gelechia dodecella larvae,     18 Retinia buoliana larvae,4,1,1,2.0,1.0
22,     22 secretions of Dilachnus pini detritus,     22 secretions of Dilachnus pini detritus,1,0,2,1.0,0.0
23,     23 young Pinus sp.,     23 young Pinus sp.,1,0,2,1.0,0.0
