trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,     1 bacteria,     1 bacteria,1,0,1,1.0,0.0,27.0,0.0,1.0,27.0,0.0
2,     2 protozoa (fresh water plankton),     2 protozoa (fresh water plankton),1,1,3,2.0,1.0,1.173913043478261,27.0,2.0,1.173913043478261,27.0
3,"     3 plants, dead plants","     3 plants, dead plants",1,0,9,1.0,0.0,1.588235294117647,0.0,1.0,1.588235294117647,0.0
4,     4 algae (fresh water bottom and littoral),     4 algae (fresh water bottom and littoral),1,0,3,1.0,0.0,1.5,0.0,1.0,1.5,0.0
5,     5 algae (fresh water plankton),     5 algae (fresh water plankton),1,0,5,1.0,0.0,1.35,0.0,1.0,1.35,0.0
6,     6 worms,     6 worms,1,1,0,2.0,1.0,0.0,27.0,2.0,0.0,27.0
7,     7 geese,     7 geese,1,2,0,2.0,1.0,0.0,13.5,2.0,0.0,13.5
8,"     8 snow bunting, ptarmigan","     8 snow bunting, ptarmigan",1,6,1,3.4,3.0,27.0,1.4210526315789473,3.4,27.0,1.4210526315789473
9,     9 purple sandpiper,     9 purple sandpiper,1,8,1,3.333333333333333,2.0,27.0,1.5,3.333333333333333,27.0,1.5
10,    10 protozoa (fresh water bottom and littoral),    10 protozoa (fresh water bottom and littoral),1,1,1,2.0,1.0,3.375,27.0,2.0,3.375,27.0
11,    11 Hymenoptera,    11 Hymenoptera,1,1,2,2.0,1.0,6.75,27.0,2.0,6.75,27.0
12,    12 mites,    12 mites,1,1,3,2.0,1.0,5.4,27.0,2.0,5.4,27.0
13,    13 Diptera (adult),    13 Diptera (adult),1,2,3,2.8,3.0,5.4,2.076923076923077,2.8,5.4,2.076923076923077
14,    14 Collembola,    14 Collembola,1,1,2,2.0,1.0,4.5,27.0,2.0,4.5,27.0
15,    15 moss,    15 moss,1,0,4,1.0,0.0,1.4210526315789473,0.0,1.0,1.4210526315789473,0.0
16,    16 spiders,    16 spiders,1,4,2,3.3,3.0,6.75,1.588235294117647,3.3,6.75,1.588235294117647
17,    17 protozoa (land),    17 protozoa (land),1,1,0,2.0,1.0,0.0,27.0,2.0,0.0,27.0
18,"    18 Entomostraca, Rotifera (fresh water plankton)","    18 Entomostraca, Rotifera (fresh water plankton)",1,2,3,2.5,1.0,1.5,13.5,2.5,1.5,13.5
19,"    19 skua, glaucous gull","    19 skua, glaucous gull",1,3,0,3.333333333333333,2.0,0.0,1.4210526315789473,3.333333333333333,0.0,1.4210526315789473
20,"    20 kittiwake, guillemots, fulmar petrel, little auk, puffin","    20 kittiwake, guillemots, fulmar petrel, little auk, puffin",1,1,1,2.0,1.0,27.0,27.0,2.0,27.0,27.0
21,"    21 northern eider, long-tailed duck, red-throated diver","    21 northern eider, long-tailed duck, red-throated diver",1,3,2,2.875,2.0,13.5,1.588235294117647,2.875,13.5,1.588235294117647
22,    22 arctic fox,    22 arctic fox,1,4,0,3.7142857142857144,3.0,0.0,0.6428571428571429,3.7142857142857144,0.0,0.6428571428571429
23,    23 marine animals,    23 marine animals,1,0,3,1.0,0.0,3.0,0.0,1.0,3.0,0.0
24,    24 seals,    24 seals,1,1,1,2.0,1.0,27.0,27.0,2.0,27.0,27.0
25,    25 polar bear,    25 polar bear,1,1,0,3.0,2.0,0.0,9.0,3.0,0.0,9.0
26,    26 Diptera (immature),    26 Diptera (immature),1,5,6,2.2,2.0,3.375,3.857142857142857,2.2,3.375,3.857142857142857
27,"    27 Entomostraca, Rotifera, Tardigrada, Oligochaeta, Nematoda (fresh water bottom and littoral)","    27 Entomostraca, Rotifera, Tardigrada, Oligochaeta, Nematoda (fresh water bottom and littoral)",1,6,2,2.5,1.0,6.75,4.5,2.5,6.75,4.5
28,    28 Lepidurus,    28 Lepidurus,1,4,1,2.5,1.0,9.0,6.75,2.5,9.0,6.75
