trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,"       1 annuals (Monsonia, Stipagrostis, Eragrostis)","       1 annuals (Monsonia, Stipagrostis, Eragrostis)",1,0,3,1.0,0.0,0.8421052631578947,0.0,1.0,0.8421052631578947,0.0
2,       2 perennials,       2 perennials,1,0,3,1.0,0.0,0.8421052631578947,0.0,1.0,0.8421052631578947,0.0
3,       3 wind-blown detritus,       3 wind-blown detritus,1,0,2,1.0,0.0,1.1428571428571428,0.0,1.0,1.1428571428571428,0.0
4,       4 animal dung detritus,       4 animal dung detritus,1,0,1,1.0,0.0,0.8421052631578947,0.0,1.0,0.8421052631578947,0.0
5,"       5 Tenebrionidae, Orthoptera, Curculionidae","       5 Tenebrionidae, Orthoptera, Curculionidae",1,2,6,2.0,1.0,1.6,8.0,2.0,1.6,8.0
6,"       6 oryx, hare","       6 oryx, hare",1,1,0,2.0,1.0,0.0,16.0,2.0,0.0,16.0
7,       7 Aclerda,       7 Aclerda,1,1,2,2.0,1.0,1.2307692307692308,16.0,2.0,1.2307692307692308,16.0
8,"       8 Thysanura, Isoptera, other Tenebrionidae","       8 Thysanura, Isoptera, other Tenebrionidae",1,1,6,2.0,1.0,2.0,16.0,2.0,2.0,16.0
9,       9 scarabs,       9 scarabs,1,1,3,2.0,1.0,1.4545454545454546,16.0,2.0,1.4545454545454546,16.0
10,      10 Gerbillus,      10 Gerbillus,1,3,1,2.5,1.0,16.0,5.333333333333333,2.5,16.0,5.333333333333333
11,"      11 spiders, solpugids, scorpions","      11 spiders, solpugids, scorpions",1,4,3,3.0,2.0,1.7777777777777777,1.3333333333333333,3.0,1.7777777777777777,1.3333333333333333
12,      12 mole,      12 mole,1,4,2,3.5,3.0,8.0,1.0666666666666667,3.5,8.0,1.0666666666666667
13,      13 Aporosaura,      13 Aporosaura,1,3,3,3.5,3.0,5.333333333333333,0.8888888888888888,3.5,5.333333333333333,0.8888888888888888
14,"      14 Typhlosaurus, lizards","      14 Typhlosaurus, lizards",1,4,3,3.5,2.0,5.333333333333333,1.1428571428571428,3.5,5.333333333333333,1.1428571428571428
15,      15 snakes,      15 snakes,1,2,1,4.25,3.0,16.0,0.6666666666666666,4.25,16.0,0.6666666666666666
16,"      16 jackal, hyena","      16 jackal, hyena",1,5,0,4.0,3.0,0.0,0.8,4.0,0.0,0.8
17,      17 birds,      17 birds,1,8,0,4.0,2.0,0.0,0.8,4.0,0.0,0.8
