sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness,original_sp_id
detritus,detritus,organics,,1,detritus,3,3,0,26,1.0,0.0,0.8677685950413223,0.0,1.0,0.9338842975206612,0.0,1
dead animal material,detritus,organics,,2,carrion,3,3,0,14,1.0,0.0,1.0,0.0,1.0,0.9338842975206612,0.0,2
sulphate reducing bacteria,chemotroph ,chemotroph,,3,gram-negative bacteria,2,2,0,5,1.0,0.0,0.8267716535433071,0.0,1.0,7.18143969944587,0.0,3
iron bacteria,chemotroph ,chemotroph,,4,gram-negative bacteria,3,3,0,4,1.0,0.0,0.5965909090909091,0.0,1.0,7.18143969944587,0.0,5
vibroid bacteria,chemotroph ,chemotroph,,5,gram-negative bacteria,3,3,0,4,1.0,0.0,0.6481481481481481,0.0,1.0,7.18143969944587,0.0,6
nitrate-reducing bacteria,chemotroph ,chemotroph,,6,gram-negative bacteria,2,3,0,0,1.0,0.0,0.0,0.0,1.0,7.18143969944587,0.0,7
iron-reducing bacteria,chemotroph ,chemotroph,,7,gram-negative bacteria,2,3,0,4,1.0,0.0,0.6069364161849711,0.0,1.0,7.18143969944587,0.0,8
manganese-reducing bacteria,chemotroph ,chemotroph,,8,gram-negative bacteria,2,3,0,6,1.0,0.0,0.8823529411764706,0.0,1.0,7.18143969944587,0.0,9
rods,chemotroph ,chemotroph,,9,?gram-negative bacteria,3,3,0,9,1.0,0.0,0.875,0.0,1.0,7.18143969944587,0.0,10
coccibacilli,chemotroph ,chemotroph,,10,gram-negative/positive bacteria,3,3,0,5,1.0,0.0,0.8898305084745762,0.0,1.0,7.18143969944587,0.0,11
hydrogen bacteria (?Propionibacteriaceae),chemotroph ,chemotroph,,11,gram-positive bacteria,2,3,0,4,1.0,0.0,0.580110497237569,0.0,1.0,7.18143969944587,0.0,12
coccoid bacteria,chemotroph ,chemotroph,,12,gram-positive bacteria,3,3,0,7,1.0,0.0,0.8677685950413223,0.0,1.0,7.18143969944587,0.0,13
curved rod bacteria,chemotroph ,chemotroph,,13,gram-positive bacteria,3,3,0,3,1.0,0.0,0.8267716535433071,0.0,1.0,7.18143969944587,0.0,14
ammonia oxidizing bacteria,chemotroph ,chemotroph,,14,Proteobacteria,2,3,0,4,1.0,0.0,0.6441717791411042,0.0,1.0,7.18143969944587,0.0,15
Pseudmonadiaceae-like bacteria,heterotroph ,heterotroph,,15,Proteobacteria-alpha,2,3,1,1,2.0,1.0,3.6206896551724137,105.0,2.0,1.8103448275862069,105.0,16
phosphate-reducing bacteria,chemotroph ,chemotroph,,16,Proteobacteria-alpha,3,3,0,6,1.0,0.0,0.7835820895522388,0.0,1.0,7.18143969944587,0.0,17
nitrite-oxidizing bacteria,chemotroph ,chemotroph,,17,Proteobacteria-beta,2,3,0,0,1.0,0.0,0.0,0.0,1.0,7.18143969944587,0.0,18
methanogens,heterotroph ,heterotroph,,18,Proteobacteria-beta/gamma,2,3,1,0,2.0,1.0,0.0,105.0,2.0,1.8103448275862069,105.0,19
