sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness,original_sp_id
detritus,detritus,organics,,1,detritus,3,3,0,51,1.0,0.0,1.7871794871794873,0.0,1.0,1.94013629013629,0.0,1
dead animal material,detritus,organics,,2,carrion,3,3,0,31,1.0,0.0,2.093093093093093,0.0,1.0,1.94013629013629,0.0,2
sulphate reducing bacteria,chemotroph ,chemotroph,,3,gram-negative bacteria,2,2,0,8,1.0,0.0,1.7645569620253165,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,3
Enterobacteriaceae,chemotroph ,chemotroph,,4,gram-negative bacteria,2,1,0,20,1.0,0.0,1.7826086956521738,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,4
iron bacteria,chemotroph ,chemotroph,,5,gram-negative bacteria,3,3,0,4,1.0,0.0,1.3507751937984496,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,5
vibroid bacteria,chemotroph ,chemotroph,,6,gram-negative bacteria,3,3,0,4,1.0,0.0,1.38019801980198,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,6
nitrate-reducing bacteria,chemotroph ,chemotroph,,7,gram-negative bacteria,2,3,5,3,2.0,1.0,1.38019801980198,139.4,1.1176470588235294,1.494533982642195,16.400000000000002,7
iron-reducing bacteria,chemotroph ,chemotroph,,8,gram-negative bacteria,2,3,0,6,1.0,0.0,1.4766949152542372,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,8
manganese-reducing bacteria,chemotroph ,chemotroph,,9,gram-negative bacteria,2,3,0,6,1.0,0.0,1.824607329842932,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,9
rods,chemotroph ,chemotroph,,10,?gram-negative bacteria,3,3,0,14,1.0,0.0,1.8837837837837839,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,10
coccibacilli,chemotroph ,chemotroph,,11,gram-negative/positive bacteria,3,3,0,9,1.0,0.0,1.9043715846994536,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,11
hydrogen bacteria (?Propionibacteriaceae),chemotroph ,chemotroph,,12,gram-positive bacteria,2,3,0,4,1.0,0.0,1.3175803402646502,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,12
coccoid bacteria,chemotroph ,chemotroph,,13,gram-positive bacteria,3,3,0,11,1.0,0.0,1.6516587677725119,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,13
curved rod bacteria,chemotroph ,chemotroph,,14,gram-positive bacteria,3,3,0,7,1.0,0.0,1.6209302325581396,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,14
ammonia oxidizing bacteria,chemotroph ,chemotroph,,15,Proteobacteria,2,3,0,4,1.0,0.0,1.3639921722113504,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,15
Pseudmonadiaceae-like bacteria,heterotroph ,heterotroph,,16,Proteobacteria-alpha,2,3,1,2,2.0,1.0,1.2626811594202898,697.0,2.0,1.3528726708074534,697.0,16
phosphate-reducing bacteria,chemotroph ,chemotroph,,17,Proteobacteria-alpha,3,3,0,11,1.0,0.0,1.64,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,17
nitrite-oxidizing bacteria,chemotroph ,chemotroph,,18,Proteobacteria-beta,2,3,5,0,2.0,1.0,0.0,139.4,1.1176470588235294,1.494533982642195,16.400000000000002,18
methanogens,heterotroph ,heterotroph,,19,Proteobacteria-beta/gamma,2,3,1,4,2.0,1.0,1.443064182194617,697.0,2.0,1.3528726708074534,697.0,19
sulfur-oxidizing bacteria,chemotroph ,chemotroph,,20,Proteobacteria-gamma,2,3,0,4,1.0,0.0,1.6876513317191284,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,20
gram-positive anaerobes (?clostridia),chemotroph ,chemotroph,,21,Proteobacteria-gamma,3,3,0,4,1.0,0.0,1.3774703557312253,0.0,1.1176470588235294,1.494533982642195,16.400000000000002,21
Bacillariophyceae (Navicula mutica),myxotroph ,myxotroph,,22,Pennales,3,2,2,3,2.0,1.0,1.9415041782729805,348.5,1.5714285714285714,1.7739015270551073,248.92857142857142,22
Bacillariophyceae (Fragilaria cf. ulna),myxotroph ,myxotroph,,23,Pennales,3,2,2,3,2.0,1.0,1.9415041782729805,348.5,1.5714285714285714,1.7739015270551073,248.92857142857142,23
Bacillariophyceae (Surirella angusta),myxotroph ,myxotroph,,24,Pennales,3,2,2,5,2.0,1.0,1.925414364640884,348.5,1.5714285714285714,1.7739015270551073,248.92857142857142,24
Bacillariophyceae (Cyclotella or Cyclostephanus sp.),myxotroph ,myxotroph,,25,Centrales,3,2,2,4,2.0,1.0,1.8991825613079019,348.5,1.5714285714285714,1.7739015270551073,248.92857142857142,25
Bacillariophyceae (Melosira granulata),myxotroph ,myxotroph,,26,Centrales,1,2,2,17,2.0,1.0,1.9095890410958904,348.5,1.5714285714285714,1.7739015270551073,248.92857142857142,26
dinoflagellate incertae sedis (Geiselodinium sp.),myxotroph ,myxotroph,,27,Pyrrhophyta,3,2,1,2,2.0,1.0,1.7041564792176038,697.0,1.5714285714285714,1.7739015270551073,248.92857142857142,27
Order indet.,autotroph ,autotroph,,28,Chrysophyta,1,2,0,17,1.0,0.0,1.8198433420365536,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,28
Zygnemataceae (Ovoidites sp.),autotroph ,autotroph,,29,Zygnematales,1,3,1,13,2.0,1.0,1.7556675062972291,697.0,1.005464480874317,2.3963478786860604,3.808743169398907,29
Botryococcaceae (Botryococcus sp.),myxotroph ,myxotroph,,30,Chlorococcales,3,3,2,22,2.0,1.0,1.8837837837837839,348.5,1.5714285714285714,1.7739015270551073,248.92857142857142,30
Botryococcaceae (Tetraedron sp.),myxotroph ,myxotroph,,31,Chlorococcales,3,3,1,19,2.0,1.0,1.8736559139784945,697.0,1.5714285714285714,1.7739015270551073,248.92857142857142,31
indeterminate filamentous algae,autotroph ,autotroph,,32,Chlorophyta,1,2,0,16,1.0,0.0,1.8586666666666667,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,32
Characeae (Chara sp.),autotroph ,autotroph,,33,Charales,1,2,0,11,1.0,0.0,1.8198433420365536,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,33
Dicranaceae (Dicranites†),autotroph ,autotroph,,34,Dicraniales,1,3,0,11,1.0,0.0,1.8586666666666667,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,34
Jungermanniaceae (cf. Frullania),autotroph ,autotroph,,35,Jungermanniales,1,1,0,9,1.0,0.0,1.7209876543209877,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,35
Muscites†,autotroph ,autotroph,,36,Muscales,3,1,0,4,1.0,0.0,1.3429672447013488,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,36
Selaginellaceae (gen. et sp. indet.),autotroph ,autotroph,,37,Lycopodiales,3,1,0,1,1.0,0.0,1.2249560632688927,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,37
Selaginellaceae (Selaginella sp.),autotroph ,autotroph,,38,Lycopodiales,3,1,0,5,1.0,0.0,1.531868131868132,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,38
?Marattiaceae (gen. et sp. indet.),autotroph ,autotroph,,39,Filicales,2,1,0,5,1.0,0.0,1.7917737789203085,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,39
Lygodiaceae (Lygodium kaulfussi and Leiotriletes maxoides),autotroph ,autotroph,,40,Filicales,3,1,0,2,1.0,0.0,1.251346499102334,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,40
Osmundaceae (Osmunda lignitum and Baculatisporites primarius),autotroph ,autotroph,,41,Filicales,3,1,0,4,1.0,0.0,1.3747534516765285,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,41
Adiantaceae (Acrostichum sp.),autotroph ,autotroph,,42,Filicales,3,1,0,4,1.0,0.0,1.6247086247086246,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,42
Polypodiaceae (Laevigatosporites discordatus),autotroph ,autotroph,,43,Filicales,3,1,0,2,1.0,0.0,1.4861407249466951,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,43
Polypodiaceae (Laevigatosporites haardtii),autotroph ,autotroph,,44,Filicales,3,1,0,3,1.0,0.0,1.4829787234042553,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,44
Polypodiaceae (Verrucatosphorites tenellis),autotroph ,autotroph,,45,Filicales,3,1,0,4,1.0,0.0,1.4989247311827958,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,45
Polypodiaceae (Rumohra recentior),autotroph ,autotroph,,46,Filicales,3,1,0,3,1.0,0.0,1.617169373549884,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,46
Polypodiaceae (gen. et sp. indet.),autotroph ,autotroph,,47,Filicales,3,1,0,4,1.0,0.0,1.6323185011709602,0.0,1.005464480874317,2.3963478786860604,3.808743169398907,47
