sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat
detritus,detritus,organics,,1,detritus,3,3
dead animal material,detritus,organics,,2,carrion,3,3
sulphate reducing bacteria,chemotroph ,chemotroph,,3,gram-negative bacteria,2,2
Enterobacteriaceae,chemotroph ,chemotroph,,4,gram-negative bacteria,2,1
iron bacteria,chemotroph ,chemotroph,,5,gram-negative bacteria,3,3
vibroid bacteria,chemotroph ,chemotroph,,6,gram-negative bacteria,3,3
nitrate-reducing bacteria,chemotroph ,chemotroph,,7,gram-negative bacteria,2,3
iron-reducing bacteria,chemotroph ,chemotroph,,8,gram-negative bacteria,2,3
manganese-reducing bacteria,chemotroph ,chemotroph,,9,gram-negative bacteria,2,3
rods,chemotroph ,chemotroph,,10,?gram-negative bacteria,3,3
coccibacilli,chemotroph ,chemotroph,,11,gram-negative/positive bacteria,3,3
hydrogen bacteria (?Propionibacteriaceae),chemotroph ,chemotroph,,12,gram-positive bacteria,2,3
coccoid bacteria,chemotroph ,chemotroph,,13,gram-positive bacteria,3,3
curved rod bacteria,chemotroph ,chemotroph,,14,gram-positive bacteria,3,3
ammonia oxidizing bacteria,chemotroph ,chemotroph,,15,Proteobacteria,2,3
Pseudmonadiaceae-like bacteria,heterotroph ,heterotroph,,16,Proteobacteria-alpha,2,3
phosphate-reducing bacteria,chemotroph ,chemotroph,,17,Proteobacteria-alpha,3,3
nitrite-oxidizing bacteria,chemotroph ,chemotroph,,18,Proteobacteria-beta,2,3
methanogens,heterotroph ,heterotroph,,19,Proteobacteria-beta/gamma,2,3
sulfur-oxidizing bacteria,chemotroph ,chemotroph,,20,Proteobacteria-gamma,2,3
gram-positive anaerobes (?clostridia),chemotroph ,chemotroph,,21,Proteobacteria-gamma,3,3
Bacillariophyceae (Navicula mutica),myxotroph ,myxotroph,,22,Pennales,3,2
Bacillariophyceae (Fragilaria cf. ulna),myxotroph ,myxotroph,,23,Pennales,3,2
Bacillariophyceae (Surirella angusta),myxotroph ,myxotroph,,24,Pennales,3,2
Bacillariophyceae (Cyclotella or Cyclostephanus sp.),myxotroph ,myxotroph,,25,Centrales,3,2
Bacillariophyceae (Melosira granulata),myxotroph ,myxotroph,,26,Centrales,1,2
dinoflagellate incertae sedis (Geiselodinium sp.),myxotroph ,myxotroph,,27,Pyrrhophyta,3,2
Order indet.,autotroph ,autotroph,,28,Chrysophyta,1,2
Zygnemataceae (Ovoidites sp.),autotroph ,autotroph,,29,Zygnematales,1,3
Botryococcaceae (Botryococcus sp.),myxotroph ,myxotroph,,30,Chlorococcales,3,3
Botryococcaceae (Tetraedron sp.),myxotroph ,myxotroph,,31,Chlorococcales,3,3
indeterminate filamentous algae,autotroph ,autotroph,,32,Chlorophyta,1,2
Characeae (Chara sp.),autotroph ,autotroph,,33,Charales,1,2
Dicranaceae (Dicranites†),autotroph ,autotroph,,34,Dicraniales,1,3
Jungermanniaceae (cf. Frullania),autotroph ,autotroph,,35,Jungermanniales,1,1
Muscites†,autotroph ,autotroph,,36,Muscales,3,1
Selaginellaceae (gen. et sp. indet.),autotroph ,autotroph,,37,Lycopodiales,3,1
