Column1,sp_name,guild,guild_1,guild_2,sp_id,higher_taxon,certainty,habitat,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,detritus,detritus,organics,,1,detritus,3,3,0,26,1.0,0.0,0.875,0.0,1.0,1.002016129032258,0.0
2,dead animal material,detritus,organics,,2,carrion,3,3,0,14,1.0,0.0,1.1290322580645162,0.0,1.0,1.002016129032258,0.0
3,sulphate reducing bacteria,chemotroph ,chemotroph,,3,gram-negative bacteria,2,2,0,5,1.0,0.0,0.860655737704918,0.0,1.0,0.6856725863882416,0.0
5,iron bacteria,chemotroph ,chemotroph,,5,gram-negative bacteria,3,3,0,4,1.0,0.0,0.6104651162790697,0.0,1.0,0.6856725863882416,0.0
6,vibroid bacteria,chemotroph ,chemotroph,,6,gram-negative bacteria,3,3,0,4,1.0,0.0,0.6645569620253164,0.0,1.0,0.6856725863882416,0.0
7,nitrate-reducing bacteria,chemotroph ,chemotroph,,7,gram-negative bacteria,2,3,0,0,1.0,0.0,0.0,0.0,1.0,0.6856725863882416,0.0
8,iron-reducing bacteria,chemotroph ,chemotroph,,8,gram-negative bacteria,2,3,0,4,1.0,0.0,0.621301775147929,0.0,1.0,0.6856725863882416,0.0
9,manganese-reducing bacteria,chemotroph ,chemotroph,,9,gram-negative bacteria,2,3,0,6,1.0,0.0,0.9210526315789473,0.0,1.0,0.6856725863882416,0.0
10,rods,chemotroph ,chemotroph,,10,?gram-negative bacteria,3,3,0,9,1.0,0.0,0.8974358974358975,0.0,1.0,0.6856725863882416,0.0
11,coccibacilli,chemotroph ,chemotroph,,11,gram-negative/positive bacteria,3,3,0,5,1.0,0.0,0.9722222222222222,0.0,1.0,0.6856725863882416,0.0
12,hydrogen bacteria (?Propionibacteriaceae),chemotroph ,chemotroph,,12,gram-positive bacteria,2,3,0,4,1.0,0.0,0.5898876404494382,0.0,1.0,0.6856725863882416,0.0
