Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,2,1.0,0.0
2,2,2,0,1,1.0,0.0
3,3,3,0,3,1.0,0.0
4,4,4,0,3,1.0,0.0
5,5,5,0,3,1.0,0.0
6,6,6,0,3,1.0,0.0
7,7,7,0,4,1.0,0.0
8,8,8,0,5,1.0,0.0
9,9,9,0,5,1.0,0.0
10,10,10,0,6,1.0,0.0
11,11,11,0,6,1.0,0.0
12,12,12,0,6,1.0,0.0
13,13,13,0,6,1.0,0.0
14,14,14,0,6,1.0,0.0
15,15,15,0,6,1.0,0.0
16,16,16,0,7,1.0,0.0
17,17,17,0,5,1.0,0.0
18,18,18,0,5,1.0,0.0
19,19,19,0,2,1.0,0.0
20,20,20,0,3,1.0,0.0
21,21,21,0,5,1.0,0.0
22,22,22,0,3,1.0,0.0
23,23,23,0,3,1.0,0.0
24,24,24,0,1,1.0,0.0
25,25,25,0,2,1.0,0.0
26,26,26,0,2,1.0,0.0
27,27,27,0,2,1.0,0.0
28,28,28,1,3,2.0,1.0
29,29,29,1,4,2.0,1.0
30,30,30,2,9,2.0,1.0
31,31,31,1,9,2.0,1.0
32,32,32,1,9,3.0,2.0
33,33,33,2,8,2.0,1.0
34,34,34,2,7,3.666666666666667,3.0
35,35,35,2,5,2.0,1.0
36,36,36,1,4,2.0,1.0
37,37,37,3,4,3.4,3.0
38,38,38,1,3,3.0,2.0
39,39,39,2,3,2.0,1.0
40,40,40,3,3,2.3333333333333335,2.0
41,41,41,12,4,3.0,3.0
42,42,42,3,5,2.5,2.0
43,43,43,6,2,3.583333333333333,3.0
44,44,44,7,2,2.375,2.0
45,45,45,1,2,4.0,3.0
46,46,46,6,2,3.5454545454545454,3.0
47,47,47,1,2,2.0,1.0
48,48,48,5,2,3.666666666666667,3.0
49,49,49,1,1,3.0,2.0
50,50,50,6,0,3.5454545454545454,3.0
51,51,51,5,1,3.666666666666667,3.0
52,52,52,7,2,2.25,2.0
53,53,53,5,3,3.35,3.0
54,54,54,3,3,3.857142857142857,4.0
55,55,55,3,3,2.3333333333333335,2.0
56,56,56,6,1,4.4423076923076925,4.0
57,57,57,1,2,4.166666666666666,4.0
58,58,58,9,1,3.53125,3.0
59,59,59,2,0,2.5,2.0
60,60,60,1,0,4.4,4.0
61,61,61,2,0,4.714285714285714,5.0
62,62,62,1,0,2.0,1.0
63,63,63,5,0,2.4,2.0
64,64,64,5,0,3.9142857142857146,4.0
65,65,65,1,0,2.0,1.0
66,66,66,2,0,2.6666666666666665,2.0
67,67,67,5,0,2.3333333333333335,2.0
68,68,68,1,0,2.0,1.0
69,69,69,1,1,2.0,1.0
70,70,70,6,1,3.375,3.0
71,71,71,10,1,3.8292682926829267,3.0
72,72,72,8,1,3.972972972972973,3.0
73,73,73,6,0,3.861111111111111,4.0
74,74,74,8,0,3.269230769230769,3.0
75,75,75,4,0,4.142857142857142,4.0
76,76,76,3,0,2.0,1.0
77,77,77,7,0,3.3636363636363633,3.0
78,78,78,2,0,3.9444444444444446,4.0
79,79,79,5,0,2.4,2.0
80,80,80,13,0,2.9444444444444446,3.0
81,81,81,11,0,2.25,2.0
