SLN_ID,max_chain_len
1,9
10,7
100,9
1000,8
101,11
102,6
103,10
104,13
105,8
106,8
107,6
108,10
109,5
11,8
110,9
111,10
112,12
113,10
114,9
115,10
116,6
117,14
118,7
119,7
12,6
120,10
121,6
122,8
123,10
124,8
125,9
126,12
127,7
128,8
129,8
13,8
130,6
131,9
132,8
133,10
134,11
135,10
136,6
137,6
138,5
139,7
14,9
140,8
141,9
142,7
143,11
144,11
145,10
146,9
147,8
148,7
149,5
15,11
150,8
151,5
152,6
153,7
154,10
155,8
156,14
157,11
158,4
159,9
16,9
160,7
161,8
162,9
163,8
164,10
165,8
166,11
167,6
168,12
169,6
17,8
170,9
171,12
172,10
173,8
174,13
175,7
176,10
177,10
178,7
179,7
18,7
180,8
181,7
182,8
183,9
184,10
185,5
186,8
187,8
188,9
189,7
19,6
190,8
191,5
192,10
193,9
194,7
195,6
196,8
197,14
198,5
199,12
2,8
20,9
200,9
201,10
202,8
203,7
204,7
205,9
206,10
207,13
208,10
209,9
21,8
210,6
211,9
212,10
213,9
214,8
215,9
216,11
217,9
218,6
219,8
22,10
220,11
221,7
222,10
223,9
224,8
225,10
226,5
227,9
228,7
229,7
23,10
230,5
231,9
232,9
233,8
234,9
235,10
236,8
237,10
238,8
239,8
24,8
240,9
241,7
242,12
243,10
244,7
245,8
246,9
247,7
248,10
249,7
25,13
250,6
251,7
252,9
253,12
254,8
255,8
256,9
257,12
258,9
259,8
26,7
260,6
261,7
262,6
263,13
264,7
265,9
266,6
267,8
268,6
269,7
27,6
270,7
271,11
272,9
273,8
274,6
275,8
276,9
277,6
278,9
279,6
28,6
280,8
281,9
282,9
283,7
284,5
285,9
286,8
287,11
288,9
289,7
29,9
290,7
291,6
292,9
293,12
294,9
295,11
296,6
297,10
298,9
299,12
3,11
30,8
300,10
301,14
302,6
303,8
304,8
305,9
306,9
307,8
308,9
309,8
31,10
310,7
311,7
312,9
313,10
314,5
315,7
316,7
317,8
318,9
319,9
32,9
320,8
321,12
322,7
323,7
324,6
325,11
326,10
327,5
328,14
329,8
33,9
330,8
331,11
332,11
333,9
334,12
335,10
336,10
337,6
338,10
339,9
34,10
340,10
341,10
342,9
343,6
344,5
345,10
346,9
347,10
348,7
349,7
35,5
350,9
351,10
352,5
353,5
354,10
355,6
356,8
357,14
358,6
359,9
36,9
360,6
361,9
362,8
363,6
364,6
365,11
366,6
367,8
368,8
369,6
37,7
370,10
371,5
372,9
373,10
374,7
375,8
376,11
377,8
378,12
379,7
38,8
380,10
381,11
382,13
383,6
384,7
385,5
386,11
387,10
388,6
389,11
39,10
390,7
391,11
392,15
393,8
394,8
395,12
396,7
397,11
398,8
399,8
4,8
40,6
400,6
401,9
402,6
403,7
404,6
405,8
406,10
407,7
408,10
409,7
41,11
410,8
411,9
412,9
413,7
414,11
415,8
416,8
417,10
418,10
419,6
42,8
420,9
421,9
422,6
423,8
424,9
425,10
426,9
427,9
428,7
429,8
43,8
430,8
431,10
432,5
433,8
434,7
435,9
436,11
437,7
438,7
439,11
44,9
440,8
441,11
442,9
443,6
444,8
445,10
446,6
447,9
448,10
449,6
45,8
450,10
451,12
452,8
453,10
454,10
455,7
456,10
457,10
458,9
459,9
46,8
460,6
461,10
462,8
463,8
464,7
465,9
466,9
467,7
468,14
469,10
47,6
470,13
471,6
472,9
473,10
474,6
475,8
476,6
477,6
478,9
479,10
48,7
480,6
481,7
482,7
483,8
484,7
485,8
486,7
487,10
488,18
489,9
49,8
490,11
491,9
492,9
493,9
494,9
495,12
496,10
497,10
498,10
499,7
5,8
50,6
500,8
501,9
502,9
503,12
504,7
505,6
506,8
507,7
508,12
509,9
51,7
510,5
511,10
512,6
513,10
514,8
515,9
516,8
517,8
518,9
519,5
52,8
520,7
521,7
522,11
523,10
524,10
525,7
526,9
527,9
528,7
529,8
53,7
530,9
531,8
532,15
533,6
534,8
535,10
536,8
537,9
538,8
539,9
54,8
540,10
541,10
542,10
543,8
544,8
545,4
546,10
547,8
548,8
549,10
55,10
550,8
551,12
552,11
553,7
554,6
555,8
556,7
557,10
558,7
559,9
56,10
560,9
561,8
562,9
563,5
564,8
565,6
566,9
567,8
568,10
569,10
57,9
570,8
571,9
572,7
573,8
574,6
575,11
576,8
577,11
578,7
579,7
58,10
580,7
581,8
582,9
583,7
584,12
585,5
586,5
587,10
588,8
589,8
59,9
590,8
591,9
592,5
593,6
594,8
595,7
596,8
597,10
598,8
599,9
6,7
60,8
600,11
601,8
602,6
603,8
604,8
605,7
606,9
607,9
608,8
609,14
61,8
610,11
611,9
612,8
613,6
614,11
615,9
616,10
617,8
618,7
619,9
62,8
620,8
621,7
622,7
623,9
624,12
625,8
626,8
627,9
628,8
629,8
63,6
630,7
631,11
632,7
633,6
634,7
635,9
636,8
637,7
638,14
639,7
64,7
640,9
641,13
642,11
643,5
644,8
645,8
646,8
647,10
648,8
649,8
65,10
650,7
651,9
652,12
653,6
654,8
655,6
656,8
657,6
658,10
659,9
66,6
660,7
661,9
662,8
663,5
664,7
665,6
666,7
667,11
668,11
669,10
67,7
670,8
671,8
672,7
673,10
674,10
675,11
676,8
677,8
678,8
679,8
68,11
680,10
681,9
682,8
683,6
684,11
685,10
686,6
687,7
688,5
689,6
69,8
690,7
691,8
692,10
693,8
694,7
695,13
696,6
697,11
698,7
699,5
7,10
70,10
700,11
701,8
702,8
703,9
704,6
705,12
706,8
707,8
708,11
709,8
71,8
710,11
711,10
712,8
713,8
714,7
715,7
716,6
717,6
718,9
719,8
72,4
720,7
721,12
722,7
723,10
724,9
725,7
726,7
727,10
728,8
729,10
73,8
730,7
731,8
732,9
733,7
734,7
735,7
736,9
737,4
738,13
739,13
74,5
740,6
741,7
742,10
743,8
744,14
745,8
746,10
747,10
748,10
749,10
75,9
750,7
751,7
752,7
753,12
754,8
755,10
756,12
757,8
758,9
759,9
76,7
760,8
761,7
762,11
763,6
764,10
765,9
766,7
767,10
768,11
769,7
77,8
770,7
771,8
772,10
773,6
774,9
775,11
776,11
777,8
778,6
779,9
78,10
780,8
781,9
782,7
783,11
784,9
785,8
786,7
787,9
788,9
789,9
79,9
790,7
791,11
792,10
793,7
794,9
795,7
796,13
797,7
798,10
799,10
8,10
80,7
800,6
801,10
802,10
803,8
804,9
805,8
806,7
807,6
808,8
809,10
81,9
810,7
811,10
812,9
813,10
814,8
815,9
816,7
817,7
818,8
819,9
82,9
820,10
821,7
822,8
823,14
824,8
825,5
826,8
827,12
828,10
829,10
83,8
830,9
831,7
832,7
833,6
834,5
835,5
836,11
837,6
838,7
839,9
84,9
840,5
841,15
842,8
843,9
844,13
845,5
846,9
847,15
848,10
849,12
85,5
850,9
851,6
852,7
853,8
854,12
855,7
856,7
857,8
858,7
859,8
86,10
860,10
861,11
862,6
863,11
864,9
865,11
866,8
867,9
868,9
869,6
87,6
870,10
871,8
872,9
873,9
874,8
875,8
876,6
877,8
878,8
879,8
88,8
880,7
881,8
882,7
883,12
884,9
885,7
886,5
887,8
888,10
889,8
89,7
890,6
891,8
892,10
893,7
894,6
895,9
896,8
897,9
898,4
899,9
9,9
90,6
900,8
901,10
902,8
903,7
904,7
905,9
906,8
907,5
908,6
909,8
91,8
910,9
911,11
912,8
913,7
914,6
915,8
916,10
917,9
918,4
919,8
92,10
920,8
921,9
922,10
923,6
924,7
925,10
926,9
927,6
928,13
929,9
93,13
930,8
931,8
932,9
933,10
934,9
935,9
936,7
937,10
938,11
939,7
94,9
940,10
941,8
942,8
943,7
944,9
945,9
946,11
947,10
948,13
949,6
95,8
950,8
951,10
952,8
953,9
954,13
955,5
956,11
957,9
958,10
959,11
96,6
960,7
961,8
962,8
963,6
964,8
965,5
966,8
967,10
968,11
969,7
97,6
970,7
971,9
972,9
973,15
974,7
975,8
976,12
977,8
978,11
979,9
98,9
980,10
981,8
982,7
983,8
984,12
985,12
986,8
987,7
988,9
989,8
99,7
990,8
991,10
992,8
993,6
994,9
995,7
996,11
997,6
998,6
999,11
