Column1,sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain
1,1,1,0,4,1.0,0.0
2,2,2,0,4,1.0,0.0
3,3,3,0,1,1.0,0.0
4,4,4,0,1,1.0,0.0
5,5,5,0,5,1.0,0.0
6,6,6,0,4,1.0,0.0
7,7,7,0,3,1.0,0.0
8,8,8,0,4,1.0,0.0
9,9,9,2,6,2.0,1.0
10,10,10,3,2,2.5,1.0
11,11,11,3,5,2.5,1.0
12,12,12,2,4,3.0,2.0
13,13,13,3,4,2.5,1.0
14,14,14,1,5,2.0,1.0
15,15,15,1,4,3.0,2.0
16,16,16,5,3,3.125,2.0
17,17,17,2,2,2.0,1.0
18,18,18,1,6,2.0,1.0
19,19,19,10,6,3.6153846153846154,3.0
20,20,20,3,5,3.333333333333333,2.0
21,21,21,10,4,3.5217391304347827,2.0
22,22,22,3,2,3.888888888888889,3.0
23,23,23,6,2,3.6470588235294117,3.0
24,24,24,7,2,3.1818181818181817,2.0
25,25,25,5,2,3.75,3.0
26,26,26,7,2,4.1,3.0
27,27,27,7,2,2.6,2.0
28,28,28,3,2,3.7142857142857144,3.0
29,29,29,7,0,4.1,3.0
30,30,30,5,0,3.75,3.0
