sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,5,1.0,0.0,1.037037037037037,0.0,1.0,1.037037037037037,0.0
2,2,0,4,1.0,0.0,0.9655172413793104,0.0,1.0,0.9655172413793104,0.0
3,3,0,3,1.0,0.0,1.0,0.0,1.0,1.0,0.0
4,4,0,4,1.0,0.0,1.12,0.0,1.0,1.12,0.0
5,5,0,3,1.0,0.0,1.2727272727272727,0.0,1.0,1.2727272727272727,0.0
6,6,0,5,1.0,0.0,1.5555555555555556,0.0,1.0,1.5555555555555556,0.0
7,7,0,5,1.0,0.0,1.5555555555555556,0.0,1.0,1.5555555555555556,0.0
8,8,0,4,1.0,0.0,1.6470588235294117,0.0,1.0,1.6470588235294117,0.0
9,9,0,5,1.0,0.0,2.1538461538461537,0.0,1.0,2.1538461538461537,0.0
10,10,0,6,1.0,0.0,2.8,0.0,1.0,2.8,0.0
11,11,0,7,1.0,0.0,3.111111111111111,0.0,1.0,3.111111111111111,0.0
12,12,0,7,1.0,0.0,4.0,0.0,1.0,4.0,0.0
13,13,2,4,2.0,1.0,1.3333333333333333,14.0,2.0,1.3333333333333333,14.0
14,14,6,5,2.2857142857142856,1.0,1.5555555555555556,4.666666666666667,2.2857142857142856,1.5555555555555556,4.666666666666667
15,15,3,6,2.0,1.0,2.3333333333333335,9.333333333333334,2.0,2.3333333333333335,9.333333333333334
16,16,4,5,2.0,1.0,2.5454545454545454,7.0,2.0,2.5454545454545454,7.0
17,17,13,6,3.048780487804878,2.0,3.111111111111111,1.4,3.048780487804878,3.111111111111111,1.4
18,18,6,7,2.6666666666666665,2.0,3.111111111111111,1.5555555555555556,2.6666666666666665,3.111111111111111,1.5555555555555556
19,19,11,7,3.375,2.0,4.666666666666667,0.9333333333333333,3.375,4.666666666666667,0.9333333333333333
20,20,10,7,3.381818181818182,2.0,4.666666666666667,0.9032258064516129,3.381818181818182,4.666666666666667,0.9032258064516129
21,21,1,6,2.0,1.0,3.5,28.0,2.0,3.5,28.0
22,22,4,4,3.5769230769230766,3.0,7.0,0.5957446808510638,3.5769230769230766,7.0,0.5957446808510638
23,23,1,3,2.0,1.0,9.333333333333334,28.0,2.0,9.333333333333334,28.0
24,24,7,3,2.5833333333333335,2.0,9.333333333333334,2.1538461538461537,2.5833333333333335,9.333333333333334,2.1538461538461537
25,25,11,1,3.6231884057971016,3.0,28.0,0.717948717948718,3.6231884057971016,28.0,0.717948717948718
26,26,4,0,2.7777777777777777,2.0,0.0,2.0,2.7777777777777777,0.0,2.0
27,27,16,0,3.473684210526316,2.0,0.0,1.0,3.473684210526316,0.0,1.0
28,28,9,0,3.7017543859649122,3.0,0.0,0.6829268292682927,3.7017543859649122,0.0,0.6829268292682927
29,29,14,0,3.6136363636363633,2.0,0.0,0.7777777777777778,3.6136363636363633,0.0,0.7777777777777778
