sp_name,guild,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,0,6,1.0,0.0,0.6666666666666666,0.0,1.0,0.6666666666666666,0.0
2,2,0,7,1.0,0.0,0.6808510638297872,0.0,1.0,0.6808510638297872,0.0
3,3,0,8,1.0,0.0,0.75,0.0,1.0,0.75,0.0
4,4,0,5,1.0,0.0,1.5483870967741935,0.0,1.0,1.5483870967741935,0.0
5,5,0,5,1.0,0.0,0.8495575221238938,0.0,1.0,0.8495575221238938,0.0
6,6,0,6,1.0,0.0,1.6842105263157894,0.0,1.0,1.6842105263157894,0.0
7,7,0,6,1.0,0.0,1.032258064516129,0.0,1.0,1.032258064516129,0.0
8,8,0,6,1.0,0.0,1.032258064516129,0.0,1.0,1.032258064516129,0.0
9,9,0,7,1.0,0.0,0.8888888888888888,0.0,1.0,0.8888888888888888,0.0
10,10,0,7,1.0,0.0,1.0212765957446808,0.0,1.0,1.0212765957446808,0.0
11,11,0,6,1.0,0.0,1.5,0.0,1.0,1.5,0.0
12,12,0,4,1.0,0.0,2.5945945945945947,0.0,1.0,2.5945945945945947,0.0
13,13,0,8,1.0,0.0,1.6271186440677967,0.0,1.0,1.6271186440677967,0.0
14,14,0,10,1.0,0.0,1.7454545454545454,0.0,1.0,1.7454545454545454,0.0
15,15,0,10,1.0,0.0,1.7454545454545454,0.0,1.0,1.7454545454545454,0.0
16,16,0,7,1.0,0.0,1.8823529411764706,0.0,1.0,1.8823529411764706,0.0
17,17,0,1,1.0,0.0,96.0,0.0,1.0,96.0,0.0
18,18,0,3,1.0,0.0,19.2,0.0,1.0,19.2,0.0
19,19,0,5,1.0,0.0,5.333333333333333,0.0,1.0,5.333333333333333,0.0
20,20,0,1,1.0,0.0,16.0,0.0,1.0,16.0,0.0
21,21,1,7,2.0,1.0,0.7384615384615385,96.0,2.0,0.7384615384615385,96.0
22,22,1,5,2.0,1.0,1.7454545454545454,96.0,2.0,1.7454545454545454,96.0
23,23,1,6,2.0,1.0,1.032258064516129,96.0,2.0,1.032258064516129,96.0
24,24,1,6,2.0,1.0,1.1162790697674418,96.0,2.0,1.1162790697674418,96.0
