sp_name,guild,sp_id,animal,d_seed
plants,plants,1,0,0
detritus,detritus,2,0,1
carrion,detritus,3,0,1
soil microbes,soil microbes,4,0,
soil microarthropods and nematodes,soil microarthropods and nematodes,5,1,
soil micropredators,soil micropredators,6,1,
soil macroarthropods,soil macroarthropods,7,1,
soil macroarthropod predators,soil macroarthropod predators,8,1,
surface arthropod detritivores,surface arthropod detritivores,9,1,
surface arthropod herbivores,surface arthropod herbivores,10,1,
small arthropod predators,small arthropod predators,11,1,
medium arthropod predators,medium arthropod predators,12,1,
large arthropod predators,large arthropod predators,13,1,
facultative arthropod predators,facultative arthropod predators,14,1,
life-history arthropod omnivore,life-history arthropod omnivore,15,1,
spider parasitoids,spider parasitoids,16,1,
primary parasitoids,primary parasitoids,17,1,
hyperparasitoids,hyperparasitoids,18,1,
facultative hyperparasitoids,facultative hyperparasitoids,19,1,
herbivorous mammals and reptiles,herbivorous mammals and reptiles,20,1,
primarily herbivorous mammals and birds,primarily herbivorous mammals and birds,21,1,
small omnivorous mammals and birds,small omnivorous mammals and birds,22,1,
predaceous mammals and birds,predaceous mammals and birds,23,1,
arthropodivorous snakes,arthropodivorous snakes,24,1,
primarily arthropodivorous lizards,primarily arthropodivorous lizards,25,1,
primarily carnivorous lizards,primarily carnivorous lizards,26,1,
primarily carnivorous snakes,primarily carnivorous snakes,27,1,
"large, primarily predaceous birds","large, primarily predaceous birds",28,1,
"large, primarily predaceous mammals","large, primarily predaceous mammals",29,1,
golden eagle,golden eagle,30,1,
