sp_name,guild,Higher taxon
Perca flavescens,Actinopteri,Actinopteri
Chaoborus punctipennis,Insecta,Insecta
Cladopelma,Insecta,Insecta
Albabesmyia,Insecta,Insecta
Libellula,Insecta,Insecta
Ophryoxus gracilis,Branchiopoda,Branchiopoda
Bosmina longirostris,Branchiopoda,Branchiopoda
Guttipelopia,Insecta,Insecta
Sympetrum,Insecta,Insecta
Micropterus salmoides,Actinopteri,Actinopteri
Fish eggs,Actinopteri,Actinopteri
Hydroporus,Insecta,Insecta
Enallagma,Insecta,Insecta
Nanocladius,Insecta,Insecta
Macropelopis,Insecta,Insecta
Campeloma decisum,Bivalvia,Bivalvia
Pomoxis nigromaculatus,Actinopteri,Actinopteri
Banksiola,Insecta,Insecta
Daphnia parvula,Branchiopoda,Branchiopoda
Ambloplites rupestris,Actinopteri,Actinopteri
Paratendipes,Insecta,Insecta
Caenis,Insecta,Insecta
Chaetocladius,Insecta,Insecta
Djalmabatista,Insecta,Insecta
Micropsectra,Insecta,Insecta
Cryptochironomus,Insecta,Insecta
Annelida Hirudinea,Clitellata,Clitellata
Bezzia,Insecta,Insecta
Anisoptera epitheca,Insecta,Insecta
Polypedilum,Insecta,Insecta
Cricotopus,Insecta,Insecta
Glyptotendipes,Insecta,Insecta
Polycentropus,Insecta,Insecta
Turbellaria Tricladida,Turbellaria,Turbellaria
Epischura lacustris,Hexanauplia,Hexanauplia
Endochironomus,Insecta,Insecta
Sphaeriidae,Bivalvia,Bivalvia
Corynoneura,Insecta,Insecta
Procladius,Insecta,Insecta
Umbra,Actinopteri,Actinopteri
Hemiptera Notonectids,Insecta,Insecta
Leptophlebia,Insecta,Insecta
Leptodora kindtii,Branchiopoda,Branchiopoda
Holopedium gibberum,Branchiopoda,Branchiopoda
Sphaeromais,Insecta,Insecta
Notemigonus crysoleucus,Actinopteri,Actinopteri
Limnephilus,Insecta,Insecta
Xenochironomus,Insecta,Insecta
Chironomus,Insecta,Insecta
Paratanytarsus,Insecta,Insecta
Daphnia galeata mendotae,Branchiopoda,Branchiopoda
Agrypnia,Insecta,Insecta
Diaphanosoma birgei,Branchiopoda,Branchiopoda
Arthropoda Hydracarina,Arachnida,Arachnida
