sp_name,guild,sp_id,phylum,class,order,family,m_kg_fresh,N_indiv_per_m3_epilimnion
Anabaena circinalis,producer,1,Cyanobacteria,Cyanophyceae,Nostocales,Nostocaceae,1.91E-13,6.00E+06
Ankyra judayi,producer,2,Chlorophyta,Chlorophyceae,Chlorococcales,Sphaeropleaceae,1.53E-13,1.30E+07
Cryptomonas sp. 1,producer,3,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,2.85E-13,3.30E+07
Cryptomonas sp. 3,producer,4,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,6.72E-13,1.80E+07
Cryptomonas sp. 4,producer,5,Cryptophyta,Cryptophyceae,Cryptomonadales,Cryptomonadaceae,1.64E-12,2.80E+07
Chroococcus dispersus,producer,6,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,2.39E-13,5.00E+06
Chroococcus limneticus,producer,7,Cyanobacteria,Cyanophyceae,Chroococcales,Chroococcaceae,1.31E-12,1.60E+07
Cosmarium sp.,producer,8,Charophyta,Zygnematophyceae,Zygnematales,Desmidiaceae,3.71E-12,1.00E+06
Closteriopsis longissimus,producer,9,Chlorophyta,Chlorophyceae,Sphaeropleales,Ankistrodesmaceae,1.98E-13,1.00E+06
Chrysosphaerella longispina,producer,10,Heterokontophyta,Synurophyceae,Synurales,Synuraceae,4.40E-11,1.00E+06
Dinobryon bavaricum,producer,11,Heterokontophyta,Chrysophyceae,Chromulinales,Dinobryaceae,5.29E-12,8.00E+06
Dinobryon cylindricum,producer,12,Heterokontophyta,Chrysophyceae,Chromulinales,Dinobryaceae,4.48E-12,6.70E+07
Dactylococcopsis fascicularis,producer,13,Cyanobacteria,Cyanophyceae,Chlorococcales,Chroococcaceae,1.32E-13,1.00E+06
Diceras sp.,producer,14,Heterokontophyta,Chrysophyceae,Hibberdiales,Stylococcaceae,1.53E-13,1.00E+06
Dictyosphaerium pulchellum,producer,15,Chlorophyta,Chlorophyceae,Chlorococcales,Botryococcaceae,4.07E-13,1.00E+06
Dinobryon sertularia,producer,16,Heterokontophyta,Chrysophyceae,Chromulinales,Dinobryaceae,6.28E-12,2.00E+06
Sphaerocystis schroeteri,producer,17,Chlorophyta,Chlorophyceae,Tetrasporales,Palmellaceae,1.08E-11,2.00E+06
Gloeocystis sp.,producer,18,Chlorophyta,Chlorophyceae,Chlorococcales,Radiococcaceae,9.46E-11,5.00E+06
Glenodinium pulvisculus,producer,19,Myzozoa,Dinophyceae,Peridiniales,Peridiniales,5.20E-12,8.00E+06
Microcystis aeruginosa,producer,20,Cyanobacteria,Cyanophyceae,Chlorococcales,Microcystaceae,1.62E-11,2.00E+06
Mallomonas-spiny sp. 1,producer,21,Heterokontophyta,Synurophyceae,Synurales,Mallomonadaceae,2.22E-12,2.10E+07
Mallomonas-spiny sp. 2,producer,22,Heterokontophyta,Synurophyceae,Synurales,Mallomonadaceae,2.22E-12,2.60E+07
unclassified microflagellates,producer,23,Microflagellate,,,,1.02E-13,1.26E+08
