sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
1,aquatic detritus,1,1,0,17,0,1,0,10
2,aquatic heterotroph bacteria,2,1,0,8,0,1,0,8
3,sulfate-reducing bacteria,3,1,0,13,0,1,0,3
4,aquatic protozoa,4,1,0,11,0,1,0,5
5,Anechosoma,5,1,0,13,0,1,0,6
6,aquatic unicellular/small algae (general),6,5,0,13,0,1,0,4
7,aquatic unicellular/small algae (general),6,5,0,13,0,1,0,4
8,aquatic unicellular/small algae (general),6,5,0,13,0,1,0,5
9,aquatic unicellular/small algae (general),6,5,0,13,0,1,0,5
10,aquatic unicellular/small algae (general),6,5,0,13,0,1,0,3
11,planktic large colonial algae,7,1,0,14,0,1,0,5
12,benthic filamentous algae,8,5,0,4,0,1,0,1
13,benthic filamentous algae,8,5,0,4,0,1,0,1
14,benthic filamentous algae,8,5,0,4,0,1,0,2
15,benthic filamentous algae,8,5,0,4,0,1,0,2
16,benthic filamentous algae,8,5,0,4,0,1,0,1
17,other benthic/epiphytic algae,9,4,4,4,0,1,2,0
18,other benthic/epiphytic algae,9,4,4,4,0,1,1,1
19,other benthic/epiphytic algae,9,4,4,4,0,1,1,1
20,other benthic/epiphytic algae,9,4,4,4,0,1,1,0
21,charophytes,10,1,14,0,0,1,2,0
22,partially terrestrial epilithic/epiphytic algae,11,3,1,0,1,1,1,0
23,partially terrestrial epilithic/epiphytic algae,11,3,1,0,1,1,1,1
24,partially terrestrial epilithic/epiphytic algae,11,3,1,0,1,1,1,0
25,aquatic saprotrophs,12,5,10,1,0,1,3,0
26,aquatic saprotrophs,12,5,10,1,0,1,1,0
27,aquatic saprotrophs,12,5,10,1,0,1,1,0
28,aquatic saprotrophs,12,5,10,1,0,1,5,0
29,aquatic saprotrophs,12,5,10,1,0,1,6,0
30,small algae parasites,13,1,10,1,0,1,7,0
31,aquatic macrophyte parasites,14,1,10,1,0,1,6,0
32,aquatic nematodes,15,1,10,1,1,1,3,0
33,swimming filter feeders,16,2,11,1,0,1,4,0
34,swimming filter feeders,16,2,11,1,0,1,1,0
35,swimming scrapers,17,1,15,1,0,1,1,0
36,arthropod omnivores,18,2,15,1,0,1,5,0
37,arthropod omnivores,18,2,15,1,0,1,14,0
38,benthic predators,19,1,11,1,0,1,1,0
