sp_name,guild,guild_no,guild_richness,guild_no_prey,guild_no_preds,terr,aqu,sp_no_prey,sp_no_preds
1,terrestrial detritus,1,1,0,40,1,0,0,27
2,Aglaophyton,2,1,0,17,1,0,0,10
3,Rhynia,3,1,0,20,1,0,0,10
4,Asteroxylon,4,1,0,16,1,0,0,15
5,Horneophyton,5,1,0,19,1,0,0,9
6,Nothia,6,1,0,21,1,0,0,12
7,other land plants,7,2,0,22,1,0,0,10
8,other land plants,7,2,0,22,1,0,0,7
9,lichen,8,1,0,10,1,0,0,4
10,terrestrial heterotroph bacteria,9,1,1,6,1,0,1,3
11,terrestrial protozoa,10,1,30,2,1,0,30,0
12,terrestrial saprotrophs,11,14,1,12,1,0,1,3
13,terrestrial saprotrophs,11,14,1,12,1,0,1,5
14,terrestrial saprotrophs,11,14,1,12,1,0,1,5
15,terrestrial saprotrophs,11,14,1,12,1,0,1,2
16,terrestrial saprotrophs,11,14,1,12,1,0,1,5
17,terrestrial saprotrophs,11,14,1,12,1,0,1,3
18,terrestrial saprotrophs,11,14,1,12,1,0,1,5
19,terrestrial saprotrophs,11,14,1,12,1,0,1,2
20,terrestrial saprotrophs,11,14,1,12,1,0,1,5
21,terrestrial saprotrophs,11,14,1,12,1,0,1,4
22,terrestrial saprotrophs,11,14,1,12,1,0,1,4
23,terrestrial saprotrophs,11,14,1,12,1,0,1,6
24,terrestrial saprotrophs,11,14,1,12,1,0,1,5
25,terrestrial saprotrophs,11,14,1,12,1,0,1,4
26,mycorrhizae: Aglaophyton,12,3,7,12,1,0,4,3
27,mycorrhizae: Aglaophyton,12,3,7,12,1,0,7,6
28,mycorrhizae: Aglaophyton,12,3,7,12,1,0,1,4
29,mycorrhizae: Rhynia,13,2,7,12,1,0,1,4
30,mycorrhizae: Rhynia,13,2,7,12,1,0,7,3
31,mycorrhizae: Asteroxylon,14,3,7,12,1,0,7,3
32,mycorrhizae: Asteroxylon,14,3,7,12,1,0,5,2
33,mycorrhizae: Asteroxylon,14,3,7,12,1,0,2,6
34,mycorrhizae: Horneophyton,15,3,7,12,1,0,3,3
35,mycorrhizae: Horneophyton,15,3,7,12,1,0,6,5
36,mycorrhizae: Horneophyton,15,3,7,12,1,0,4,5
37,possible mycorrhizae,16,1,8,12,1,0,1,5
38,parasites: Aglaophyton,17,1,8,12,1,0,1,5
39,parasites: Asteroxylon,18,3,8,12,1,0,1,4
40,parasites: Asteroxylon,18,3,8,12,1,0,2,2
41,parasites: Asteroxylon,18,3,8,12,1,0,3,6
42,parasites: Nothia,19,1,8,12,1,0,8,3
43,general plant parasites,20,2,12,12,1,0,12,3
