web_id,n_lumped
1,3
10,2
100,3
1000,2
101,2
102,4
103,2
104,3
105,3
106,4
107,3
108,3
109,2
11,2
110,4
111,4
112,4
113,3
114,6
115,2
116,3
117,2
118,4
119,3
12,3
120,4
121,2
122,4
123,3
124,2
125,4
126,3
127,4
128,2
129,4
13,4
130,2
131,3
132,2
133,3
134,4
135,3
136,2
137,3
138,3
139,2
14,4
140,3
141,3
142,4
143,2
144,2
145,2
146,3
147,2
148,2
149,2
15,3
150,4
151,5
152,5
153,3
154,3
155,3
156,2
157,5
158,4
159,2
16,4
160,2
161,2
162,3
163,4
164,2
165,3
166,2
167,3
168,5
169,2
17,2
170,4
171,6
172,2
173,6
174,2
175,4
176,2
177,3
178,2
179,3
18,4
180,3
181,2
182,3
183,3
184,2
185,2
186,4
187,4
188,3
189,3
19,4
190,3
191,3
192,3
193,4
194,2
195,2
196,3
197,5
198,4
199,4
2,3
20,4
200,4
201,2
202,2
203,4
204,4
205,3
206,4
207,4
208,2
209,4
21,3
210,2
211,4
212,4
213,3
214,2
215,3
216,3
217,4
218,5
219,3
22,2
220,4
221,4
222,4
223,3
224,2
225,4
226,2
227,2
228,4
229,2
23,5
230,3
231,2
232,4
233,3
234,3
235,3
236,2
237,2
238,3
239,3
24,3
240,2
241,4
242,3
243,4
244,3
245,5
246,5
247,2
248,3
249,4
25,3
250,3
251,2
252,2
253,5
254,2
255,4
256,2
257,2
258,3
259,3
26,4
260,3
261,4
262,3
263,3
264,4
265,3
266,6
267,2
268,2
269,4
27,4
270,2
271,3
272,3
273,4
274,4
275,5
276,3
277,3
278,2
279,4
28,3
280,4
281,3
282,2
283,2
284,3
285,2
286,3
287,2
288,5
289,2
29,4
290,4
291,2
292,3
293,2
294,2
295,4
296,2
297,3
298,4
299,2
3,4
30,2
300,3
301,5
302,3
303,2
304,3
305,4
306,5
307,5
308,2
309,3
31,2
310,4
311,4
312,4
313,7
314,2
315,3
316,4
317,2
318,3
319,4
32,3
320,5
321,2
322,5
323,3
324,4
325,4
326,4
327,3
328,2
329,5
33,3
330,3
331,3
332,4
333,2
334,4
335,4
336,3
337,3
338,4
339,2
34,3
340,4
341,2
342,3
343,3
344,7
345,4
346,2
347,2
348,2
349,3
35,2
350,2
351,2
352,3
353,3
354,5
355,3
356,3
357,4
358,4
359,4
36,4
360,3
361,3
362,3
363,4
364,2
365,2
366,4
367,4
368,5
369,3
37,4
370,3
371,5
372,5
373,3
374,2
375,3
376,3
377,3
378,4
379,2
38,3
380,2
381,4
382,4
383,3
384,3
385,3
386,2
387,3
388,2
389,2
39,4
390,2
391,3
392,3
393,2
394,4
395,3
396,2
397,2
398,3
399,3
4,3
40,3
400,4
401,3
402,3
403,3
404,3
405,2
406,4
407,3
408,4
409,2
41,5
410,3
411,4
412,5
413,2
414,3
415,4
416,2
417,3
418,4
419,3
42,3
420,5
421,3
422,3
423,4
424,3
425,3
426,3
427,4
428,4
429,5
43,3
430,3
431,4
432,3
433,3
434,3
435,5
436,5
437,3
438,4
439,2
44,3
440,2
441,5
442,5
443,2
444,2
445,2
446,2
447,5
448,4
449,4
45,4
450,3
451,3
452,2
453,4
454,4
455,6
456,5
457,4
458,2
459,2
46,2
460,4
461,3
462,4
463,4
464,3
465,2
466,3
467,4
468,5
469,3
47,3
470,3
471,4
472,4
473,3
474,3
475,2
476,3
477,4
478,3
479,5
48,4
480,2
481,4
482,3
483,2
484,3
485,3
486,5
487,4
488,3
489,4
49,4
490,5
491,3
492,4
493,4
494,3
495,3
496,3
497,3
498,5
499,3
5,5
50,6
500,4
501,3
502,3
503,3
504,3
505,5
506,4
