SLN_ID,max_chain_len
1,9
10,10
100,8
1000,11
101,12
102,8
103,9
104,9
105,8
106,9
107,9
108,8
109,10
11,9
110,8
111,13
112,11
113,10
114,11
115,14
116,10
117,11
118,7
119,11
12,11
120,10
121,7
122,11
123,11
124,11
125,10
126,9
127,10
128,10
129,9
13,11
130,11
131,10
132,11
133,9
134,8
135,9
136,9
137,11
138,11
139,10
14,13
140,10
141,7
142,11
143,10
144,12
145,10
146,10
147,8
148,14
149,9
15,11
150,12
151,11
152,10
153,9
154,10
155,6
156,10
157,11
158,10
159,9
16,11
160,12
161,8
162,9
163,6
164,9
165,9
166,11
167,7
168,11
169,10
17,8
170,14
171,11
172,10
173,12
174,10
175,10
176,12
177,9
178,9
179,7
18,12
180,11
181,12
182,7
183,10
184,13
185,7
186,10
187,6
188,10
189,12
19,9
190,7
191,14
192,10
193,11
194,7
195,13
196,9
197,10
198,10
199,11
2,9
20,11
200,11
201,8
202,8
203,9
204,13
205,10
206,11
207,9
208,8
209,9
21,8
210,6
211,7
212,10
213,11
214,10
215,12
216,10
217,10
218,12
219,7
22,12
220,12
221,9
222,13
223,9
224,10
225,8
226,7
227,12
228,9
229,9
23,10
230,12
231,9
232,9
233,8
234,12
235,8
236,9
237,9
238,8
239,10
24,9
240,8
241,13
242,9
243,10
244,11
245,10
246,8
247,12
248,10
249,9
25,11
250,10
251,10
252,10
253,11
254,9
255,8
256,9
257,10
258,6
259,11
26,8
260,9
261,10
262,7
263,11
264,10
265,7
266,11
267,10
268,11
269,8
27,10
270,11
271,11
272,11
273,11
274,10
275,11
276,10
277,10
278,9
279,12
28,8
280,13
281,11
282,11
283,10
284,9
285,12
286,11
287,8
288,7
289,8
29,9
290,11
291,9
292,12
293,13
294,9
295,10
296,12
297,11
298,6
299,9
3,9
30,10
300,10
301,7
302,11
303,9
304,8
305,9
306,9
307,11
308,12
309,10
31,6
310,11
311,9
312,8
313,12
314,8
315,10
316,8
317,7
318,10
319,13
32,12
320,7
321,10
322,11
323,11
324,11
325,10
326,12
327,11
328,6
329,10
33,11
330,12
331,10
332,8
333,11
334,7
335,11
336,10
337,8
338,12
339,11
34,11
340,9
341,10
342,9
343,10
344,8
345,12
346,8
347,13
348,10
349,10
35,10
350,9
351,10
352,9
353,10
354,12
355,12
356,10
357,11
358,7
359,11
36,10
360,11
361,12
362,13
363,10
364,10
365,5
366,12
367,12
368,10
369,7
37,8
370,9
371,12
372,8
373,11
374,11
375,10
376,9
377,12
378,10
379,10
38,12
380,8
381,9
382,5
383,10
384,11
385,10
386,9
387,11
388,10
389,10
39,9
390,11
391,11
392,13
393,11
394,10
395,10
396,12
397,7
398,11
399,8
4,8
40,11
400,10
401,9
402,12
403,9
404,9
405,11
406,9
407,11
408,11
409,10
41,8
410,11
411,7
412,9
413,12
414,7
415,11
416,12
417,9
418,8
419,9
42,10
420,11
421,9
422,8
423,11
424,9
425,9
426,10
427,10
428,9
429,10
43,9
430,10
431,12
432,11
433,9
434,12
435,8
436,10
437,9
438,8
439,11
44,10
440,9
441,9
442,12
443,6
444,11
445,11
446,12
447,9
448,10
449,8
45,6
450,8
451,12
452,9
453,11
454,10
455,12
456,10
457,7
458,11
459,10
46,11
460,12
461,8
462,12
463,9
464,7
465,9
466,11
467,10
468,10
469,8
47,13
470,12
471,9
472,11
473,9
474,9
475,10
476,10
477,10
478,10
479,8
48,9
480,10
481,7
482,9
483,8
484,9
485,13
486,8
487,7
488,10
489,10
49,11
490,11
491,13
492,13
493,12
494,7
495,6
496,10
497,7
498,9
499,8
5,10
50,9
500,11
501,9
502,10
503,8
504,7
505,11
506,8
507,10
508,10
509,8
51,9
510,11
511,10
512,11
513,11
514,11
515,8
516,10
517,9
518,12
519,11
52,9
520,10
521,10
522,11
523,8
524,9
525,8
526,7
527,10
528,10
529,7
53,11
530,10
531,10
532,11
533,10
534,11
535,11
536,12
537,13
538,11
539,11
54,13
540,10
541,7
542,11
543,11
544,7
545,12
546,6
547,12
548,9
549,8
55,9
550,9
551,10
552,10
553,10
554,9
555,12
556,10
557,6
558,11
559,10
56,11
560,11
561,10
562,13
563,12
564,11
565,10
566,10
567,11
568,10
569,10
57,6
570,12
571,10
572,10
573,10
574,10
575,11
576,9
577,8
578,9
579,10
58,9
580,7
581,12
582,11
583,10
584,8
585,10
586,8
587,9
588,13
589,11
59,10
590,11
591,8
592,10
593,9
594,8
595,10
596,11
597,8
598,13
599,8
6,10
60,7
600,10
601,8
602,8
603,8
604,10
605,12
606,11
607,11
608,12
609,11
61,8
610,12
611,10
612,9
613,8
614,10
615,9
616,11
617,12
618,9
619,7
62,9
620,9
621,12
622,8
623,10
624,9
625,8
626,9
627,12
628,7
629,8
63,11
630,8
631,8
632,8
633,9
634,8
635,10
636,12
637,7
638,8
639,9
64,12
640,8
641,11
642,12
643,11
644,8
645,14
646,7
647,8
648,7
649,11
65,8
650,10
651,9
652,9
653,9
654,8
655,8
656,7
657,10
658,9
659,9
66,12
660,11
661,8
662,10
663,10
664,10
665,10
666,10
667,13
668,9
669,12
67,8
670,7
671,11
672,9
673,8
674,13
675,11
676,11
677,9
678,10
679,10
68,12
680,8
681,10
682,10
683,12
684,10
685,13
686,8
687,11
688,10
689,10
69,10
690,10
691,12
692,12
693,11
694,9
695,11
696,8
697,12
698,12
699,12
7,10
70,7
700,12
701,12
702,12
703,11
704,7
705,10
706,12
707,10
708,11
709,13
71,11
710,11
711,9
712,13
713,11
714,10
715,8
716,11
717,11
718,8
719,8
72,9
720,9
721,8
722,7
723,10
724,9
725,9
726,10
727,8
728,6
729,9
73,11
730,10
731,9
732,14
733,8
734,10
735,12
736,12
737,9
738,11
739,8
74,9
740,10
741,10
742,10
743,8
744,12
745,9
746,7
747,7
748,10
749,9
75,10
750,10
751,10
752,9
753,11
754,12
755,10
756,11
757,8
758,9
759,11
76,10
760,10
761,6
762,12
763,10
764,8
765,9
766,7
767,11
768,10
769,11
77,10
770,13
771,6
772,12
773,10
774,9
775,6
776,7
777,12
778,10
779,11
78,10
780,9
781,10
782,13
783,10
784,10
785,10
786,10
787,10
788,7
789,10
79,11
790,10
791,9
792,8
793,9
794,9
795,10
796,11
797,7
798,8
799,10
8,10
80,11
800,9
801,11
802,12
803,11
804,9
805,13
806,9
807,9
808,10
809,9
81,8
810,8
811,9
812,9
813,7
814,10
815,10
816,11
817,8
818,9
819,10
82,10
820,8
821,7
822,12
823,10
824,11
825,12
826,7
827,7
828,9
829,6
83,11
830,9
831,11
832,11
833,13
834,8
835,8
836,8
837,12
838,10
839,9
84,12
840,8
841,12
842,6
843,11
844,8
845,10
846,10
847,11
848,9
849,10
85,7
850,7
851,9
852,8
853,10
854,7
855,8
856,11
857,9
858,12
859,12
86,9
860,10
861,13
862,10
863,9
864,12
865,12
866,10
867,13
868,12
869,11
87,8
870,11
871,8
872,9
873,12
874,12
875,8
876,10
877,12
878,8
879,8
88,11
880,8
881,7
882,10
883,10
884,9
885,8
886,7
887,9
888,9
889,11
89,10
890,8
891,9
892,10
893,14
894,9
895,9
896,9
897,8
898,12
899,9
9,9
90,9
900,12
901,10
902,10
903,7
904,8
905,10
906,8
907,10
908,9
909,9
91,10
910,12
911,8
912,11
913,11
914,8
915,11
916,10
917,9
918,7
919,11
92,10
920,11
921,11
922,11
923,10
924,10
925,9
926,8
927,11
928,9
929,9
93,11
930,8
931,9
932,11
933,7
934,13
935,9
936,8
937,12
938,7
939,11
94,10
940,10
941,10
942,11
943,10
944,12
945,10
946,8
947,8
948,12
949,10
95,12
950,8
951,8
952,13
953,11
954,8
955,8
956,10
957,9
958,11
959,13
96,11
960,11
961,6
962,7
963,9
964,10
965,8
966,13
967,11
968,9
969,8
97,10
970,10
971,11
972,9
973,7
974,11
975,12
976,6
977,11
978,11
979,8
98,12
980,10
981,10
982,9
983,11
984,10
985,11
986,11
987,8
988,7
989,9
99,12
990,11
991,9
992,11
993,10
994,9
995,7
996,10
997,12
998,8
999,10
