web_id,n_lumped
1,10
10,9
100,8
1000,8
101,8
102,9
103,9
104,8
105,8
106,7
107,7
108,6
109,7
11,10
110,10
111,8
112,7
113,11
114,7
115,10
116,8
117,9
118,6
119,10
12,8
120,9
121,8
122,6
123,9
124,9
125,6
126,10
127,7
128,8
129,6
13,8
130,10
131,9
132,7
133,7
134,10
135,7
136,7
137,10
138,7
139,8
14,8
140,7
141,7
142,5
143,8
144,8
145,7
146,8
147,7
148,10
149,7
15,8
150,7
151,9
152,10
153,6
154,7
155,6
156,8
157,8
158,8
159,10
16,8
160,7
161,10
162,8
163,7
164,8
165,7
166,7
167,8
168,8
169,10
17,6
170,11
171,9
172,11
173,8
174,6
175,11
176,7
177,10
178,12
179,9
18,7
180,9
181,5
182,10
183,11
184,4
185,7
186,11
187,7
188,6
189,9
19,13
190,11
191,5
192,9
193,6
194,6
195,6
196,8
197,8
198,7
199,4
2,8
20,9
200,9
201,9
202,9
203,10
204,9
205,7
206,9
207,8
208,9
209,6
21,11
210,10
211,11
212,8
213,11
214,7
215,7
216,7
217,6
218,10
219,6
22,11
220,9
221,8
222,5
223,9
224,7
225,7
226,7
227,8
228,8
229,11
23,7
230,8
231,8
232,7
233,6
234,7
235,7
236,11
237,9
238,10
239,8
24,10
240,6
241,8
242,6
243,9
244,10
245,6
246,10
247,7
248,8
249,7
25,8
250,6
251,9
252,8
253,6
254,8
255,10
256,9
257,5
258,7
259,8
26,9
260,10
261,10
262,5
263,12
264,9
265,11
266,8
267,8
268,4
269,9
27,10
270,7
271,7
272,8
273,6
274,9
275,7
276,6
277,9
278,7
279,6
28,7
280,10
281,11
282,9
283,11
284,8
285,9
286,6
287,9
288,6
289,6
29,8
290,8
291,6
292,9
293,6
294,9
295,9
296,9
297,8
298,9
299,8
3,6
30,9
300,8
301,4
302,8
303,8
304,8
305,7
306,9
307,8
308,7
309,7
31,8
310,7
311,8
312,8
313,7
314,8
315,9
316,9
317,8
318,10
319,9
32,8
320,9
321,7
322,9
323,7
324,9
325,7
326,7
327,9
328,5
329,6
33,9
330,9
331,4
332,6
333,8
334,8
335,7
336,6
337,5
338,8
339,10
34,9
340,7
341,10
342,7
343,9
344,6
345,8
346,11
347,6
348,8
349,9
35,10
350,10
351,10
352,9
353,6
354,6
355,7
356,9
357,10
358,10
359,6
36,7
360,9
361,7
362,8
363,7
364,11
365,6
366,7
367,9
368,8
369,8
37,9
370,10
371,11
372,9
373,8
374,11
375,7
376,9
377,8
378,9
379,3
38,6
380,4
381,12
382,9
383,8
384,8
385,6
386,10
387,8
388,6
389,6
39,5
390,9
391,5
392,6
393,7
394,7
395,8
396,9
397,7
398,10
399,10
4,8
40,11
400,9
401,7
402,8
403,9
404,6
405,9
406,9
407,4
408,9
409,8
41,8
410,8
411,8
412,8
413,7
414,8
415,5
416,12
417,8
418,9
419,6
42,7
420,9
421,8
422,9
423,10
424,7
425,6
426,8
427,8
428,8
429,11
43,9
430,10
431,8
432,8
433,8
434,7
435,10
436,5
437,6
438,7
439,10
44,10
440,10
441,10
442,8
443,8
444,7
445,9
446,12
447,7
448,8
449,11
45,11
450,8
451,10
452,11
453,9
454,6
455,6
456,8
457,9
458,8
459,8
46,7
460,6
461,6
462,8
463,7
464,7
465,7
466,6
467,7
468,9
469,8
47,5
470,6
471,9
472,8
473,6
474,11
475,10
476,9
477,9
478,9
479,9
48,7
480,10
481,8
482,12
483,10
484,8
485,10
486,9
487,6
488,7
489,9
49,11
490,8
491,6
492,8
493,9
494,8
495,9
496,8
497,8
498,9
499,10
5,12
50,9
500,5
501,10
502,10
503,9
504,6
505,12
506,9
507,12
508,8
509,12
51,10
510,7
511,5
512,5
513,10
514,9
515,11
516,10
517,8
518,6
519,8
52,9
520,10
521,7
522,6
523,5
524,13
525,4
526,10
527,6
528,7
529,9
53,6
530,6
531,8
532,7
533,10
534,7
535,8
536,11
537,8
538,8
539,4
54,9
540,9
541,9
542,6
543,9
544,10
545,8
546,8
547,9
548,6
549,8
55,9
550,3
551,6
552,9
553,11
554,8
555,8
556,7
557,9
558,6
559,8
56,11
560,7
561,8
562,8
563,6
564,7
565,6
566,10
567,10
568,6
569,9
57,7
570,7
571,7
572,8
573,10
574,11
575,10
576,9
577,5
578,8
579,8
58,7
580,10
581,6
582,7
583,8
584,10
585,9
586,8
587,8
588,8
589,9
59,8
590,9
591,10
592,10
593,8
594,7
595,7
596,8
597,9
598,10
599,9
6,12
60,8
600,8
601,7
602,8
603,6
604,8
605,11
606,10
607,11
608,6
609,7
61,6
610,8
611,8
612,8
613,7
614,9
615,9
616,9
617,7
618,9
619,9
62,9
620,6
621,7
622,7
623,9
624,7
625,7
626,10
627,11
628,9
629,9
63,8
630,7
631,10
632,7
633,8
634,8
635,9
636,10
637,7
638,10
639,8
64,9
640,7
641,8
642,6
643,11
644,7
645,6
646,8
647,8
648,8
649,5
65,8
650,9
651,8
652,6
653,8
654,8
655,8
656,11
657,9
658,7
659,9
66,8
660,8
661,11
662,10
663,7
664,9
665,11
666,8
667,8
668,7
669,10
67,5
670,10
671,8
672,6
673,6
674,7
675,6
676,8
677,12
678,9
679,6
68,10
680,7
681,5
682,9
683,10
684,8
685,6
686,4
687,6
688,11
689,8
69,10
690,8
691,9
692,9
693,8
694,9
695,8
696,6
697,8
698,9
699,7
7,5
70,7
700,9
701,9
702,9
703,9
704,7
705,6
706,9
707,8
708,8
709,10
71,9
710,9
711,6
712,9
713,12
714,10
715,6
716,4
717,11
718,8
719,9
72,8
720,9
721,8
722,6
723,10
724,8
725,8
726,9
727,7
728,6
729,10
73,8
730,7
731,8
732,8
733,11
734,6
735,6
736,6
737,9
738,9
739,9
74,7
740,10
741,9
742,7
743,7
744,11
745,8
746,9
747,9
748,7
749,6
75,9
750,8
751,8
752,7
753,8
754,9
755,8
756,10
757,10
758,8
759,7
76,7
760,8
761,6
762,9
763,6
764,9
765,10
766,6
767,9
768,7
769,7
77,11
770,7
771,6
772,9
773,11
774,7
775,11
776,10
777,6
778,8
779,7
78,6
780,5
781,8
782,10
783,8
784,9
785,7
786,10
787,7
788,11
789,10
79,9
790,7
791,10
792,8
793,7
794,6
795,8
796,6
797,10
798,8
799,7
8,5
80,7
800,5
801,9
802,8
803,9
804,8
805,10
806,9
807,9
808,4
809,7
81,7
810,8
811,12
812,10
813,10
814,9
815,15
816,9
817,11
818,10
819,6
82,7
820,9
821,7
822,7
823,8
824,7
825,9
826,6
827,6
828,12
829,7
83,9
830,5
831,8
832,9
833,12
834,7
835,7
836,10
837,8
838,8
839,11
84,8
840,10
841,7
842,9
843,9
844,10
845,10
846,11
847,9
848,8
849,7
85,9
850,7
851,5
852,10
853,9
854,7
855,9
856,4
857,10
858,10
859,7
86,10
860,8
861,6
862,7
863,11
864,9
865,9
866,7
867,9
868,9
869,10
87,5
870,10
871,10
872,12
873,12
874,6
875,10
876,7
877,9
878,12
879,7
88,8
880,9
881,8
882,7
883,7
884,6
885,10
886,10
887,7
888,7
889,10
89,8
890,9
891,8
892,11
893,11
894,5
895,10
896,7
897,6
898,5
899,10
9,7
90,8
900,7
901,9
902,8
903,9
904,5
905,11
906,9
907,9
908,8
909,8
91,6
910,7
911,7
912,11
913,7
914,8
915,9
916,7
917,10
918,6
919,6
92,10
920,8
921,6
922,12
923,8
924,8
925,9
926,10
927,8
928,6
929,8
93,9
930,10
931,9
932,9
933,6
934,7
935,4
936,5
937,8
938,9
939,9
94,5
940,11
941,9
942,8
943,10
944,11
945,10
946,8
947,9
948,7
949,8
95,9
950,8
951,9
952,11
953,7
954,6
955,11
956,10
957,6
958,7
959,7
96,7
960,8
961,5
962,6
963,8
964,10
965,7
966,6
967,10
968,7
969,8
97,10
970,9
971,8
972,7
973,10
974,9
975,7
976,8
977,10
978,8
979,10
98,5
980,9
981,7
982,8
983,6
984,8
985,7
986,12
987,8
988,11
989,8
99,9
990,7
991,10
992,7
993,7
994,8
995,7
996,11
997,7
998,13
999,7
