trophospecies_id,sp_name,guild,n_lumped,sp_no_prey,sp_no_preds,sp_ntp,sp_long_chain,sp_out_closeness,sp_in_closeness,guild_ntp,guild_out_closeness,guild_in_closeness
1,1,terrestrial detritus,1,0,22,1.0,0.0,1.2985074626865671,0.0,1.0,1.2985074626865671,0.0
2,2,Aglaophyton,1,0,12,1.0,0.0,1.6111111111111112,0.0,1.0,1.6111111111111112,0.0
3,3,Rhynia,1,0,10,1.0,0.0,1.5,0.0,1.0,1.5,0.0
4,4,Asteroxylon,1,0,13,1.0,0.0,1.3384615384615384,0.0,1.0,1.3384615384615384,0.0
5,5,Horneophyton,1,0,9,1.0,0.0,1.6111111111111112,0.0,1.0,1.6111111111111112,0.0
6,6,Nothia,1,0,10,1.0,0.0,1.4745762711864407,0.0,1.0,1.4745762711864407,0.0
7,7,other land plants,1,0,9,1.0,0.0,1.5,0.0,1.0,1.4872881355932204,0.0
8,8,other land plants,1,0,8,1.0,0.0,1.4745762711864407,0.0,1.0,1.4872881355932204,0.0
9,9,lichen,1,0,2,1.0,0.0,2.71875,0.0,1.0,2.71875,0.0
10,10,terrestrial heterotroph bacteria,1,1,2,2.0,1.0,43.5,87.0,2.0,43.5,87.0
11,11,terrestrial protozoa,1,4,0,3.0,2.0,0.0,8.7,3.0,0.0,8.7
12,12,terrestrial saprotrophs,1,1,1,2.0,1.0,87.0,87.0,2.0,17.29046517140267,87.0
13,13,terrestrial saprotrophs,1,1,4,2.0,1.0,2.71875,87.0,2.0,17.29046517140267,87.0
14,14;20;24,terrestrial saprotrophs,3,1,1,2.0,1.0,87.0,87.0,2.0,17.29046517140267,87.0
15,15,terrestrial saprotrophs,1,1,3,2.0,1.0,7.909090909090909,87.0,2.0,17.29046517140267,87.0
16,16,terrestrial saprotrophs,1,1,4,2.0,1.0,3.107142857142857,87.0,2.0,17.29046517140267,87.0
17,17,terrestrial saprotrophs,1,1,1,2.0,1.0,3.0,87.0,2.0,17.29046517140267,87.0
18,18,terrestrial saprotrophs,1,1,4,2.0,1.0,3.2222222222222223,87.0,2.0,17.29046517140267,87.0
19,19,terrestrial saprotrophs,1,1,3,2.0,1.0,3.3461538461538463,87.0,2.0,17.29046517140267,87.0
21,21;54,terrestrial saprotrophs,2,1,0,2.0,1.0,0.0,87.0,2.0,17.29046517140267,87.0
22,22,terrestrial saprotrophs,1,1,3,2.0,1.0,3.48,87.0,2.0,17.29046517140267,87.0
23,23,terrestrial saprotrophs,1,1,4,2.0,1.0,3.2222222222222223,87.0,2.0,17.29046517140267,87.0
25,25,terrestrial saprotrophs,1,1,2,2.0,1.0,3.48,87.0,2.0,17.29046517140267,87.0
26,26,mycorrhizae: Aglaophyton,1,4,2,2.0,1.0,3.48,21.75,2.0,3.2554838709677423,21.05952380952381
27,27,mycorrhizae: Aglaophyton,1,7,3,2.0,1.0,2.806451612903226,12.428571428571429,2.0,3.2554838709677423,21.05952380952381
28,28,mycorrhizae: Aglaophyton,1,3,2,2.0,1.0,3.48,29.0,2.0,3.2554838709677423,21.05952380952381
29,29,mycorrhizae: Rhynia,1,7,1,2.0,1.0,87.0,12.428571428571429,2.0,44.859375,49.714285714285715
30,30,mycorrhizae: Rhynia,1,1,4,2.0,1.0,2.71875,87.0,2.0,44.859375,49.714285714285715
31,31,mycorrhizae: Asteroxylon,1,1,1,2.0,1.0,87.0,87.0,2.0,87.0,47.642857142857146
32,32,mycorrhizae: Asteroxylon,1,7,1,2.0,1.0,87.0,12.428571428571429,2.0,87.0,47.642857142857146
33,33,mycorrhizae: Asteroxylon,1,2,1,2.0,1.0,87.0,43.5,2.0,87.0,47.642857142857146
34,34,mycorrhizae: Horneophyton,1,7,3,2.0,1.0,2.0714285714285716,12.428571428571429,2.0,30.39779326364692,23.476190476190478
35,35,mycorrhizae: Horneophyton,1,6,1,2.0,1.0,87.0,14.5,2.0,30.39779326364692,23.476190476190478
36,36,mycorrhizae: Horneophyton,1,2,2,2.0,1.0,2.1219512195121952,43.5,2.0,30.39779326364692,23.476190476190478
37,37,possible mycorrhizae,1,8,1,2.0,1.0,2.175,10.875,2.0,2.175,10.875
38,38,parasites: Aglaophyton,1,1,2,2.0,1.0,43.5,87.0,2.0,43.5,87.0
39,39,parasites: Asteroxylon,1,5,1,2.0,1.0,87.0,17.4,2.0,59.035714285714285,38.94285714285714
40,40,parasites: Asteroxylon,1,1,5,2.0,1.0,3.107142857142857,87.0,2.0,59.035714285714285,38.94285714285714
41,41,parasites: Asteroxylon,1,7,1,2.0,1.0,87.0,12.428571428571429,2.0,59.035714285714285,38.94285714285714
42,42,parasites: Nothia,1,1,3,2.0,1.0,3.3461538461538463,87.0,2.0,3.3461538461538463,87.0
43,43,general plant parasites,1,8,1,2.0,1.0,87.0,10.875,2.0,43.5,27.1875
44,44,general plant parasites,1,2,0,2.0,1.0,0.0,43.5,2.0,43.5,27.1875
45,45,fungal parasites,1,5,1,3.0,2.0,2.9,4.142857142857143,2.9908479908479904,0.41428571428571426,7.677937688069874
46,46,fungal parasites,1,10,0,2.962962962962963,2.0,0.0,3.625,2.9908479908479904,0.41428571428571426,7.677937688069874
47,47,fungal parasites,1,2,0,3.0,2.0,0.0,14.5,2.9908479908479904,0.41428571428571426,7.677937688069874
48,48,fungal parasites,1,3,0,3.0,2.0,0.0,17.4,2.9908479908479904,0.41428571428571426,7.677937688069874
49,49,fungal parasites,1,11,0,2.972972972972973,2.0,0.0,2.806451612903226,2.9908479908479904,0.41428571428571426,7.677937688069874
50,50,fungal parasites,1,3,0,3.0,2.0,0.0,6.6923076923076925,2.9908479908479904,0.41428571428571426,7.677937688069874
51,51,fungal parasites,1,3,0,3.0,2.0,0.0,4.578947368421052,2.9908479908479904,0.41428571428571426,7.677937688069874
